time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
11,16.205614,20.09,1221,650,13860,0.7561079859733582,-5.589784145355225,192,-0.09647534787654877,0.0001,0.9810404181480408
11,15.88378,19.96,1222,660,14040,1.261690616607666,-5.772163391113281,201,-0.10137923061847687,0.0001,0.980156421661377
11,16.464212,20.73,1222,670,14200,1.0712597370147705,-5.780847549438477,209,-0.10507932305335999,0.0001,0.9793717265129089
11,17.338316,20.91,1224,680,14420,1.6282141208648682,-5.812178611755371,220,-0.11078523099422455,0.0001,0.9782938957214355
11,17.102215,20.74,1225,690,14580,1.032603144645691,-5.837449550628662,228,-0.11457782983779907,0.0001,0.9775108098983765
12,17.281563,20.86,1227,700,14920,1.2298177480697632,-6.0132737159729,245,-0.1224408745765686,0.0001,0.9758503437042236
12,16.558935,20.31,1229,710,15220,1.2203959226608276,-6.305675506591797,260,-0.13088569045066833,0.0001,0.9743880033493042
12,18.322592,21.44,1230,720,15420,0.9174689650535583,-6.354215621948242,270,-0.1355927735567093,0.0001,0.9734131693840027
12,19.614845,22.32,1230,730,15640,1.0839447975158691,-6.351102828979492,281,-0.14033114910125732,0.0001,0.9723420739173889
12,21.328308,23.16,1231,740,15900,1.0005393028259277,-6.530178546905518,294,-0.14761951565742493,0.0001,0.9710785150527954
13,20.852362,22.74,1232,750,16120,1.261296272277832,-6.843934059143066,305,-0.15371593832969666,0.0001,0.9700109362602234
13,21.180208,22.68,1233,760,16340,1.3345094919204712,-6.644130229949951,316,-0.15947264432907104,0.0001,0.968944251537323
13,22.236217,22.9,1233,770,16540,1.473771095275879,-6.91551399230957,326,-0.1641804575920105,0.0001,0.9679760336875916
13,21.264746,22.29,1232,780,16660,1.4752490520477295,-7.00901985168457,332,-0.1658933460712433,0.0001,0.9673959612846375
13,22.611094,23.22,1233,790,16960,1.4705102443695068,-7.1584978103637695,347,-0.17400255799293518,0.0001,0.9659473299980164
13,22.858433,23.24,1232,800,17140,1.3517009019851685,-7.075555801391602,356,-0.1791984736919403,0.0001,0.9650781154632568
14,22.161865,22.93,1234,810,17380,1.2786859273910522,-7.3292236328125,368,-0.1862906813621521,0.0001,0.9639219641685486
14,20.552114,21.91,1233,820,17620,1.0783040523529053,-7.407337665557861,380,-0.19055038690567017,0.0001,0.9627661108970642
14,19.49136,21.27,1232,830,17860,1.1217106580734253,-7.548050403594971,392,-0.19707119464874268,0.0001,0.961612343788147
14,19.379662,21.45,1232,840,18260,1.8631887435913086,-7.808784484863281,412,-0.2072012722492218,0.0001,0.9596956372261047
14,20.889563,22.75,1233,850,18420,1.518430471420288,-7.876045227050781,420,-0.21235202252864838,0.0001,0.9589300155639648
15,22.530506,23.97,1235,860,18740,1.288132667541504,-8.09979248046875,436,-0.21906697750091553,0.0001,0.9574013352394104
15,22.276073,23.89,1236,870,19000,1.638167381286621,-8.166241645812988,449,-0.22456730902194977,0.0001,0.9561633467674255
15,23.583025,25.01,1237,880,19220,1.6094703674316406,-8.147067070007324,460,-0.22919456660747528,0.0001,0.9551156759262085
15,22.724731,25.01,1240,890,19540,1.1643681526184082,-8.354964256286621,476,-0.2389957159757614,0.0001,0.9535930752754211
15,24.55447,26.1,1242,900,19840,0.8462644815444946,-8.614523887634277,491,-0.243208110332489,0.0001,0.952168881893158
19,24.876703,26.63,1051,910,20060,1.3427457809448242,-8.636178970336914,502,-0.2527276873588562,0.0001,0.9511268138885498
19,26.414158,27.82,1053,920,20300,1.7189037799835205,-8.764993667602539,514,-0.2558993101119995,0.0001,0.9499914646148682
19,26.57409,27.49,1055,930,20540,1.1859796047210693,-8.879899978637695,526,-0.26211419701576233,0.0001,0.9488579630851746
19,25.499737,26.61,1057,940,20720,1.1806480884552002,-9.257850646972656,535,-0.2662120461463928,0.0001,0.9480088949203491
