rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef
15.1142298,216,1681,10,0,21.6,,,,,,
16.14174065,429,1788,20,0,21.45,,,,,,
17.411080233333337,636,47,30,13,21.2,,,,,,
18.715460525,855,63,40,13,21.375,,,,,,
17.601240500000003,1020,65,50,15,20.4,,,,,,
18.639255766666665,1241,79,60,15,20.683333333333334,,,,,,
18.731333285714285,1459,92,70,15,20.84285714285714,,,,,,
17.8558103125,1642,95,80,17,20.525,,,,,,
19.330553788888896,1887,109,90,17,20.966666666666665,,,,,,
18.88275555,2083,111,100,18,20.83,,,,,,
18.69918338,2280,121,110,18,20.64,,,,,,
20.67242905,2589,128,120,20,21.6,,,,,,
20.17486222,2777,136,130,20,21.41,,,,,,
19.234334219999997,2946,144,140,20,20.91,,,,,,
19.4296203,3159,145,150,21,21.39,,,,,,
19.39111104,3437,157,160,21,21.96,,,,,,
19.00829572,3642,155,170,23,21.83,,,,,,
19.942906609999998,3896,165,180,23,22.54,,,,,,
18.81834259,4133,165,190,24,22.46,,,,,,
19.3316994,4393,175,200,24,23.1,,,,,,
19.87379326,4607,173,210,26,23.27,,,,,,
17.93659419,4806,180,220,26,22.17,,,,,,
17.868079879999996,5028,178,230,28,22.51,,,,,,
18.1904432,5228,185,240,28,22.82,,,,,,
17.94320565,5393,190,250,28,22.34,,,,,,
16.636211399999997,5595,188,260,29,21.58,,,,,,
16.79251736,5782,194,270,29,21.4,,,,,,
16.16075554,5983,201,280,29,20.87,,,,,,
15.277270379999997,6139,197,290,31,20.06,,,,,,
15.527673599999998,6399,205,300,31,20.06,,,,,,
14.982049659999998,6595,202,310,32,19.88,,,,,,
14.590680570000002,6778,208,320,32,19.72,,,,,,
14.68182,6983,214,330,32,19.55,,,,,,
14.700022700000002,7186,212,340,33,19.58,,,,,,
14.952540880000004,7392,217,350,33,19.99,,,,,,
15.46103541,7581,214,360,35,19.86,,,,,,
15.291759919999999,7788,219,370,35,20.06,,,,,,
15.24562859,7981,224,380,35,19.98,,,,,,
15.80594342,8183,221,390,36,20.44,,,,,,
14.9908616,8370,226,400,36,19.71,,,,,,
16.28317628,8631,224,410,38,20.36,,,,,,
16.737681700000003,8888,230,420,38,21.1,,,,,,
17.29888673,9101,226,430,40,21.18,,,,,,
17.876273960000002,9318,231,440,40,21.32,,,,,,
18.110250539999996,9558,228,450,41,21.66,,,,,,
17.745895040000004,9747,232,460,41,21.66,,,,,,
17.584056500000003,9947,237,470,41,21.59,,,,,,
18.85584269,10255,213,480,48,22.74,0.0018329807108324356,0.23777414858341217,-5.420297622680664,-2.3316650390625,254,0.6288662552833557
28.751061260000007,10967,174,490,62,27.84,0.0018329807108324356,0.5064563751220703,-9.026442527770996,-5.2046966552734375,966,0.19123980402946472
45.136509419999996,11775,132,500,89,34.05,0.0018329807108324356,1.0351760387420654,-15.649682998657227,-1.9290142059326172,1774,0.08083596080541611
61.37091015000001,12620,107,510,117,39.89,0.0018329807108324356,3.0094404220581055,-23.364587783813477,-0.8101302981376648,2619,0.055392082780599594
78.99419845999999,13516,90,520,149,46.28,0.0018329807108324356,1.828869342803955,-33.93243408203125,-0.5260467529296875,3515,0.05580861493945122
97.33219967000001,14437,83,530,172,53.36,0.0018329807108324356,2.028154134750366,-42.19057846069336,1.9534810781478882,4436,0.053308840841054916
115.91233064,15359,74,540,206,60.41,0.0018329807108324356,4.5868916511535645,-47.92310333251953,0.17981910705566406,5358,0.06183166429400444
135.94446315,16286,68,550,238,67.28,0.0018329807108324356,6.314548492431641,-55.59667205810547,0.9058752059936523,6285,0.059967417269945145
156.9500891,17242,63,560,272,74.95,0.0018329807108324356,6.241949558258057,-66.34266662597656,-1.199744462966919,7241,0.05563756451010704
178.17449133000002,18177,59,570,306,82.3,0.0018329807108324356,4.322421073913574,-77.40933227539062,-1.2863695621490479,8176,0.0790356770157814
198.46570779,19133,56,580,340,88.78,0.0018329807108324356,3.826335906982422,-79.14439392089844,-1.0082879066467285,9132,0.09106410294771194
210.94112520000002,20146,53,590,375,91.79,0.0018329807108324356,5.2108564376831055,-88.85707092285156,0.5967710018157959,10145,0.1289687156677246
216.28099084000002,21196,51,600,410,94.21,0.0018329807108324356,7.459639549255371,-91.82494354248047,-2.126631259918213,11195,0.07041609287261963
223.15216817,22333,49,610,449,97.13,0.0018329807108324356,3.430307626724243,-97.88302612304688,-0.8052618503570557,12332,0.06679370254278183
230.52754562999996,23464,48,620,486,99.48,0.0018329807108324356,6.608521461486816,-99.91766357421875,0.5650344491004944,13463,0.061639077961444855
237.5715018,24628,46,630,533,101.91,0.0018329807108324356,4.484314441680908,-105.44139099121094,-0.27838796377182007,14627,0.060765236616134644
245.14188145,25842,45,640,574,104.83,0.0018329807108324356,7.238642692565918,-110.74586486816406,-1.3465306758880615,15841,0.061857301741838455
252.03654661000002,27073,43,650,624,107.87,0.0018329807108324356,14.770536422729492,-117.30953216552734,1.0819848775863647,17072,0.06197523698210716
259.74425156,28383,42,660,667,111.41,0.0018329807108324356,3.8107879161834717,-116.37176513671875,-0.10910031199455261,18382,0.058867134153842926
265.88611287,29805,40,670,727,116.28,0.0018329807108324356,19.178874969482422,-120.79893493652344,-0.5414551496505737,19804,0.06988220661878586
291.16280113,33185,33,680,993,140.52,0.0018329807108324356,10.462629318237305,-127.48766326904297,-0.9999021887779236,23184,0.070545993745327
