time/fps,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef
1336,19340,54.75,680,78.59967,14,-5.484723091125488,466,0.004832930238571752,-8.372482299804688,0.34111344814300537,0.11526194214820862
1326,19580,54.68,690,79.92813,14,-4.938837051391602,478,0.004832930238571752,-9.241449356079102,0.23853950202465057,0.10999931395053864
1301,20060,55.74,700,81.87918,15,-5.342801570892334,502,0.004832930238571752,-7.666159152984619,0.34935280680656433,0.1003924161195755
1290,20360,53.35,710,79.75909,15,-5.61857271194458,517,0.004832930238571752,-8.72446060180664,0.29418128728866577,0.0948648676276207
1275,20820,50.98,720,78.26547,16,-5.703984260559082,540,0.004832930238571752,-5.782323837280273,0.43130892515182495,0.08728007972240448
1252,21620,50.69,730,79.35548,17,-6.019199371337891,580,0.004832930238571752,-9.586341857910156,0.5555399656295776,0.0764734074473381
1226,22400,52.36,740,86.42005,18,-5.920803546905518,619,0.004832930238571752,-7.562042236328125,0.22208254039287567,0.06733968108892441
1209,23080,53.82,750,92.601295,19,-6.721357345581055,653,0.004832930238571752,-7.680088520050049,0.4719657301902771,0.060685161501169205
1191,23680,57.16,760,103.123474,19,-6.675173282623291,683,0.004832930238571752,-4.68181037902832,0.5045625567436218,0.05571681633591652
1177,24440,56.99,770,104.93875,20,-6.846824645996094,721,0.004832930238571752,-6.451667785644531,0.6065971851348877,0.050145410001277924
1161,25380,60.52,780,116.12747,21,-7.037207126617432,768,0.004832930238571752,-3.899303913116455,1.3184149265289307,0.04480546712875366
1150,25960,65.11,790,127.480225,22,-8.06450080871582,797,0.004832930238571752,-7.019595623016357,0.8156173229217529,0.04209863021969795
1133,27000,66.75,800,134.65948,23,-8.369733810424805,849,0.004832930238571752,-7.502075672149658,0.5751733183860779,0.037677470594644547
1123,27600,71.33,810,145.2713,24,-8.304800033569336,879,0.004832930238571752,2.883261203765869,0.43655234575271606,0.035555146634578705
1120,27780,70.43,820,144.5751,24,-8.278703689575195,888,0.004832930238571752,-8.615291595458984,0.7114698886871338,0.035257093608379364
1103,29220,71.6,830,147.29034,26,-9.432010650634766,960,0.004832930238571752,-6.446012496948242,1.5184643268585205,0.03143918141722679
1102,29300,71.48,840,145.79718,26,-9.438573837280273,964,0.004832930238571752,-4.702426910400391,1.1609981060028076,0.03121209889650345
1085,30900,71.49,850,145.34084,28,-9.97028923034668,1044,0.004832930238571752,-5.484177589416504,1.8228759765625,0.02843557856976986
1084,30980,72.12,860,145.50745,28,-11.003520965576172,1048,0.004832930238571752,-3.1486973762512207,1.3299055099487305,0.028234675526618958
1074,32000,74.48,870,150.76917,29,-10.621688842773438,1099,0.004832930238571752,-6.469674110412598,0.7638851404190063,0.02712746150791645
1067,32680,74.5,880,149.67215,30,-10.907552719116211,1133,0.004832930238571752,-1.4999181032180786,2.408046245574951,0.026174943894147873
1058,33720,74.71,890,149.73041,31,-11.726082801818848,1185,0.004832930238571752,0.3271726369857788,1.1146575212478638,0.02504211664199829
1054,34380,73.98,900,146.86385,32,-11.579599380493164,1218,0.004832930238571752,-5.501132965087891,1.9325265884399414,0.024568848311901093
1045,35420,74.37,910,147.0487,33,-12.434043884277344,1270,0.004832930238571752,-2.478297710418701,0.7185919284820557,0.023713277652859688
1041,36100,79.0,920,157.70935,34,-12.825950622558594,1304,0.004832930238571752,-2.593069076538086,0.7144765853881836,0.02310905046761036
1035,36980,80.94,930,162.15002,35,-13.137752532958984,1348,0.004832930238571752,3.522350311279297,1.194725513458252,0.022737661376595497
1028,37820,81.67,940,164.28069,36,-13.235008239746094,1390,0.004832930238571752,-2.3310370445251465,1.4931483268737793,0.022274713963270187
1022,38640,82.73,950,167.04898,37,-14.144344329833984,1431,0.004832930238571752,0.2608118951320648,1.0033061504364014,0.02202623151242733
1016,39540,82.87,960,167.46152,38,-14.14924144744873,1476,0.004832930238571752,2.2515909671783447,1.6124889850616455,0.022177940234541893
1013,40320,83.63,970,169.42719,39,-14.182315826416016,1515,0.004832930238571752,-2.340670347213745,1.0923768281936646,0.02196103148162365
1010,41160,83.57,980,169.12598,40,-14.768423080444336,1557,0.004832930238571752,0.3019525408744812,1.1287717819213867,0.021414151415228844
1006,42040,83.57,990,169.45041,41,-15.867708206176758,1601,0.004832930238571752,-3.16685152053833,1.951920509338379,0.02139662206172943
1001,42880,84.83,1000,173.78783,42,-15.946205139160156,1643,0.004832930238571752,1.3856037855148315,1.160858392715454,0.020916666835546494
998,43600,84.37,1010,173.26007,43,-16.005252838134766,1679,0.004832930238571752,2.4999849796295166,1.9285731315612793,0.02051210217177868
993,44780,83.33,1020,170.59709,45,-16.76573944091797,1738,0.004832930238571752,0.8372406959533691,3.8199973106384277,0.020208125934004784
990,45280,83.45,1030,170.2023,45,-15.968488693237305,1763,0.004832930238571752,-4.500139236450195,2.764051675796509,0.020747307687997818
990,46500,83.62,1040,170.86742,46,-17.816619873046875,1824,0.004832930238571752,-0.9846965670585632,1.8584859371185303,0.019982241094112396
989,47060,83.78,1050,171.71025,47,-18.143356323242188,1852,0.004832930238571752,-0.9750650525093079,2.395793914794922,0.01957651413977146
988,48220,83.79,1060,172.42647,48,-17.99333953857422,1910,0.004832930238571752,1.2290053367614746,1.4670239686965942,0.01960201933979988
988,48680,83.76,1070,172.28384,49,-18.324932098388672,1933,0.004832930238571752,1.5418691635131836,1.0940368175506592,0.020114416256546974
991,50000,84.37,1080,175.64075,50,-18.984663009643555,1999,0.004832930238571752,0.10997205972671509,1.483709692955017,0.020116208121180534
