#{"t_start": 1692374400.5305362, "env_id": "CustomHopper-source-v0"}
r,l,t
7.804031,17,5.057776
13.76113,35,5.068009
20.054502,23,5.07467
3.267545,9,5.077734
10.181169,16,5.082646
8.220216,11,5.086136
20.680332,21,5.092469
19.281169,29,5.100317
8.457578,14,5.104537
22.509449,43,5.115656
12.044699,14,5.123366
54.452243,47,5.135345
11.485795,14,5.13971
2.566429,11,5.143235
11.825051,17,5.149368
8.599288,12,5.153314
26.423999,27,5.160416
52.408199,49,5.174066
28.019341,23,5.180445
14.021308,28,5.188599
9.747115,13,5.194258
8.712533,22,5.200264
10.79175,17,12.783853
8.225992,11,12.788294
18.349136,24,12.795066
27.134127,40,12.806994
9.689539,16,12.811435
58.574721,66,12.828538
8.125503,16,12.832999
14.093339,22,12.84011
9.372663,25,12.853615
8.586148,13,12.857432
8.921849,13,12.862647
28.256697,26,12.869823
16.147872,22,12.876347
5.605013,10,12.879389
36.671013,38,12.901337
5.761381,15,12.90581
21.463776,28,12.916922
10.209306,21,12.923282
11.960611,13,12.927731
9.282933,22,12.940904
11.364275,17,12.958941
14.198497,18,12.966588
13.964623,16,14.838964
12.866673,16,14.844481
21.149315,34,14.852825
4.397343,11,14.857599
25.799684,23,14.865682
7.804722,10,14.868993
8.805312,21,14.875546
8.342227,18,14.880595
5.505897,10,14.883585
20.298043,22,14.889053
71.74062,42,14.903267
19.277478,19,14.912517
14.108159,15,14.916974
9.820399,22,14.923582
7.242947,29,14.931008
15.225791,24,14.937303
26.104971,28,14.95368
8.006649,10,14.966034
8.22494,13,14.970061
8.826834,18,14.975331
19.591962,35,14.985703
19.865368,20,14.991568
8.571811,19,14.997216
13.124579,14,15.002733
8.024536,17,15.008758
3.115051,11,16.789358
54.261484,40,16.800849
12.380611,18,16.80647
9.45301,16,16.811688
159.283927,105,16.842954
6.033667,10,16.846937
2.823564,17,16.852006
16.569035,30,16.860502
13.153962,23,16.867897
12.016562,15,16.872617
22.119526,19,16.878054
16.883888,18,16.884253
9.729658,17,16.889338
9.205627,22,16.89599
9.34642,29,16.903842
7.720832,14,16.911912
6.766937,23,16.918518
8.310981,23,16.925282
22.750108,21,16.95215
6.122644,32,16.96717
11.547329,18,18.740603
15.254121,17,18.746511
16.291855,35,18.756449
15.221407,16,18.761361
9.92922,19,18.766458
51.870119,36,18.796243
21.840066,24,18.809339
16.67897,17,18.814782
7.863746,12,18.81922
22.662654,38,18.829847
9.357624,15,18.841468
27.303205,26,18.850431
24.294522,30,18.85933
5.350335,9,18.862772
6.380187,15,18.868336
26.864253,25,18.876905
97.759748,62,18.904538
90.613417,69,18.961097
16.757472,27,20.701675
16.655498,37,20.711898
7.566228,33,20.7205
15.250677,16,20.72635
15.50522,26,20.733755
7.678353,14,20.740418
9.060004,14,20.75352
20.634352,22,20.760353
12.996014,21,20.768148
14.388937,16,20.772481
21.262692,22,20.778118
58.153278,45,20.789163
14.475094,16,20.793698
90.069826,54,20.815509
149.42839,73,20.845747
10.025284,13,20.850827
5.177023,9,20.854152
50.085034,59,20.883746
18.093973,18,23.145076
4.315922,15,23.150277
5.270657,8,23.156585
13.484824,18,23.162091
11.016368,14,23.171867
17.491891,29,23.180576
11.228053,19,23.185789
17.515188,16,23.191626
11.956074,20,23.197035
41.693439,36,23.207071
10.272232,12,23.212093
14.042621,22,23.218802
18.114371,25,23.228878
6.222752,14,23.239287
21.896774,49,23.257775
58.06864,42,23.291012
10.09833,12,23.295351
5.691545,8,23.297997
34.185756,31,23.308214
7.990875,11,23.312268
2.423612,13,23.316424
32.592969,56,23.342506
10.052537,22,25.170727
9.19832,14,25.175261
11.296529,17,25.180575
18.016626,21,25.187837
10.681456,15,25.192308
7.622001,27,25.200199
13.402637,32,25.208894
10.908617,19,25.214717
9.899158,16,25.219299
11.367029,23,25.22542
16.46326,32,25.262877
6.845721,12,25.267276
5.456598,10,25.270374
14.97977,19,25.282607
7.912062,12,25.286721
16.319187,26,25.293802
8.881563,12,25.301444
13.540044,16,25.306708
24.20344,24,25.312976
12.616023,18,25.31849
12.139275,17,25.327576
11.212681,15,25.332058
12.935928,18,25.337453
13.17212,26,25.345984
4.954271,12,25.350425
6.586445,10,25.353776
7.858287,10,25.359484
19.287288,21,27.08084
22.67134,23,27.08764
22.251826,20,27.093268
8.394127,35,27.102489
19.625471,24,27.109406
5.325141,12,27.113361
13.283936,19,27.119846
8.861808,11,27.123494
12.447201,16,27.128251
15.062601,16,27.133148
9.056425,17,27.138282
31.921497,35,27.147199
9.723652,28,27.169065
11.169114,18,27.174138
24.528542,23,27.180584
26.062056,27,27.187539
8.624216,12,27.192733
13.553403,20,27.210664
14.689991,24,27.217296
4.609245,11,27.221214
6.38968,10,27.224481
9.639462,13,27.228423
10.084049,23,27.234583
14.626253,35,27.244398
22.191169,27,27.252573
10.29084,12,29.204514
18.078947,17,29.210671
6.119505,23,29.217326
15.767329,24,29.224242
43.767662,29,29.232872
14.212715,15,29.237738
9.875407,21,29.244245
7.966794,14,29.248461
11.129855,30,29.256618
12.826279,18,29.262128
7.26951,12,29.265787
17.391496,34,29.275964
14.367776,15,29.280622
11.154283,32,29.298307
10.325515,22,29.305474
2.573962,20,29.320259
8.606231,17,29.328432
102.880002,59,29.353577
16.276155,16,29.358796
9.383735,12,29.362799
11.711578,14,29.368363
10.676554,13,29.374273
33.353959,38,31.168125
10.230527,16,31.173014
7.466737,14,31.177689
17.785936,18,31.182883
9.122807,13,31.189704
6.426602,9,31.197314
50.692411,53,31.210189
5.947634,26,31.217099
24.140712,22,31.222831
17.750172,22,31.231105
18.767477,20,31.236958
9.972058,14,31.241052
6.716531,27,31.247614
19.551886,24,31.25596
5.674143,8,31.258522
11.154247,19,31.263607
15.782627,21,31.269438
7.601305,10,31.27238
17.940795,22,31.278981
82.36592,50,31.300113
14.062326,25,31.317556
19.562481,23,31.324874
14.004824,28,31.332451
10.934211,14,33.016181
13.854624,25,33.023732
15.082888,24,33.037526
7.039945,9,33.047851
5.567117,9,33.051
25.979932,23,33.061729
13.605398,20,33.068243
15.948534,16,33.072926
8.964082,17,33.077743
6.837949,10,33.081138
14.948465,26,33.088847
13.792382,24,33.095809
17.430311,25,33.114286
16.50468,29,33.121907
43.144347,35,33.131027
9.377132,12,33.134506
13.71382,31,33.143352
23.904103,24,33.156299
13.47893,17,33.161143
19.216244,20,33.16723
9.21612,11,33.170922
7.883748,16,33.180383
8.646884,14,33.185186
6.684123,15,33.189332
22.855755,24,33.195866
11.022294,16,33.200333
19.358079,20,34.882609
10.79879,16,34.887525
10.714928,13,34.891437
5.129938,12,34.895421
8.489549,11,34.907468
8.571214,19,34.915063
9.723202,12,34.918771
15.190748,23,34.926458
13.267937,16,34.940557
15.896482,28,34.954382
13.935402,21,34.967092
24.834672,26,34.974967
10.570056,16,34.985849
12.234595,17,34.993479
57.963697,46,35.006325
10.598705,27,35.027794
9.829045,17,35.033546
10.125952,16,35.038896
12.86843,16,35.044504
9.873691,13,35.055551
14.464328,16,35.061603
8.098426,14,35.065759
11.00116,25,35.09202
11.266359,21,35.097878
8.595856,15,35.102217
7.104848,16,35.110873
11.054969,22,37.039366
6.991349,14,37.044061
10.495596,31,37.052742
12.856905,17,37.064764
7.534232,19,37.071723
8.274308,21,37.077619
10.3731,12,37.081989
19.961504,21,37.087752
12.70692,22,37.094392
15.431148,30,37.102171
2.71619,11,37.105766
5.626838,10,37.109584
22.570003,21,37.115429
23.84219,24,37.121776
17.875712,30,37.130718
9.765338,15,37.135235
9.572175,13,37.138911
10.970072,13,37.142609
10.610718,15,37.150138
11.014273,15,37.155907
8.991115,13,37.159666
9.002707,15,37.164126
12.046697,20,37.176301
81.8114,49,37.189937
20.026063,21,37.196543
9.003039,37,39.233173
8.354981,17,39.238552
12.418572,17,39.244847
5.623028,8,39.254424
12.795024,16,39.259047
7.248899,12,39.262735
11.637946,15,39.269988
8.928822,11,39.273191
20.880091,27,39.280908
4.245069,12,39.287526
7.267522,12,39.291662
10.814326,23,39.297679
7.08042,11,39.300817
13.784315,27,39.311566
20.318992,20,39.316724
15.814501,23,39.324153
17.910638,48,39.338953
31.656548,35,39.347681
9.98657,13,39.351234
14.889739,22,39.35818
16.578701,15,39.364817
41.63713,41,39.375082
9.070838,14,39.379725
12.687457,17,39.385097
5.092577,8,39.388556
