#{"t_start": 1692445689.2601895, "env_id": "CustomHopper-target-v0"}
r,l,t
8.787391,24,0.717236
13.437255,16,0.817381
31.381002,29,0.99103
11.742789,15,1.082304
8.287936,11,1.128456
27.286403,27,1.260433
18.960684,26,1.361391
14.611164,29,1.476458
13.702568,17,1.563446
10.58695,12,1.611522
12.154286,19,1.691812
7.717851,27,1.812318
21.903719,23,1.918037
19.183089,30,2.046461
46.388471,42,2.210287
15.479664,16,2.273817
8.087444,11,2.327195
8.774533,15,2.382191
11.382517,16,2.446234
46.163236,42,2.612159
6.703373,16,2.680765
12.972425,22,2.784239
12.270694,14,2.841788
11.446405,15,3.136754
13.723555,18,3.559818
40.443634,43,4.547214
13.152823,20,4.973524
9.332354,11,5.195086
86.46321,49,6.258948
13.782223,18,6.623098
12.526856,27,7.232639
6.14208,11,7.509082
14.79372,25,8.063015
14.970961,17,8.462435
33.92518,29,9.157753
19.642014,23,9.66347
11.849295,17,10.022002
13.328196,20,10.564967
14.983484,16,10.917273
38.356526,36,11.679266
53.176953,38,12.473804
10.287821,16,12.796838
183.726038,149,15.971567
176.918174,95,18.159967
61.954453,90,20.073687
109.800217,60,21.436167
11.970968,36,22.269837
72.403396,44,23.182206
53.832525,31,23.828191
173.123798,98,25.903814
146.597064,73,27.558932
226.200499,112,30.013606
222.130752,106,32.500715
208.151961,96,34.507222
211.558022,94,36.593633
221.253407,102,38.836076
234.213995,102,41.156096
242.248646,110,43.558754
185.569601,87,45.401255
222.672888,95,47.372195
234.838881,98,49.504678
196.085482,87,51.490946
193.905324,86,53.301778
203.548945,90,55.185297
201.975286,90,57.239293
182.037646,87,59.146796
189.139815,88,61.040392
201.094848,88,62.914657
192.028284,86,64.784981
187.436108,85,66.642083
184.887298,84,68.587909
193.309133,87,70.495872
197.093272,88,72.410953
199.079718,89,74.400229
199.459326,93,76.316042
199.172871,93,78.506996
198.750984,93,80.677202
228.836925,97,82.698343
224.636174,95,84.831961
262.726711,107,87.155617
203.772394,94,89.203823
264.861863,112,91.626221
238.958079,104,93.764425
241.658162,102,95.992659
242.432288,106,98.189897
250.290592,108,100.510741
271.129413,110,102.821909
200.896107,92,104.825719
221.533989,94,106.883624
235.843844,104,109.199796
191.151701,91,111.163342
203.957405,91,113.296557
262.830721,117,115.779709
276.616254,116,118.251897
276.512157,116,120.731749
298.427703,128,123.437087
307.343943,122,125.9685
303.326346,124,128.611916
292.698603,121,131.18917
288.632797,116,133.533578
332.724386,124,136.188606
298.097031,120,138.799701
306.63595,118,141.330778
279.194132,117,143.775611
269.077021,111,146.24236
288.832357,115,148.759513
277.858611,114,151.280931
256.890306,115,153.705079
283.159824,113,156.092021
280.412298,116,158.636204
178.594482,83,160.385597
313.88819,120,162.908648
279.877995,113,165.312202
283.04318,121,167.898846
262.903423,109,170.330985
259.054652,118,172.748548
250.046849,112,175.209354
280.538655,116,177.718456
254.666166,110,180.092888
244.105899,115,182.536585
254.011093,115,185.119327
275.089698,117,187.611577
300.420301,122,190.314572
