time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/learning_rate
2061,159,15.9,0,10,9.9818386,,,,,,
2345,410,20.5,0,20,14.104581300000001,,,,,,
2219,615,20.5,0,30,14.448111333333337,,,,,,
2222,812,20.3,0,40,14.980969925,,,,,,
2230,1047,20.94,0,50,15.542877619999999,,,,,,
2351,1291,21.516666666666666,0,60,16.283688683333335,,,,,,
2258,1489,21.271428571428572,0,70,16.386546142857142,,,,,,
2346,1758,21.975,0,80,17.092651800000002,,,,,,
2424,1971,21.9,0,90,16.967633477777778,,,,,,
2389,2211,22.11,0,100,17.26578893,,,,,,
2401,2404,22.45,1,110,17.582507,,,,,,
2395,2686,22.76,1,120,17.962693119999997,,,,,,
2355,2964,23.49,1,130,18.794810830000003,,,,,,
2390,3119,23.07,1,140,18.305571339999997,,,,,,
2417,3311,22.64,1,150,17.8737705,,,,,,
2429,3532,22.41,1,160,18.11991985,,,,,,
2454,3759,22.7,1,170,18.594575279999997,,,,,,
2428,3957,21.99,1,180,17.76063934,,,,,,
2415,4152,21.81,1,190,17.236885700000002,,,,,,
2444,4383,21.72,1,200,16.92866111,,,,,,
2466,4650,22.46,1,210,18.23360904,,,,,,
2480,4884,21.98,1,220,17.87666322,,,,,,
2472,5038,20.74,2,230,16.466233759999998,,,,,,
2489,5291,21.72,2,240,16.87034841,,,,,,
2507,5551,22.4,2,250,18.186929109999998,,,,,,
2533,5807,22.75,2,260,18.53256863,,,,,,
2511,5952,21.93,2,270,17.48477376,,,,,,
2495,6210,22.53,2,280,18.270858810000004,,,,,,
2508,6409,22.57,2,290,18.483742420000002,,,,,,
2521,6613,22.3,2,300,18.22190824,,,,,,
2535,6856,22.06,2,310,17.711065930000004,,,,,,
2547,7059,21.75,2,320,17.663071149999997,,,,,,
2559,7295,22.57,2,330,18.70571189,,,,,,
2558,7544,22.53,2,340,19.123334810000003,,,,,,
2549,7757,22.06,3,350,17.847655680000003,,,,,,
2557,7928,21.21,3,360,16.68645718,,,,,,
2571,8112,21.6,3,370,16.939073349999997,,,,,,
2565,8314,21.04,3,380,16.191085449999996,,,,,,
2577,8605,21.96,3,390,17.79805426,,,,,,
2562,8819,22.06,3,400,18.147941649999996,,,,,,
2567,9021,21.65,3,410,17.778376029999997,,,,,,
2553,9199,21.4,3,420,17.27089442,,,,,,
