time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
1414,700,52.54,20540,14,72.21239448,-8.035411834716797,0.004641588833612777,-5.338120460510254,0.14962124824523926,0.09636092931032181,526
1397,710,54.7,21020,15,76.13689968,-8.424785614013672,0.004641588833612777,-5.230916500091553,0.20817257463932037,0.08812118321657181,550
1390,720,56.94,21280,15,79.86997435,-8.407831192016602,0.004641588833612777,-5.529109477996826,0.3162825107574463,0.08414165675640106,563
1378,730,57.0,21700,15,81.55811252,-9.493509292602539,0.004641588833612777,-5.9643235206604,0.4055570363998413,0.07818019390106201,584
1368,740,55.09,22020,16,79.06236333,-7.650420188903809,0.004641588833612777,-5.637725830078125,0.33790719509124756,0.07397609949111938,600
1357,750,51.49,22380,16,74.87805239999999,-8.933004379272461,0.004641588833612777,-5.915426254272461,0.40500515699386597,0.0695979967713356,618
1352,760,49.9,22640,16,73.66625820000002,-9.268439292907715,0.004641588833612777,-6.209079265594482,0.3432823717594147,0.06650863587856293,631
1340,770,47.07,23000,17,70.30233372000001,-8.957621574401855,0.004641588833612777,-6.3360443115234375,0.20787014067173004,0.06260158866643906,649
1329,780,42.82,23320,17,66.85490706000002,-8.861042976379395,0.004641588833612777,-5.952474594116211,0.29843178391456604,0.05943605303764343,665
1322,790,41.24,23580,17,65.27570496,-7.407407760620117,0.004641588833612777,-6.367445945739746,0.5755417346954346,0.05703941732645035,678
1304,800,39.07,24240,18,62.27574831999999,-4.941343307495117,0.004641588833612777,-6.895484924316406,0.20114445686340332,0.05149279534816742,711
1301,810,34.24,24420,18,58.04713637999999,-10.236059188842773,0.004641588833612777,-6.693469047546387,0.6210213899612427,0.05026428773999214,720
1288,820,33.85,24980,19,57.51747722,-7.533792495727539,0.004641588833612777,-6.944968223571777,0.3086630702018738,0.0461665615439415,748
1284,830,35.04,25180,19,61.002927719999995,-5.852717399597168,0.004641588833612777,-7.297548294067383,0.5013245344161987,0.04490932449698448,758
1272,840,35.36,25480,20,62.48931992000001,-10.267385482788086,0.004641588833612777,-7.311315059661865,0.5859459638595581,0.043208785355091095,773
1246,850,39.06,26860,21,71.93785514999999,-3.651782989501953,0.004641588833612777,-8.060354232788086,0.23667728900909424,0.03703572601079941,842
1241,860,44.89,27200,21,85.50272593,-4.237918376922607,0.004641588833612777,-8.298641204833984,0.878818154335022,0.035838913172483444,859
1210,870,49.82,28560,23,96.49476338999999,-3.0004098415374756,0.004641588833612777,-8.456182479858398,0.35656172037124634,0.031323160976171494,927
1204,880,54.38,28900,23,106.85554084000002,-6.424797058105469,0.004641588833612777,-8.441448211669922,1.244742751121521,0.030626658350229263,944
1190,890,61.2,30280,25,122.39014953000002,0.5390393137931824,0.004641588833612777,-8.85659408569336,0.3135077953338623,0.027679860591888428,1013
1187,900,65.14,30520,25,130.86547469999996,-4.225931644439697,0.004641588833612777,-9.550614356994629,0.8186907768249512,0.027388837188482285,1025
1165,910,70.46,31980,27,142.52509711000002,-3.1966347694396973,0.004641588833612777,-10.288840293884277,2.015209913253784,0.026146115735173225,1098
1161,920,74.97,32220,27,152.38479135,-2.6176586151123047,0.004641588833612777,-10.419416427612305,0.672000527381897,0.025764966383576393,1110
1144,930,78.66,33580,29,159.94185904,-2.3805322647094727,0.004641588833612777,-10.339432716369629,1.5119266510009766,0.02498442865908146,1178
1141,940,82.98,33960,29,169.05283012,3.6225008964538574,0.004641588833612777,-10.752922058105469,1.126594066619873,0.02468077465891838,1197
1126,950,84.35,35300,31,171.39871126999998,-1.9527080059051514,0.004641588833612777,-11.896895408630371,0.388199120759964,0.024531003087759018,1264
1120,960,84.5,35700,31,170.81981218,-2.6600453853607178,0.004641588833612777,-11.657754898071289,0.9284673929214478,0.024308854714035988,1284
1101,970,84.35,37120,33,169.81497368999996,3.4618046283721924,0.004641588833612777,-12.119714736938477,0.8850644826889038,0.023401424288749695,1355
1098,980,84.53,37400,34,169.74317991000004,-1.1320053339004517,0.004641588833612777,-12.73825454711914,0.8654923439025879,0.023493945598602295,1369
1088,990,84.83,38920,35,170.03948161000005,0.05189451575279236,0.004641588833612777,-13.297677993774414,1.3375581502914429,0.02234702557325363,1445
1087,1000,85.69,39160,36,171.91200691999998,3.0476207733154297,0.004641588833612777,-13.544974327087402,1.7767210006713867,0.022272320464253426,1457
1075,1010,85.56,40660,37,171.34284245999996,-0.4793165624141693,0.004641588833612777,-13.518285751342773,1.7312462329864502,0.021638130769133568,1532
1074,1020,85.59,40920,38,171.19350962000004,-4.030552387237549,0.004641588833612777,-14.303276062011719,1.4684550762176514,0.021566787734627724,1545
1065,1030,85.41,42400,39,171.04598814000005,1.4599082469940186,0.004641588833612777,-15.549729347229004,1.6479887962341309,0.021412109956145287,1619
1063,1040,85.53,42720,40,171.48666600999996,0.7066292762756348,0.004641588833612777,-15.299179077148438,1.210715413093567,0.02167082019150257,1635
1059,1050,84.44,43540,41,169.36253177999998,6.385533332824707,0.004641588833612777,-15.692012786865234,1.076654076576233,0.021791789680719376,1676
1055,1060,84.54,44540,42,169.68271452000002,-3.6465682983398438,0.004641588833612777,-16.59341812133789,1.1765930652618408,0.02197825349867344,1726
