time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/actor_loss
0,10,2418,21.2,212,26.344316299999996,,,,,,
0,20,2430,21.4,428,20.1773111,,,,,,
0,30,2657,21.3,639,18.584642,,,,,,
0,40,2803,22.1,884,18.338083974999996,,,,,,
0,50,2602,21.04,1052,16.899536159999997,,,,,,
0,60,2710,20.816666666666666,1249,17.264027183333333,,,,,,
0,70,2767,20.757142857142856,1453,17.044721342857144,,,,,,
0,80,2796,21.125,1690,17.46409715,,,,,,
0,90,2795,20.7,1863,16.802527,,,,,,
0,100,2738,20.67,2067,16.485887990000002,,,,,,
0,110,2747,20.06,2218,14.83598759,,,,,,
0,120,2773,19.96,2424,14.94816459,,,,,,
0,130,2772,20.25,2664,15.523842480000006,,,,,,
1,140,2777,19.7,2854,15.32477368,,,,,,
1,150,2738,20.05,3057,16.17014689,,,,,,
1,160,2774,20.15,3264,15.780833710000001,,,,,,
1,170,2714,20.86,3539,16.52247921,,,,,,
1,180,2734,20.7,3760,16.474832019999997,,,,,,
1,190,2756,21.35,3998,17.30170709,,,,,,
1,200,2773,21.74,4241,18.0828069,,,,,,
1,210,2760,22.44,4462,19.42896698,,,,,,
1,220,2740,22.39,4663,19.44553981,,,,,,
1,230,2744,21.66,4830,18.76295289,,,,,,
1,240,2757,21.78,5032,18.692720840000003,,,,,,
1,250,2720,21.64,5221,18.14698967,,,,,,
1,260,2736,21.44,5408,18.00682117,,,,,,
2,270,2703,21.35,5674,17.759207679999996,,,,,,
2,280,2713,22.0,5960,18.65163923,,,,,,
2,290,2721,21.29,6127,17.97747651,,,,,,
2,300,2729,21.12,6353,18.08374678,,,,,,
2,310,2738,20.99,6561,17.40205877,,,,,,
2,320,2749,22.13,6876,19.33427048,,,,,,
2,330,2763,22.43,7073,19.323990780000003,,,,,,
2,340,2768,22.19,7251,18.959313230000003,,,,,,
2,350,2779,22.26,7447,18.67883468,,,,,,
2,360,2777,22.35,7643,19.14939776,,,,,,
2,370,2788,22.46,7920,20.576986639999994,,,,,,
2,380,2802,22.19,8179,19.37461345,,,,,,
3,390,2787,23.32,8459,20.96392928,,,,,,
3,400,2775,23.03,8656,20.13552689,,,,,,
3,410,2725,22.92,8853,19.873211769999998,,,,,,
3,420,2730,22.87,9163,19.91242348,,,,,,
3,430,2722,23.32,9405,20.240096769999997,,,,,,
3,440,2728,23.77,9628,20.800639320000002,,,,,,
3,450,2728,23.66,9813,21.067311750000002,,,,,,
4,460,2257,24.04,10047,21.070389560000002,46,0.8736906051635742,-0.09704066812992096,0.00042813323987193956,0.980903685092926,-4.6863250732421875
8,470,1209,24.14,10334,19.9441191,333,0.5524740219116211,-0.7146438956260681,0.00042813323987193956,0.8675286769866943,-6.921011447906494
15,480,715,25.78,10757,22.17820375,756,1.09528648853302,-1.5526659488677979,0.00042813323987193956,0.7253997325897217,-10.558034896850586
23,490,476,27.97,11256,27.08072766999999,1255,2.0479846000671387,-2.3243441581726074,0.00042813323987193956,0.5919444561004639,-14.202234268188477
30,500,381,31.04,11760,35.33397869,1759,3.117094039916992,-2.852858543395996,0.00042813323987193956,0.48701012134552,-17.86148452758789
42,510,297,36.56,12509,50.13013246,2508,7.190630912780762,-3.1154444217681885,0.00042813323987193956,0.37148427963256836,-25.17262840270996
55,520,240,41.99,13362,65.42994532,3361,3.1028645038604736,-3.473067045211792,0.00042813323987193956,0.27758532762527466,-33.69847106933594
69,530,205,48.64,14269,83.70329084000001,4268,9.752727508544922,-3.158717632293701,0.00042813323987193956,0.2072732150554657,-42.56305694580078
83,540,182,56.39,15267,106.02490017,5266,18.25066566467285,-1.978806495666504,0.00042813323987193956,0.1539018303155899,-52.28733825683594
99,550,164,65.31,16344,129.91885115999995,6343,23.799793243408203,-0.760998010635376,0.00042813323987193956,0.12121832370758057,-64.16632080078125
121,560,145,76.32,17679,156.57420861,7678,10.723552703857422,0.08322492241859436,0.00042813323987193956,0.10836300253868103,-77.80824279785156
142,570,133,86.37,18971,186.16481432,8970,25.791057586669922,0.05899128317832947,0.00042813323987193956,0.11860816925764084,-88.92286682128906
161,580,124,93.53,20110,210.86306720000005,10109,12.762524604797363,0.2003900110721588,0.00042813323987193956,0.12590818107128143,-103.45511627197266
179,590,117,98.99,21155,228.41235726000002,11154,13.940726280212402,0.5371570587158203,0.00042813323987193956,0.12207599729299545,-112.51353454589844
196,600,112,103.85,22145,242.26544465000003,12144,12.919815063476562,-0.4118916988372803,0.00042813323987193956,0.1146712601184845,-118.16654968261719
213,610,108,106.35,23144,250.02640605999997,13143,35.09719467163086,-0.47863131761550903,0.00042813323987193956,0.10923230648040771,-123.7947006225586
234,620,103,109.57,24319,261.77045685,14318,18.620662689208984,0.13058345019817352,0.00042813323987193956,0.10565847903490067,-131.46163940429688
253,630,100,112.12,25481,271.71377214000006,15480,22.136898040771484,0.4366655647754669,0.00042813323987193956,0.10971322655677795,-133.75425720214844
274,640,97,114.54,26721,279.44608956,16720,102.16484832763672,0.2659275233745575,0.00042813323987193956,0.1156194657087326,-139.0743408203125
296,650,94,116.41,27985,285.17490721,17984,38.494911193847656,1.0281237363815308,0.00042813323987193956,0.11759684234857559,-139.67251586914062
318,660,92,117.37,29416,292.00295559,19415,16.838027954101562,-0.6892885565757751,0.00042813323987193956,0.11375726014375687,-143.33676147460938
343,670,90,120.03,30974,294.82385698999997,20973,20.90528678894043,-0.06672370433807373,0.00042813323987193956,0.11152444779872894,-145.10354614257812
366,680,88,123.41,32451,299.35447795999994,22450,15.071879386901855,0.268911749124527,0.00042813323987193956,0.11305057257413864,-148.4451904296875
388,690,87,127.57,33912,307.12953584,23911,98.0831298828125,-0.04138325899839401,0.00042813323987193956,0.10935547947883606,-149.26402282714844
412,700,85,131.17,35262,316.09269145999997,25261,119.76318359375,0.12048932909965515,0.00042813323987193956,0.0992698073387146,-148.32119750976562
441,710,83,138.24,36968,327.57308458999995,26967,16.582569122314453,0.2618982791900635,0.00042813323987193956,0.09361891448497772,-149.96946716308594
468,720,82,142.03,38522,331.39983892000004,28521,31.214515686035156,0.5819060206413269,0.00042813323987193956,0.09775602072477341,-150.4385986328125
492,730,81,144.31,39912,336.63257143000004,29911,14.930994987487793,-0.20620065927505493,0.00042813323987193956,0.09146126359701157,-151.2806854248047
516,740,79,145.6,41281,340.27823782,31280,18.926788330078125,-0.16281194984912872,0.00042813323987193956,0.08566974103450775,-147.78480529785156
535,750,79,143.67,42352,334.63834518000004,32351,17.282615661621094,-0.10293442010879517,0.00042813323987193956,0.08261871337890625,-145.75137329101562
560,760,78,143.99,43815,336.99447262999996,33814,19.871013641357422,-0.9099005460739136,0.00042813323987193956,0.09243360906839371,-150.11651611328125
