rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
16.8282052,0,247,24.7,2569,10,,,,,,
18.2199854,0,506,25.3,2443,20,,,,,,
17.039712533333333,0,710,23.666666666666668,2285,30,,,,,,
18.239846774999997,0,970,24.25,2474,40,,,,,,
17.77342976,0,1171,23.42,2572,50,,,,,,
17.50842145,0,1392,23.2,2541,60,,,,,,
17.873399385714283,0,1621,23.15714285714286,2569,70,,,,,,
17.856442762500002,0,1861,23.2625,2659,80,,,,,,
17.841083588888885,0,2079,23.1,2688,90,,,,,,
20.162950880000004,0,2431,24.31,2772,100,,,,,,
20.120625389999997,0,2656,24.09,2701,110,,,,,,
19.646803169999995,1,2868,23.62,2702,120,,,,,,
20.658599380000002,1,3138,24.28,2731,130,,,,,,
20.17533044,1,3363,23.93,2764,140,,,,,,
20.67159013,1,3612,24.41,2781,150,,,,,,
22.009429290000003,1,3892,25.0,2800,160,,,,,,
21.747897420000005,1,4119,24.98,2708,170,,,,,,
21.404306269999996,1,4288,24.27,2682,180,,,,,,
21.69997701,1,4528,24.49,2700,190,,,,,,
18.86937312,1,4704,22.73,2577,200,,,,,,
18.738902680000002,1,4915,22.59,2598,210,,,,,,
20.43176877,2,5242,23.74,2595,220,,,,,,
19.50250233,2,5438,23.0,2612,230,,,,,,
19.23270138,2,5617,22.54,2603,240,,,,,,
18.63672217,2,5796,21.84,2609,250,,,,,,
19.3881561,2,6137,22.45,2634,260,,,,,,
19.456250569999998,2,6371,22.52,2633,270,,,,,,
19.73397753,2,6572,22.84,2653,280,,,,,,
19.690391209999998,2,6779,22.51,2659,290,,,,,,
20.547319399999996,2,7002,22.98,2642,300,,,,,,
20.47970496,2,7193,22.78,2628,310,,,,,,
19.515826000000004,2,7441,21.99,2636,320,,,,,,
19.566887879999996,2,7653,22.15,2606,330,,,,,,
19.72696675,3,7854,22.37,2576,340,,,,,,
20.115929409999996,3,8052,22.56,2593,350,,,,,,
18.82380686,3,8314,21.77,2531,360,,,,,,
18.70359291,3,8531,21.6,2548,370,,,,,,
19.10233044,3,8772,22.0,2557,380,,,,,,
18.741300840000005,3,8972,21.93,2545,390,,,,,,
18.188304300000002,3,9170,21.68,2527,400,,,,,,
18.01773738,3,9347,21.54,2524,410,,,,,,
17.61993751,3,9551,21.1,2516,420,,,,,,
17.55239808,3,9732,20.79,2512,430,,,,,,
17.337652719999998,3,9902,20.48,2518,440,,,,,,
16.979141260000002,5,10088,20.36,1865,450,-5.072109699249268,0.7580549716949463,-0.11407359689474106,0.9775645136833191,0.00026366508987303583,87
16.230937459999996,8,10313,19.99,1174,460,-6.984103202819824,0.385176420211792,-0.4136267602443695,0.9212771654129028,0.00026366508987303583,312
19.23027509,15,10764,22.33,702,470,-10.811725616455078,1.351869821548462,-0.9613831639289856,0.8190017938613892,0.00026366508987303583,763
