rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,time/fps,train/ent_coef,time/total_timesteps,train/critic_loss,train/learning_rate,train/ent_coef_loss,time/episodes,time/time_elapsed,train/n_updates
23.1,20.8310983,-5.6468024253845215,39,0.9102287888526917,231,0.2706523537635803,0.000728321,-0.4711550772190094,10,5,130
22.65,20.14173775,-6.980199813842773,40,0.7748415470123291,453,0.2721322774887085,0.0007267004,-1.286565899848938,20,11,352
42.3,58.7699951,-14.886434555053711,41,0.4380038380622864,1269,0.2941690981388092,0.0007207435999999999,-3.52545428276062,30,30,1168
52.075,89.011704525,-23.72749137878418,43,0.263446182012558,2083,1.2671294212341309,0.0007148014,-4.752734184265137,40,48,1982
58.74,107.03458408,-31.350818634033203,42,0.16050076484680176,2937,1.3370721340179443,0.0007085672,-4.551448345184326,50,69,2836
62.4,117.11395373333332,-38.946067810058594,41,0.10768856853246689,3744,1.5645005702972412,0.0007026761,-3.4884538650512695,60,90,3643
66.57142857142857,129.81896282857142,-47.76689147949219,41,0.07760666310787201,4660,3.289907932281494,0.0006959892999999999,-1.7560749053955078,70,112,4559
69.6,140.4549211625,-57.24334716796875,41,0.06294116377830505,5568,3.2079274654388428,0.0006893609,0.28257304430007935,80,134,5467
71.64444444444445,147.46009427777778,-63.10297393798828,41,0.05636932700872421,6448,2.950699806213379,0.0006829369,-0.6542596220970154,90,156,6347
73.19,152.0199612,-68.9021987915039,41,0.054748717695474625,7319,2.696439266204834,0.0006765785999999999,-0.05944589525461197,100,176,7218
79.91,170.73430675999995,-73.96304321289062,41,0.060592155903577805,8222,4.175378799438477,0.0006699866999999999,-0.02677571028470993,110,197,8121
87.0,189.87017541,-81.15450286865234,41,0.06340174376964569,9153,2.677077293395996,0.0006631903999999999,-1.2014371156692505,120,219,9052
88.56,198.95002082,-84.0398178100586,42,0.06255284696817398,10125,3.514369487762451,0.0006560947999999999,0.15180501341819763,130,240,10024
89.83,203.42884145999997,-86.65045166015625,42,0.06144976243376732,11066,17.22954559326172,0.0006492255,0.38252007961273193,140,260,10965
91.93,212.16725656,-90.9090347290039,42,0.07747252285480499,12130,6.026638031005859,0.0006414582999999999,0.9513488411903381,150,283,12029
95.63,225.15489365999997,-98.20758819580078,42,0.07772201299667358,13307,3.485910415649414,0.0006328662,0.16998319327831268,160,312,13206
98.25,233.08523796999998,-104.28874969482422,42,0.07491480559110641,14485,3.2233400344848633,0.0006242668,0.5004590153694153,170,341,14384
101.24,239.91250137999998,-104.3218002319336,42,0.07514623552560806,15692,3.6122961044311523,0.0006154557,-0.5290975570678711,180,370,15591
103.97,246.16645800999999,-109.72640991210938,42,0.07339546084403992,16845,4.960854530334473,0.0006070387999999999,0.08147665858268738,190,398,16744
107.47,257.17621377,-107.63177490234375,42,0.0707533210515976,18066,4.597604274749756,0.0005981255,-0.056190527975559235,200,426,17965
111.05,266.94338123,-111.56689453125,42,0.0673835352063179,19327,44.87519073486328,0.0005889202,-0.08659952878952026,210,456,19226
114.19,276.49873489,-109.57986450195312,42,0.06564868241548538,20572,5.751537799835205,0.0005798317,-0.48675140738487244,220,483,20471
116.4,283.45597979,-113.73635864257812,42,0.06677839905023575,21765,22.194839477539062,0.0005711227999999999,1.0329705476760864,230,510,21664
119.32,291.23053447999996,-117.61288452148438,42,0.06912658363580704,22998,4.325622081756592,0.0005621218999999999,-0.09499044716358185,240,538,22897
120.29,293.16824994999996,-111.92457580566406,42,0.07346963882446289,24159,3.990532398223877,0.0005536466,0.6434471607208252,250,568,24058
120.32,292.52052477999996,-114.88451385498047,42,0.06936255097389221,25339,4.239618301391602,0.0005450326,0.24679195880889893,260,596,25238
120.6,294.26057419,-122.18370819091797,42,0.06489520519971848,26545,4.871540069580078,0.0005362288,-0.692401111125946,270,626,26444
120.92,297.12492158000003,-119.40650177001953,42,0.06147725507616997,27784,2.2716777324676514,0.0005271840999999999,-0.3084260821342468,280,656,27683
122.38,303.5684130100001,-120.10041809082031,42,0.0636100098490715,29083,2.4727559089660645,0.0005177013999999999,-0.3953767418861389,290,687,28982
