rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss
9.733713400000001,3470,0,400,10,14.4,,,,,,
13.1523275,3384,0,600,20,17.5,,,,,,
13.5830832,3519,0,780,30,17.633333333333333,,,,,,
14.73335285,3682,0,960,40,18.95,,,,,,
14.435149260000001,3863,0,1160,50,18.98,,,,,,
14.807620114754098,3901,0,1400,60,18.918032786885245,,,,,,
15.229607471428572,3983,0,1660,70,18.942857142857143,,,,,,
15.769512271604938,4032,0,1840,80,19.28395061728395,,,,,,
16.543953322222222,4164,0,2080,90,19.844444444444445,,,,,,
16.62355484,4249,0,2280,100,19.92,,,,,,
17.581163859999997,4329,0,2520,110,20.52,,,,,,
17.56413879,4331,0,2720,120,20.84,,,,,,
18.86785625,4390,0,2900,130,21.62,,,,,,
19.027047789999997,4437,0,3140,140,21.64,,,,,,
18.756424879999997,4493,0,3340,150,21.38,,,,,,
18.68610976,4515,0,3560,160,21.58,,,,,,
19.21003594,4474,0,3760,170,22.24,,,,,,
18.67352662,4492,0,3940,180,22.01,,,,,,
17.497647800000003,4466,0,4180,190,21.32,,,,,,
17.69642979,4517,0,4440,200,21.46,,,,,,
17.09692421,4446,1,4580,210,21.1,,,,,,
17.293952540000003,4494,1,4800,220,21.01,,,,,,
16.97823512,4513,1,4980,230,20.73,,,,,,
16.58861497,4524,1,5160,240,20.66,,,,,,
16.856711660000002,4565,1,5400,250,20.77,,,,,,
17.00205594,4591,1,5580,260,20.79,,,,,,
17.489723950000002,4597,1,5760,270,20.8,,,,,,
16.63017793,4616,1,6000,280,20.17,,,,,,
17.79761322,4663,1,6260,290,21.06,,,,,,
17.85117895,4696,1,6460,300,20.99,,,,,,
17.77080782,4712,1,6720,310,21.19,,,,,,
17.356718700000002,4737,1,6920,320,20.99,,,,,,
16.335445630000002,4764,1,7140,330,20.81,,,,,,
16.580902889999997,4774,1,7280,340,21.03,,,,,,
17.071572240000002,4796,1,7520,350,21.18,,,,,,
16.57563054,4802,1,7720,360,20.93,,,,,,
16.032394189999998,4833,1,7960,370,20.55,,,,,,
16.52136741,4865,1,8220,380,21.59,,,,,,
16.154218009999997,4894,1,8460,390,21.53,,,,,,
15.922435850000001,4893,1,8660,400,21.47,,,,,,
16.924190590000002,4875,1,8880,410,22.32,,,,,,
17.354154089999998,4859,1,9120,420,22.31,,,,,,
17.47263128,4838,1,9380,430,22.18,,,,,,
17.34333316,4818,1,9580,440,22.18,,,,,,
18.16729176,4784,2,9900,450,23.0,,,,,,
18.994123369999997,4198,2,10220,460,23.77,10,8.491142272949219,1.0306140184402466,0.03593813663804626,0.1524689942598343,-2.1564788818359375
19.70769146,3846,2,10440,470,24.93,21,4.3514204025268555,0.8804481625556946,0.03593813663804626,-0.6292665004730225,-3.8766050338745117
18.887268149999997,3704,2,10580,480,23.99,28,1.3708701133728027,0.7554985284805298,0.03593813663804626,-1.39927077293396,-3.038694381713867
19.213290219999998,3498,3,10780,490,23.53,38,0.41200512647628784,0.5870219469070435,0.03593813663804626,-2.64292573928833,-3.021094799041748
18.73976401,3399,3,10880,500,22.73,43,0.3502548933029175,0.512588620185852,0.03593813663804626,-3.330547332763672,-2.711366653442383
17.921384030000002,3128,3,11180,510,21.88,58,0.0812898576259613,0.3332371115684509,0.03593813663804626,-5.517817497253418,-2.121272563934326
17.667302040000003,2964,3,11400,520,21.74,69,0.06146004796028137,0.23920013010501862,0.03593813663804626,-7.166238784790039,-1.8907618522644043
18.07411339,2824,4,11620,530,22.0,80,0.03900730609893799,0.17022165656089783,0.03593813663804626,-8.896424293518066,-1.600653886795044
20.802373149999998,2694,4,11900,540,23.05,94,0.027230607345700264,0.10943382978439331,0.03593813663804626,-11.144109725952148,-1.3755691051483154
19.874469859999998,2585,4,12180,550,22.69,108,0.018206944689154625,0.0698232501745224,0.03593813663804626,-13.338813781738281,-1.3267822265625
20.968347440000002,2501,4,12440,560,22.93,121,0.022078724578022957,0.045839954167604446,0.03593813663804626,-15.129983901977539,-1.2869467735290527
20.99483241,2411,5,12740,570,22.28,136,0.017363127321004868,0.02833484299480915,0.03593813663804626,-16.67469024658203,-1.2220278978347778
26.272955920000005,2265,5,13240,580,24.98,161,0.020232805982232094,0.013431224972009659,0.03593813663804626,-12.711893081665039,-1.3897948265075684
31.39700821,2186,6,13580,590,26.87,178,0.02188502997159958,0.009066912345588207,0.03593813663804626,-10.655622482299805,-1.380014419555664
36.15293743,2098,6,14020,600,28.76,200,0.026653792709112167,0.006428419146686792,0.03593813663804626,-2.8900041580200195,-1.5463778972625732
44.39441997999998,1956,7,14640,610,32.12,231,0.023362860083580017,0.0053472924046218395,0.03593813663804626,-3.3417906761169434,-1.7067999839782715
51.79715940999999,1911,7,14920,620,35.12,245,0.03277397155761719,0.0051519786939024925,0.03593813663804626,1.2324800491333008,-1.8045917749404907
57.66224356000001,1834,8,15480,630,37.18,273,0.03847591578960419,0.0051246327348053455,0.03593813663804626,14.12075138092041,-1.8870842456817627
60.619545099999996,1811,8,15700,640,37.86,284,0.04355794936418533,0.005636442918330431,0.03593813663804626,-2.4321446418762207,-2.079500913619995
64.53956489000001,1772,9,16040,650,38.56,301,0.0576438307762146,0.005871586035937071,0.03593813663804626,0.3121148645877838,-2.119015693664551
