rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
26.9,9,25.155502,16100,1618,670,0.7286745309829712,0.9031658172607422,304,-0.510079026222229,0.0003359818286283781,-6.991186141967773
27.82,10,26.711922,16300,1599,680,0.5457669496536255,0.9001433849334717,314,-0.5273112058639526,0.0003359818286283781,-7.081942558288574
28.83,10,28.801292,16460,1590,690,1.0231268405914307,0.8977357745170593,322,-0.5413597822189331,0.0003359818286283781,-7.155618190765381
27.81,10,27.778864,16700,1573,700,0.6110009551048279,0.8941338062286377,334,-0.568402886390686,0.0003359818286283781,-7.3165082931518555
27.89,10,28.503294,17060,1555,710,0.7462189197540283,0.8887604475021362,352,-0.58984375,0.0003359818286283781,-7.478540420532227
27.44,11,27.134192,17380,1535,720,0.5047722458839417,0.8840128183364868,368,-0.6228494048118591,0.0003359818286283781,-7.672913551330566
29.95,11,30.48559,17660,1513,730,0.4670863747596741,0.8798749446868896,382,-0.636318564414978,0.0003359818286283781,-7.823206901550293
30.4,12,31.497654,18100,1486,740,0.8807277083396912,0.8734315037727356,404,-0.6774680018424988,0.0003359818286283781,-7.7493391036987305
30.33,12,31.295547,18380,1470,750,0.9552429914474487,0.8693534135818481,418,-0.6970534324645996,0.0003359818286283781,-7.859231948852539
30.53,12,30.991734,18700,1455,760,0.7067983746528625,0.8647187352180481,434,-0.7175742387771606,0.0003359818286283781,-7.930013656616211
30.44,13,30.7509,19060,1438,770,1.7438621520996094,0.8595352172851562,452,-0.7513943910598755,0.0003359818286283781,-8.212332725524902
31.44,13,31.204773,19340,1427,780,0.908057451248169,0.8555233478546143,466,-0.7853367328643799,0.0003359818286283781,-8.496797561645508
30.93,13,29.616188,19720,1416,790,0.6819827556610107,0.8501138091087341,485,-0.807937741279602,0.0003359818286283781,-8.655601501464844
31.75,14,30.303822,20080,1406,800,1.0847549438476562,0.8450185656547546,503,-0.8367193341255188,0.0003359818286283781,-8.793296813964844
32.8,14,31.046259,20420,1394,810,0.7917385101318359,0.8402447700500488,520,-0.8742901086807251,0.0003359818286283781,-8.804386138916016
34.07,15,34.17269,20940,1376,820,1.1909234523773193,0.8329995274543762,546,-0.916195273399353,0.0003359818286283781,-9.274160385131836
34.67,15,35.992577,21500,1357,830,0.8956644535064697,0.8252728581428528,574,-0.9553238153457642,0.0003359818286283781,-9.377171516418457
35.96,16,38.19813,21880,1344,840,0.8622866868972778,0.820074200630188,593,-0.9567486643791199,0.0003359818286283781,-9.304473876953125
37.33,16,41.633663,22460,1329,850,0.6141049861907959,0.8122256398200989,622,-1.044016718864441,0.0003359818286283781,-9.831235885620117
39.34,17,44.031796,22980,1316,860,0.7598153352737427,0.8052415251731873,648,-1.0618325471878052,0.0003359818286283781,-9.76279354095459
42.73,18,49.72062,23540,1302,870,1.563774585723877,0.7978237867355347,676,-1.1246739625930786,0.0003359818286283781,-10.54135513305664
44.83,18,53.795815,24140,1288,880,2.4142088890075684,0.7899606823921204,706,-1.1571636199951172,0.0003359818286283781,-10.576776504516602
46.64,19,57.77836,24620,1277,890,1.1030751466751099,0.7837255001068115,730,-1.1910910606384277,0.0003359818286283781,-10.436588287353516
49.71,19,62.115967,25200,1264,900,1.6802085638046265,0.7762641310691833,759,-1.2325295209884644,0.0003359818286283781,-11.199858665466309
50.24,20,63.705845,25760,1257,910,1.0925488471984863,0.7691453099250793,787,-1.2775161266326904,0.0003359818286283781,-11.448480606079102
53.71,21,67.1402,26400,1247,920,1.217697024345398,0.7611148357391357,819,-1.3164265155792236,0.0003359818286283781,-11.173812866210938
54.74,21,68.13542,27140,1234,930,1.302847146987915,0.7519180774688721,856,-1.3754124641418457,0.0003359818286283781,-11.842952728271484
56.88,22,70.4816,27540,1228,940,3.155961751937866,0.7470062375068665,876,-1.424820899963379,0.0003359818286283781,-12.258191108703613
57.23,23,71.04188,28080,1220,950,2.679685592651367,0.7404139041900635,903,-1.4107770919799805,0.0003359818286283781,-12.087650299072266
60.54,24,78.05918,29040,1209,960,0.8966211080551147,0.728894829750061,951,-1.5124034881591797,0.0003359818286283781,-13.21961784362793
60.37,24,80.03075,29540,1205,970,2.5175814628601074,0.7229824662208557,976,-1.5543056726455688,0.0003359818286283781,-12.988847732543945
61.58,25,83.24698,30620,1194,980,2.378136157989502,0.710427463054657,1030,-1.6284935474395752,0.0003359818286283781,-13.501340866088867
63.72,26,87.75841,31180,1190,990,1.8341221809387207,0.7040233612060547,1058,-1.6605478525161743,0.0003359818286283781,-14.056924819946289
