,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,43.135974999999995,2023-05-18 14:25:15.341900,2023-05-18 14:27:46.376786,0 days 00:02:31.034886,2048,1000000,0.9,0.0007608036575555807,0,-2.4432121825099484,big,0.08,256,PRUNED
1,1,16.2058538,2023-05-18 14:25:15.354770,2023-05-18 14:26:12.334436,0 days 00:00:56.979666,128,100000,0.98,0.09638942381938247,0,0.9002309444080874,small,0.005,32,PRUNED
2,2,20.7861714,2023-05-18 14:25:15.370462,2023-05-18 14:25:19.072175,0 days 00:00:03.701713,256,10000,0.995,2.8189503251603168e-05,20000,-3.6862272528107765,medium,0.02,256,COMPLETE
3,3,41.3006222,2023-05-18 14:25:15.388878,2023-05-18 14:27:47.572857,0 days 00:02:32.183979,2048,100000,0.9,0.0003777380767518334,0,-2.8192543989461845,big,0.08,256,PRUNED
4,4,11.287662399999999,2023-05-18 14:25:15.404086,2023-05-18 14:25:17.908330,0 days 00:00:02.504244,16,1000000,0.99,0.0054226860239107505,1000,-0.3873909533195974,small,0.05,8,COMPLETE
5,5,14.467008799999999,2023-05-18 14:25:15.409345,2023-05-18 14:25:19.775237,0 days 00:00:04.365892,1024,1000000,0.98,0.01929549742764556,1000,0.551015763066518,medium,0.08,1,COMPLETE
6,6,37.3273104,2023-05-18 14:25:15.425748,2023-05-18 14:25:20.509853,0 days 00:00:05.084105,16,10000,0.995,0.028542179815178547,10000,-2.1182430544701316,big,0.001,64,COMPLETE
7,7,23.2111166,2023-05-18 14:25:15.444989,2023-05-18 14:25:20.724759,0 days 00:00:05.279770,64,100000,0.995,0.0012723792233831812,20000,-3.367838512277146,medium,0.01,16,COMPLETE
8,8,56.2005814,2023-05-18 14:25:17.912496,2023-05-18 14:25:23.948593,0 days 00:00:06.036097,16,100000,0.9,0.000198110813541076,20000,-3.093149238398612,big,0.05,256,COMPLETE
9,9,54.014290200000005,2023-05-18 14:25:19.074633,2023-05-18 14:25:23.209041,0 days 00:00:04.134408,128,100000,0.95,7.365296470569263e-05,10000,-0.6371078363244451,medium,0.001,1,COMPLETE
10,10,,2023-05-18 14:25:19.777152,2023-05-18 14:27:07.291285,0 days 00:01:47.514133,256,1000000,0.995,0.16241455645203037,0,-2.763990915233773,big,0.005,8,PRUNED
11,11,195.13722679999998,2023-05-18 14:25:20.523708,2023-05-18 14:27:31.978868,0 days 00:02:11.455160,256,100000,0.9,0.00031142248337039054,0,-0.27388964580101005,big,0.02,64,COMPLETE
12,12,91.0170004,2023-05-18 14:25:20.741319,2023-05-18 14:25:24.728764,0 days 00:00:03.987445,64,10000,0.999,0.02466999791396775,1000,-0.6324570501479907,big,0.005,64,COMPLETE
13,13,245.49663539999997,2023-05-18 14:25:23.220009,2023-05-18 14:25:29.478404,0 days 00:00:06.258395,512,100000,0.99,0.00011942814994469683,1000,0.2548733335607585,big,0.05,32,COMPLETE
14,14,51.052189,2023-05-18 14:25:23.966054,2023-05-18 14:26:43.966878,0 days 00:01:20.000824,1024,1000000,0.99,4.6629248478478736e-05,0,-1.1272475535364115,small,0.05,32,PRUNED
15,15,,2023-05-18 14:25:24.730004,2023-05-18 14:25:40.723131,0 days 00:00:15.993127,64,100000,0.99,0.5151358653171069,0,-1.6409973159743543,medium,0.005,16,PRUNED
16,16,,2023-05-18 14:25:29.479606,2023-05-18 14:26:24.394255,0 days 00:00:54.914649,512,100000,0.98,0.37603310826614034,0,-2.2417643119906545,big,0.05,4,PRUNED
17,17,17.129839999999998,2023-05-18 14:25:40.724632,2023-05-18 14:25:43.282757,0 days 00:00:02.558125,256,100000,0.99,0.00010101566962560438,10000,-0.23967880860836926,big,0.001,32,COMPLETE
18,18,39.163717999999996,2023-05-18 14:25:43.284091,2023-05-18 14:25:46.607362,0 days 00:00:03.323271,64,10000,0.999,0.5909134103125976,1000,-1.6046211187542114,small,0.005,16,COMPLETE
19,19,26.330192599999997,2023-05-18 14:25:46.612011,2023-05-18 14:25:49.436328,0 days 00:00:02.824317,512,100000,0.98,0.00026398757916627855,1000,0.26847260168830067,big,0.05,512,PRUNED
20,20,19.8643636,2023-05-18 14:25:49.438624,2023-05-18 14:25:52.308752,0 days 00:00:02.870128,64,10000,0.9999,0.03798091007827831,1000,-0.8487823880632853,big,0.001,128,PRUNED
21,21,19.3638214,2023-05-18 14:25:52.310808,2023-05-18 14:25:55.367601,0 days 00:00:03.056793,512,100000,0.99,0.00011364509347220285,1000,-1.8326418559201558,big,0.05,32,PRUNED
22,22,17.791976599999998,2023-05-18 14:25:55.370750,2023-05-18 14:25:58.755672,0 days 00:00:03.384922,64,1000000,0.999,0.0035569838468189566,1000,-0.29861400627908213,big,0.05,64,PRUNED
