,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
30,30,5.584631,2023-05-18 16:51:07.073002,2023-05-18 16:51:08.732034,0 days 00:00:01.659032,2048,1000000,0.9999,0.05871072090945578,0,-2.1296998181236226,small,0.02,512,PRUNED
31,31,57.6419806,2023-05-18 16:51:08.733573,2023-05-18 16:51:10.541454,0 days 00:00:01.807881,2048,1000000,0.9999,4.7509034550598583e-05,1000,0.6931514543932602,big,0.005,4,COMPLETE
32,32,19.8447246,2023-05-18 16:51:10.542593,2023-05-18 16:51:11.562621,0 days 00:00:01.020028,2048,1000000,0.9999,0.2555444508810875,1000,-1.7460772731176175,small,0.01,512,PRUNED
33,33,215.09306120000002,2023-05-18 16:51:11.566772,2023-05-18 16:51:14.332687,0 days 00:00:02.765915,2048,1000000,0.9,0.000604414114183289,1000,0.8811308119743656,big,0.01,16,COMPLETE
34,34,12.268643800000001,2023-05-18 16:51:14.334538,2023-05-18 16:51:15.111789,0 days 00:00:00.777251,2048,1000000,0.9,0.00035139620865772204,1000,0.7378439873785199,medium,0.01,512,PRUNED
35,35,164.5196782,2023-05-18 16:51:15.112909,2023-05-18 16:51:17.264443,0 days 00:00:02.151534,32,1000000,0.999,0.0042623384994361115,1000,0.1507100261037445,big,0.01,16,COMPLETE
36,36,16.4800288,2023-05-18 16:51:17.265852,2023-05-18 16:51:18.192633,0 days 00:00:00.926781,32,1000000,0.999,0.007495568040976841,1000,0.5088400443716663,big,0.01,32,PRUNED
37,37,35.3750534,2023-05-18 16:51:18.193924,2023-05-18 16:51:19.489881,0 days 00:00:01.295957,32,1000000,0.98,0.0006054986235652638,1000,0.0614248011616364,big,0.01,16,PRUNED
38,38,25.0050354,2023-05-18 16:51:18.679459,2023-05-18 16:51:20.093215,0 days 00:00:01.413756,32,1000000,0.9,0.01413086840037678,1000,0.20001307888700445,big,0.08,16,PRUNED
39,39,60.4893238,2023-05-18 16:51:19.490972,2023-05-18 16:51:21.704936,0 days 00:00:02.213964,16,1000000,0.9,0.021038918924791514,1000,-0.8781592362992494,medium,0.005,4,PRUNED
40,40,15.3306062,2023-05-18 16:51:20.058205,2023-05-18 16:51:21.238695,0 days 00:00:01.180490,2048,100000,0.9,0.0008875248006080599,1000,0.3261413571152024,big,0.01,16,PRUNED
41,41,29.478657200000004,2023-05-18 16:51:20.094870,2023-05-18 16:51:21.399410,0 days 00:00:01.304540,16,1000000,0.9,0.0023299013036147806,1000,-0.37959060795898325,small,0.005,4,PRUNED
42,42,12.468887200000001,2023-05-18 16:51:21.239688,2023-05-18 16:51:22.700747,0 days 00:00:01.461059,512,1000000,0.9,0.005737151148289238,20000,-0.2101006360702966,small,0.005,4,PRUNED
43,43,21.056406,2023-05-18 16:51:21.400400,2023-05-18 16:51:23.696333,0 days 00:00:02.295933,64,1000000,0.999,0.0011749732181604447,1000,-0.24457539461576672,big,0.005,16,PRUNED
44,44,20.4328184,2023-05-18 16:51:21.711427,2023-05-18 16:51:23.111661,0 days 00:00:01.400234,256,1000000,0.9999,0.8527969659722406,1000,-1.5369119160793905,small,0.02,64,PRUNED
45,45,104.5632748,2023-05-18 16:51:22.702675,2023-05-18 16:51:25.825581,0 days 00:00:03.122906,128,1000000,0.9,0.00019642136885926904,1000,0.9314187548162273,small,0.01,16,COMPLETE
46,46,35.35827400000001,2023-05-18 16:51:23.112814,2023-05-18 16:51:25.302679,0 days 00:00:02.189865,2048,1000000,0.98,0.0017359963269091797,1000,0.8924187621721837,big,0.001,4,PRUNED
47,47,53.18844419999999,2023-05-18 16:51:23.697281,2023-05-18 16:51:27.382486,0 days 00:00:03.685205,32,1000000,0.999,0.12682081908135534,10000,-0.5435239995859917,big,0.01,16,PRUNED
48,48,20.6788848,2023-05-18 16:51:25.309572,2023-05-18 16:51:26.727405,0 days 00:00:01.417833,512,1000000,0.999,0.016306701246657326,1000,0.7538976780227583,big,0.01,16,PRUNED
49,49,53.3472584,2023-05-18 16:51:25.826966,2023-05-18 16:54:20.528790,0 days 00:02:54.701824,2048,1000000,0.9999,0.0006659158201745716,0,-0.26514770072710225,big,0.01,16,PRUNED
50,50,14.186917400000002,2023-05-18 16:51:26.729429,2023-05-18 16:51:28.094842,0 days 00:00:01.365413,512,1000000,0.9,5.012138072896217e-05,1000,0.1620670574872638,big,0.01,16,PRUNED
51,51,18.939454199999997,2023-05-18 16:51:27.383500,2023-05-18 16:51:28.679474,0 days 00:00:01.295974,2048,1000000,0.9,0.00010134752491332692,1000,0.5230487008544882,big,0.005,1,PRUNED
52,52,129.5089952,2023-05-18 16:51:28.097870,2023-05-18 16:51:30.209886,0 days 00:00:02.112016,2048,1000000,0.9,0.000736380642787468,10000,-0.6707877311403726,big,0.01,32,COMPLETE
53,53,29.7390264,2023-05-18 16:51:28.680690,2023-05-18 16:51:30.450242,0 days 00:00:01.769552,2048,1000000,0.9,0.022947351320599316,1000,0.20561523948571336,big,0.01,8,PRUNED
54,54,152.1166422,2023-05-18 16:51:30.211193,2023-05-18 16:51:34.671668,0 days 00:00:04.460475,32,10000,0.9,1.1083256894323162e-05,1000,0.16042981927676192,big,0.005,4,COMPLETE
55,55,25.369396599999998,2023-05-18 16:51:30.455027,2023-05-18 16:51:31.812478,0 days 00:00:01.357451,2048,1000000,0.98,0.00025890812008670465,10000,-0.7582931281452006,big,0.01,32,PRUNED
56,56,29.602473200000002,2023-05-18 16:51:31.813397,2023-05-18 16:51:33.336006,0 days 00:00:01.522609,512,1000000,0.9,0.0010914132202548752,10000,0.2011674034885964,big,0.01,32,PRUNED
57,57,13.3419668,2023-05-18 16:51:33.338355,2023-05-18 16:51:34.114867,0 days 00:00:00.776512,32,1000000,0.999,0.0029629499410799556,1000,0.3255463820348393,small,0.05,16,PRUNED
58,58,261.1866892,2023-05-18 16:51:34.118036,2023-05-18 16:51:38.424883,0 days 00:00:04.306847,2048,100000,0.9,3.908930487854969e-05,1000,-0.11037432424180504,big,0.005,4,COMPLETE
59,59,25.597115600000002,2023-05-18 16:51:34.677874,2023-05-18 16:51:36.055202,0 days 00:00:01.377328,32,10000,0.995,1.099953054401268e-05,1000,0.0303778104644237,big,0.005,8,PRUNED
60,60,20.643826400000002,2023-05-18 16:51:36.062520,2023-05-18 16:51:36.786096,0 days 00:00:00.723576,32,10000,0.9,1.105141924369549e-05,1000,0.12001294364982976,big,0.08,16,PRUNED
61,61,167.36218739999998,2023-05-18 16:51:36.787460,2023-05-18 16:51:39.057503,0 days 00:00:02.270043,32,10000,0.9,0.00010519565934481354,1000,-0.7196183593012417,big,0.005,256,COMPLETE
62,62,17.9096698,2023-05-18 16:51:38.427898,2023-05-18 16:51:39.235844,0 days 00:00:00.807946,256,100000,0.9,1.555037293307099e-05,1000,-0.22366452884457177,big,0.005,64,PRUNED
63,63,17.823865599999998,2023-05-18 16:51:39.063101,2023-05-18 16:51:40.078692,0 days 00:00:01.015591,32,10000,0.9,0.00014543220218285425,1000,-1.349058807223162,small,0.005,256,PRUNED
64,64,40.538813999999995,2023-05-18 16:51:39.236889,2023-05-18 16:51:41.070324,0 days 00:00:01.833435,32,10000,0.9,3.268703286704906e-05,1000,-1.654533315090764,big,0.001,4,PRUNED
65,65,133.2213668,2023-05-18 16:51:40.079502,2023-05-18 16:51:42.898835,0 days 00:00:02.819333,256,10000,0.9,4.0383796538909114e-05,1000,-0.3235963339905749,big,0.005,256,COMPLETE
66,66,22.265176199999996,2023-05-18 16:51:41.071550,2023-05-18 16:51:42.402474,0 days 00:00:01.330924,128,10000,0.9,0.0001330668571251351,1000,-0.5811282401094601,big,0.005,128,PRUNED
67,67,268.72515080000005,2023-05-18 16:51:42.406140,2023-05-18 16:51:46.702019,0 days 00:00:04.295879,32,10000,0.9,1.4916415744829004e-05,1000,-0.8008147258676769,big,0.005,4,COMPLETE
68,68,8.8611452,2023-05-18 16:51:42.900680,2023-05-18 16:51:43.573956,0 days 00:00:00.673276,2048,1000000,0.999,0.15191140173534987,1000,-0.8440732193259932,small,0.02,512,PRUNED
69,69,74.1681878,2023-05-18 16:51:43.575159,2023-05-18 16:51:45.746304,0 days 00:00:02.171145,2048,100000,0.9,4.831124493218932e-05,10000,0.40919702742712816,big,0.005,4,PRUNED
70,70,73.595841,2023-05-18 16:51:45.752245,2023-05-18 16:51:48.175933,0 days 00:00:02.423688,32,10000,0.9999,0.002103774309219891,1000,-1.0912150812670411,big,0.005,256,PRUNED
71,71,23.7169368,2023-05-18 16:51:46.703571,2023-05-18 16:51:48.292037,0 days 00:00:01.588466,32,10000,0.95,1.4636169811227893e-05,1000,-0.9720377430990378,medium,0.005,4,PRUNED
72,72,27.2508822,2023-05-18 16:51:48.186456,2023-05-18 16:51:49.874109,0 days 00:00:01.687653,32,100000,0.999,0.00022909210106345922,1000,-0.25482987350765823,big,0.01,16,PRUNED
73,73,42.061675,2023-05-18 16:51:48.293822,2023-05-18 16:51:50.195983,0 days 00:00:01.902161,32,1000000,0.9,0.0002847734472342408,1000,-0.6700936281428851,big,0.005,256,PRUNED
74,74,52.147531400000005,2023-05-18 16:51:49.876781,2023-05-18 16:52:44.481423,0 days 00:00:54.604642,32,10000,0.999,1.5294327261032313e-05,0,0.10962352834390654,big,0.005,4,PRUNED
75,75,31.396248200000002,2023-05-18 16:51:50.202057,2023-05-18 16:51:50.790489,0 days 00:00:00.588432,32,10000,0.9,1.420197507224072e-05,1000,-0.6407553233620578,big,0.005,4,PRUNED
