,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,184.19933179999998,2023-05-19 13:26:23.104963,2023-05-19 15:23:06.740057,0 days 01:56:43.635094,16,100000,0.95,2.436270332084261e-05,1000,-2.47955952322909,medium,0.05,16,COMPLETE
1,1,630.3545211999999,2023-05-19 13:26:23.105600,2023-05-19 14:59:44.564318,0 days 01:33:21.458718,128,100000,0.98,2.4402654344444203e-05,1000,-3.6794627956091284,small,0.02,1,COMPLETE
2,2,267.91568720000004,2023-05-19 13:26:23.123457,2023-05-19 14:50:50.430745,0 days 01:24:27.307288,16,10000,0.99,0.009894346153146437,0,-0.18040906678758928,small,0.001,512,COMPLETE
3,3,540.288424,2023-05-19 13:26:23.136680,2023-05-19 16:45:47.913957,0 days 03:19:24.777277,2048,100000,0.995,1.3352896121854944e-05,0,-1.7299545712426783,big,0.02,64,COMPLETE
4,4,518.6211582,2023-05-19 13:26:23.153522,2023-05-19 15:52:49.184462,0 days 02:26:26.030940,512,10000,0.95,0.009959133052143122,10000,-3.310477955904118,big,0.005,16,COMPLETE
5,5,1220.3484014,2023-05-19 13:26:23.162622,2023-05-19 15:40:50.705539,0 days 02:14:27.542917,2048,100000,0.995,0.0003620894132244536,1000,-3.064007572504874,small,0.005,512,COMPLETE
6,6,369.724327,2023-05-19 13:26:23.171599,2023-05-19 16:22:26.123599,0 days 02:56:02.952000,2048,10000,0.99,1.2784893235018227e-05,10000,0.8836399439882792,medium,0.08,512,COMPLETE
7,7,554.5535524,2023-05-19 13:26:23.217517,2023-05-19 15:26:49.764447,0 days 02:00:26.546930,16,100000,0.995,0.0010423265930041513,0,0.34836744215375237,big,0.01,128,COMPLETE
8,8,,2023-05-19 14:50:50.440657,2023-05-19 14:51:36.452969,0 days 00:00:46.012312,2048,1000000,0.98,0.44618086367359544,0,-3.1277737093050355,medium,0.005,16,PRUNED
9,9,46.2122698,2023-05-19 14:51:36.456676,2023-05-19 15:52:32.082296,0 days 01:00:55.625620,64,10000,0.98,0.05991308875308927,10000,-3.050372698593123,big,0.001,4,COMPLETE
