time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
780,1404,40.0,46.247368,13,19480,0.6245659589767456,-7.5001726150512695,473,0.429915189743042,-2.321521759033203,0.001
790,1385,42.33,48.88209,14,19960,0.6099893450737,-7.7133636474609375,497,0.5205864906311035,-2.478931427001953,0.001
800,1364,42.69,49.80585,15,20520,0.5934042930603027,-8.001143455505371,525,0.5543667674064636,-2.5856714248657227,0.001
810,1337,45.25,52.882324,15,21140,0.5756463408470154,-8.101995468139648,556,0.6392065286636353,-2.681288242340088,0.001
820,1314,48.54,56.73792,16,21780,0.5578888058662415,-7.992869853973389,588,0.7633664608001709,-2.8053104877471924,0.001
830,1294,52.26,63.89592,17,22400,0.5412681698799133,-8.377641677856445,619,1.2736883163452148,-2.985719680786133,0.001
840,1275,54.68,66.592026,18,23080,0.5236732959747314,-8.525720596313477,653,0.4023883044719696,-3.106139659881592,0.001
850,1256,53.8,66.904236,19,23900,0.5032727718353271,-9.26498794555664,694,0.6930840015411377,-3.214858055114746,0.001
860,1242,55.61,67.87597,19,24620,0.48606592416763306,-9.037043571472168,730,0.7478223443031311,-3.4508681297302246,0.001
870,1233,59.86,73.467964,20,25180,0.47317227721214294,-9.2100248336792,758,0.872835636138916,-3.491616725921631,0.001
880,1220,60.17,74.79349,21,26000,0.4549853801727295,-9.754936218261719,799,0.78236985206604,-3.73401141166687,0.001
890,1204,62.66,81.15955,22,26820,0.43760448694229126,-10.022758483886719,840,2.4329967498779297,-3.7368404865264893,0.001
900,1192,68.81,93.16556,23,27900,0.4158058166503906,-10.365358352661133,894,1.2994475364685059,-4.052116394042969,0.001
910,1182,71.09,101.11667,24,28620,0.4020422697067261,-11.258271217346191,930,0.716600775718689,-4.312049865722656,0.001
920,1171,74.69,109.92215,25,29400,0.38755443692207336,-12.038200378417969,969,0.49784544110298157,-4.269411087036133,0.001
930,1165,76.26,114.79622,25,29960,0.3776150345802307,-11.591144561767578,997,1.0787755250930786,-4.326660633087158,0.001
940,1152,79.21,126.996765,27,31300,0.3551814556121826,-12.504958152770996,1064,1.9425114393234253,-4.479049205780029,0.001
950,1148,82.61,138.29933,27,32000,0.34426361322402954,-12.278146743774414,1099,3.8123693466186523,-4.66948938369751,0.001
960,1140,85.89,151.2231,29,33160,0.32685279846191406,-13.042012214660645,1157,1.8438947200775146,-4.609866619110107,0.001
970,1132,86.9,161.53746,29,33840,0.31709912419319153,-13.099937438964844,1191,1.0787982940673828,-4.6533637046813965,0.001
980,1118,91.37,175.10223,31,35140,0.2995315492153168,-14.023835182189941,1256,1.5645155906677246,-4.923194408416748,0.001
990,1113,93.26,184.1503,32,35840,0.2905227839946747,-14.250991821289062,1291,0.6016219258308411,-4.801582336425781,0.001
1000,1105,92.76,189.38293,33,37040,0.2759452164173126,-14.974882125854492,1351,1.7080223560333252,-5.224475860595703,0.001
1010,1102,94.09,195.36162,34,37640,0.26911693811416626,-14.918880462646484,1381,2.874959945678711,-4.707721710205078,0.001
1020,1095,93.61,199.65309,35,38840,0.2556663453578949,-15.810102462768555,1441,2.599053144454956,-5.058725357055664,0.001
1030,1085,95.11,205.37262,36,39580,0.24780136346817017,-15.92377758026123,1478,4.644762992858887,-4.970393657684326,0.001
1040,1076,95.47,207.91685,37,40720,0.23640315234661102,-16.649927139282227,1535,5.721590518951416,-5.157322883605957,0.001
1050,1072,95.21,207.36996,38,41300,0.2307661473751068,-17.236032485961914,1564,1.9432075023651123,-5.324812412261963,0.001
1060,1063,94.71,207.25906,40,42660,0.21843338012695312,-18.407968521118164,1632,1.8893046379089355,-5.23436975479126,0.001
1070,1059,94.48,207.19191,40,43160,0.21410289406776428,-18.026103973388672,1657,2.66121768951416,-5.09307336807251,0.001
1080,1051,94.17,207.20227,42,44520,0.20259863138198853,-18.701618194580078,1725,5.971479892730713,-4.759012222290039,0.001
1090,1051,93.6,206.68462,42,45000,0.19879066944122314,-19.646459579467773,1749,2.9751222133636475,-4.982783794403076,0.001
1100,1043,92.54,204.79646,44,46380,0.18811489641666412,-19.791624069213867,1818,4.38894510269165,-6.120168685913086,0.001
1110,1042,92.02,204.1536,44,46800,0.18504220247268677,-20.515098571777344,1839,4.822216987609863,-5.194022178649902,0.001
1120,1044,91.81,203.67831,46,48140,0.17547230422496796,-21.38800811767578,1906,1.9570342302322388,-5.345952987670898,0.001
1130,1045,91.57,203.29033,46,48600,0.17241550981998444,-21.452281951904297,1929,2.5559210777282715,-5.8604512214660645,0.001
1140,1051,91.18,202.83365,47,49920,0.1639731377363205,-20.98847007751465,1995,5.294814109802246,-5.168761253356934,0.001
