time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
790,533,41.0,50.499428,37,19880,0.6126200556755066,-7.668201446533203,493,1.3043307065963745,-2.376297950744629,0.001
800,488,41.47,51.118168,42,20620,0.5907675623893738,-7.497501850128174,530,0.7247135639190674,-2.5743520259857178,0.001
810,493,43.21,53.476757,42,21080,0.577589750289917,-8.158466339111328,553,0.7267246842384338,-2.6218972206115723,0.001
820,500,47.56,60.719395,43,21780,0.5581794381141663,-8.253377914428711,588,0.48960158228874207,-2.780740261077881,0.001
830,505,49.21,65.63606,44,22360,0.5426446795463562,-8.673728942871094,617,0.6010124087333679,-2.98268985748291,0.001
840,510,50.49,66.76134,44,22940,0.5275905132293701,-8.617722511291504,646,1.6404629945755005,-3.0611038208007812,0.001
850,517,52.53,70.57375,45,23700,0.508613646030426,-9.030624389648438,684,0.8888598680496216,-3.2037410736083984,0.001
860,524,54.96,74.3568,46,24440,0.4908837378025055,-9.057108879089355,721,0.5858844518661499,-3.3583803176879883,0.001
870,529,56.27,77.257805,47,24960,0.47884634137153625,-9.422711372375488,747,1.9581016302108765,-3.418774127960205,0.001
880,532,57.92,81.1857,47,25440,0.4681391417980194,-9.652576446533203,771,0.49941086769104004,-3.6069416999816895,0.001
890,535,58.51,80.61869,48,26020,0.45537644624710083,-10.214545249938965,800,1.2538621425628662,-3.573941230773926,0.001
900,539,60.67,87.15043,49,26720,0.4405890107154846,-9.925163269042969,835,0.42719703912734985,-3.5558032989501953,0.001
910,545,61.2,90.96757,50,27380,0.4271497428417206,-10.428230285644531,868,2.1646406650543213,-3.8972697257995605,0.001
920,551,61.8,93.866356,50,28100,0.41312527656555176,-10.62244987487793,904,1.328728199005127,-3.9892921447753906,0.001
930,556,61.34,95.01185,51,28700,0.4017884135246277,-11.094805717468262,934,1.3336706161499023,-4.0490946769714355,0.001
940,563,64.51,105.24631,52,29540,0.3864468038082123,-11.366129875183105,976,1.6745340824127197,-4.062716484069824,0.001
