train/ent_coef_loss,train/actor_loss,time/total_timesteps,train/critic_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/n_updates,time/episodes,train/learning_rate
-0.0007402205374091864,-1.874825119972229,300,6.153650283813477,245,1,16.7,12.285535,0.9998500347137451,16,10,1e-05
-0.001701424946077168,-1.9999452829360962,528,6.95085334777832,213,2,19.05,15.094042,0.9996600151062012,35,20,1e-05
-0.002509927609935403,-2.055647134780884,720,6.669114112854004,206,3,19.666666666666668,15.249765,0.9994996190071106,51,30,1e-05
-0.0035217588301748037,-2.128171682357788,960,6.655603408813477,188,5,20.075,15.972476,0.9992989897727966,71,40,1e-05
-0.004662019200623035,-2.220219612121582,1224,6.582108497619629,174,7,20.784313725490197,17.54266,0.9990781545639038,93,50,1e-05
-0.005429917946457863,-2.247997760772705,1404,6.360784530639648,173,8,20.2,16.765448,0.9989275932312012,108,60,1e-05
-0.006457052659243345,-2.2963294982910156,1656,5.826905250549316,172,9,21.746478873239436,18.463778,0.9987168312072754,129,70,1e-05
-0.007493715267628431,-2.354702949523926,1896,6.201216220855713,172,10,21.4125,17.852854,0.9985161423683167,149,80,1e-05
-0.008252618834376335,-2.414639711380005,2076,5.811430931091309,170,12,21.066666666666666,17.312822,0.998365581035614,164,90,1e-05
-0.009107112884521484,-2.484421491622925,2280,5.990575313568115,169,13,21.66,17.840975,0.9981950521469116,181,100,1e-05
-0.009754760190844536,-2.5032577514648438,2436,5.541932106018066,166,14,21.49,17.585272,0.9980646371841431,194,110,1e-05
-0.010513842105865479,-2.534403085708618,2628,5.576678276062012,166,15,20.96,16.753767,0.9979041814804077,210,120,1e-05
-0.011665841564536095,-2.636378049850464,2892,5.450077056884766,167,17,20.81,16.480505,0.9976838231086731,232,130,1e-05
-0.012621431611478329,-2.7056941986083984,3108,5.491162300109863,166,18,21.47,17.146482,0.9975035786628723,250,140,1e-05
-0.013737167231738567,-2.7563772201538086,3384,5.463868618011475,165,20,21.27,17.216335,0.9972732663154602,273,150,1e-05
-0.01476541068404913,-2.8342533111572266,3612,5.534862041473389,165,21,22.1,18.41074,0.9970830678939819,292,160,1e-05
-0.01577659137547016,-2.9026875495910645,3876,5.016877174377441,164,23,21.45,17.919212,0.9968628287315369,314,170,1e-05
-0.01632896438241005,-2.955094337463379,3996,5.26677131652832,163,24,21.83,18.781794,0.996762752532959,324,180,1e-05
-0.01723700575530529,-3.03726863861084,4212,5.304805755615234,161,26,21.93,18.98794,0.9965828061103821,342,190,1e-05
-0.018166005611419678,-3.0881078243255615,4440,4.957082748413086,161,27,21.67,18.543585,0.9963929653167725,361,200,1e-05
-0.018960746005177498,-3.180490732192993,4608,5.05750846862793,161,28,21.74,18.53527,0.996253252029419,375,210,1e-05
-0.01961100473999977,-3.2899625301361084,4776,4.844180107116699,162,29,22.17,18.888477,0.9961134195327759,389,220,1e-05
-0.02055377885699272,-3.2556982040405273,5004,4.773107528686523,160,31,21.88,18.691738,0.9959238767623901,408,230,1e-05
-0.021451197564601898,-3.399171829223633,5220,4.638406276702881,160,32,21.3,17.475826,0.9957443475723267,426,240,1e-05
-0.02239568717777729,-3.4900717735290527,5460,4.407188892364502,160,34,21.35,16.396866,0.9955447912216187,446,250,1e-05
-0.02361457794904709,-3.553276300430298,5724,4.605040550231934,160,35,20.63,15.189188,0.9953253269195557,468,260,1e-05
