rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates
18.727272727272727,10,16.161967999999998,3368,0,440,,,,,,
21.652173913043477,20,16.035376304347825,3760,0,720,,,,,,
21.766666666666666,30,17.3192978,3669,0,840,,,,,,
21.45,40,17.424420400000002,3690,0,1080,,,,,,
20.8,50,16.758527,3890,0,1300,,,,,,
21.225806451612904,60,17.490949387096773,3973,0,1600,,,,,,
21.15714285714286,70,17.27544327142857,4078,0,1820,,,,,,
22.301204819277107,80,19.014407530120483,4002,0,1980,,,,,,
21.666666666666668,90,18.287077355555557,4055,0,2120,,,,,,
21.36,100,17.648479769999998,4089,0,2280,,,,,,
21.3,110,17.5217357,4064,0,2580,,,,,,
20.59,120,17.5254108,4045,0,2740,,,,,,
20.13,130,16.34899059,4013,0,2940,,,,,,
20.65,140,16.639266919999997,4045,0,3140,,,,,,
20.47,150,16.45741931,3980,0,3340,,,,,,
20.71,160,16.48969359,4013,0,3600,,,,,,
21.09,170,16.58777999,4037,0,3820,,,,,,
20.37,180,15.02968335,4063,1,4080,,,,,,
21.1,190,15.77464129,4050,1,4280,,,,,,
21.44,200,16.08576198,3989,1,4460,,,,,,
21.13,210,15.87106596,4021,1,4660,,,,,,
21.14,220,15.599882349999998,4044,1,4880,,,,,,
21.4,230,15.704212579999998,4071,1,5080,,,,,,
21.28,240,15.947694739999998,4074,1,5320,,,,,,
21.38,250,15.880065290000003,4075,1,5560,,,,,,
20.96,260,15.13099984,4118,1,5860,,,,,,
21.42,270,16.78828606,4108,1,6060,,,,,,
20.51,280,16.236733159999996,4090,1,6300,,,,,,
20.9,290,16.52226116,4109,1,6460,,,,,,
22.12,300,18.88141339,4140,1,6700,,,,,,
22.69,310,19.126799249999998,4169,1,7040,,,,,,
23.51,320,20.15710148,4207,1,7440,,,,,,
23.95,330,20.92276011,4184,1,7720,,,,,,
25.49,340,23.120688319999996,4192,1,7920,,,,,,
25.98,350,24.440811579999995,4210,1,8160,,,,,,
26.19,360,25.14599666,4222,1,8400,,,,,,
25.87,370,24.184562050000004,4264,2,8700,,,,,,
27.1,380,25.357431179999995,4273,2,8860,,,,,,
26.64,390,24.923459170000005,4291,2,9120,,,,,,
25.25,400,22.50971187,4306,2,9340,,,,,,
25.88,410,23.99997703,4298,2,9540,,,,,,
25.1,420,23.360095100000002,4272,2,9700,,,,,,
24.15,430,21.98871679000001,4250,2,9920,,,,,,
22.87,440,20.347552089999997,4120,2,10100,-1.978728175163269,0.999970018863678,7.684551239013672,-0.00015142005577217788,1e-05,4
22.3,450,19.18659807,3878,2,10280,-1.960343837738037,0.9998799562454224,7.992073059082031,-0.0006004477618262172,1e-05,13
21.47,460,17.681913889999997,3463,3,10540,-2.029322385787964,0.9997498393058777,7.43186616897583,-0.001257964875549078,1e-05,26
21.68,470,18.00536265,3383,3,10620,-2.0405290126800537,0.9997097849845886,7.4733805656433105,-0.0014584471937268972,1e-05,30
20.56,480,16.88830942,3202,3,10860,-2.0433733463287354,0.9995898008346558,7.5691680908203125,-0.002049253089353442,1e-05,42
19.96,490,16.335354660000004,3089,3,11060,-2.1047463417053223,0.9994896650314331,6.856375694274902,-0.002560754306614399,1e-05,52
19.59,500,16.19839636,2993,3,11220,-2.1748814582824707,0.999409556388855,6.951473236083984,-0.0029959073290228844,1e-05,60
19.13,510,15.90230561,2854,4,11440,-2.1508145332336426,0.9992994070053101,7.12312126159668,-0.0035141289699822664,1e-05,71
19.11,520,15.973944079999999,2776,4,11600,-2.1355977058410645,0.9992192983627319,6.848669052124023,-0.0038874647580087185,1e-05,79
19.15,530,16.183990220000002,2674,4,11860,-2.2197265625,0.9990891218185425,6.723711013793945,-0.004585244692862034,1e-05,92
18.81,540,16.0464529,2627,4,11980,-2.2321720123291016,0.9990290403366089,6.650838375091553,-0.004866990260779858,1e-05,98
19.0,550,16.234210759999996,2552,4,12220,-2.311575174331665,0.9989087581634521,6.961860656738281,-0.005518235266208649,1e-05,110
18.73,560,15.94021453,2503,4,12360,-2.3206052780151367,0.9988386034965515,6.641934394836426,-0.0058614290319383144,1e-05,117
18.45,570,15.5086247,2416,5,12640,-2.361483097076416,0.9986982345581055,6.413302421569824,-0.00655210530385375,1e-05,131
19.46,580,16.908779810000002,2352,5,12860,-2.376909017562866,0.9985880851745605,6.466431140899658,-0.007118619047105312,1e-05,142
19.66,590,17.514709819999997,2326,5,12940,-2.3982114791870117,0.9985479712486267,6.36018180847168,-0.007311813533306122,1e-05,146
19.89,600,17.691611060000003,2278,5,13160,-2.477682590484619,0.9984378218650818,6.396445274353027,-0.007905487902462482,1e-05,157
19.62,610,16.68727566,2198,6,13440,-2.455812931060791,0.9982975721359253,6.245506286621094,-0.008572748862206936,1e-05,171
19.96,620,16.573300160000002,2147,6,13680,-2.5556912422180176,0.9981774687767029,6.263540267944336,-0.009243069216609001,1e-05,183
20.25,630,16.252887580000003,2087,6,13920,-2.556303024291992,0.9980574250221252,5.837141990661621,-0.00976542942225933,1e-05,195
20.73,640,16.58653699,2054,6,14140,-2.6489899158477783,0.9979473352432251,5.904296875,-0.010447640903294086,1e-05,206
20.99,650,17.09395554,2027,7,14340,-2.6478941440582275,0.9978471994400024,6.024331092834473,-0.010887814685702324,1e-05,216
21.85,660,18.084948939999997,1994,7,14560,-2.6511216163635254,0.9977370500564575,5.8572893142700195,-0.011398167349398136,1e-05,227
21.97,670,17.906862240000002,1958,7,14720,-2.66143536567688,0.9976570010185242,6.0211100578308105,-0.011811025440692902,1e-05,235
21.14,680,16.793475230000002,1920,7,14980,-2.713312864303589,0.9975269436836243,5.655089855194092,-0.012475206516683102,1e-05,248
21.56,690,16.52406743,1895,8,15200,-2.8002965450286865,0.9974169135093689,5.524247646331787,-0.013051124289631844,1e-05,259
21.55,700,16.11038665,1863,8,15440,-2.8289761543273926,0.997296929359436,5.29583740234375,-0.013619672507047653,1e-05,271
22.25,710,16.54777614,1834,8,15660,-2.9018685817718506,0.9971869587898254,5.480470180511475,-0.014281924813985825,1e-05,282
22.25,720,16.72633785,1817,8,15740,-2.889207601547241,0.9971469640731812,5.379742622375488,-0.014400587417185307,1e-05,286
21.69,730,15.832340019999998,1790,8,16040,-2.9228739738464355,0.9969969391822815,5.4243974685668945,-0.01517411693930626,1e-05,301
21.65,740,16.012947569999998,1768,9,16280,-2.9915804862976074,0.9968770742416382,5.65694522857666,-0.01580103114247322,1e-05,313
21.55,750,15.321761759999998,1755,9,16440,-2.9733376502990723,0.9967970848083496,5.2198944091796875,-0.016116801649332047,1e-05,321
20.82,760,14.46826233,1743,9,16620,-3.0005218982696533,0.9967072010040283,5.340314865112305,-0.01659271866083145,1e-05,330
21.03,770,14.876102900000001,1719,9,16920,-3.1193649768829346,0.9965574741363525,5.117708206176758,-0.017412692308425903,1e-05,345
21.2,780,15.252867940000002,1709,10,17100,-3.0896155834198,0.9964675903320312,5.10844612121582,-0.017768368124961853,1e-05,354
21.03,790,15.53682964,1694,10,17340,-3.176945447921753,0.996347963809967,5.327186584472656,-0.018460329622030258,1e-05,366
21.65,800,16.75785707,1685,10,17540,-3.1760177612304688,0.996248185634613,4.990260601043701,-0.018965300172567368,1e-05,376
20.98,810,16.026561219999998,1674,10,17780,-3.263986110687256,0.996128499507904,5.045068264007568,-0.019485050812363625,1e-05,388
21.4,820,16.89152262,1667,10,17940,-3.2426249980926514,0.9960487484931946,5.453606605529785,-0.01991918496787548,1e-05,396
21.13,830,17.362348730000004,1654,10,18180,-3.3267669677734375,0.9959290027618408,5.148781776428223,-0.020504208281636238,1e-05,408
21.14,840,17.28147384,1643,11,18420,-3.345428943634033,0.9958093166351318,5.268645286560059,-0.02117709256708622,1e-05,420
21.19,850,17.288034230000004,1639,11,18540,-3.435453176498413,0.9957494139671326,4.776252746582031,-0.02145337127149105,1e-05,426
21.32,860,17.74829155,1621,11,18860,-3.5064713954925537,0.9955899119377136,5.057499885559082,-0.02238243818283081,1e-05,442
21.8,870,17.655759610000004,1609,11,19100,-3.50955867767334,0.9954702258110046,4.904247283935547,-0.02289584092795849,1e-05,454
21.93,880,17.512530249999998,1600,12,19300,-3.587791919708252,0.9953704476356506,4.711426734924316,-0.023401740938425064,1e-05,464
21.68,890,16.981698280000003,1588,12,19560,-3.6634230613708496,0.9952408671379089,5.012982368469238,-0.024094898253679276,1e-05,477
21.21,900,16.35359997,1568,12,19800,-3.6530137062072754,0.9951211810112,4.734264373779297,-0.024610791355371475,1e-05,489
22.71,910,19.23146303,1557,12,20020,-3.7234702110290527,0.995011568069458,4.712015628814697,-0.025222357362508774,1e-05,500
22.36,920,18.474726710000002,1543,13,20340,-3.7563633918762207,0.9948520064353943,4.847919464111328,-0.026088953018188477,1e-05,516
22.81,930,18.903595270000004,1534,13,20540,-3.8550803661346436,0.9947522878646851,4.868439674377441,-0.026603301987051964,1e-05,526
22.56,940,18.72089535,1527,13,20720,-3.8231377601623535,0.9946626424789429,4.901273727416992,-0.027029454708099365,1e-05,535
22.3,950,18.574224920000002,1518,13,20960,-4.011393070220947,0.9945430755615234,4.869609832763672,-0.027575010433793068,1e-05,547
22.4,960,18.4279591,1504,14,21160,-3.9478297233581543,0.9944433569908142,5.134410858154297,-0.02808498591184616,1e-05,557
23.33,970,20.96232301,1496,14,21420,-4.011150360107422,0.9943139553070068,4.708600044250488,-0.02856926992535591,1e-05,570
23.63,980,21.41499049,1491,14,21580,-4.093692779541016,0.9942344427108765,4.896561622619629,-0.029071742668747902,1e-05,578
23.64,990,21.51609135,1485,14,21800,-4.173748970031738,0.9941250085830688,4.533384799957275,-0.029650654643774033,1e-05,589
23.06,1000,20.68108703,1479,14,21960,-4.283928394317627,0.9940454363822937,4.30933952331543,-0.030273685231804848,1e-05,597
21.72,1010,18.117632009999998,1470,15,22240,-4.275221824645996,0.9939059615135193,4.80226469039917,-0.030801676213741302,1e-05,611
21.64,1020,18.04582928,1467,15,22380,-4.267294406890869,0.9938362240791321,4.765412330627441,-0.031185435131192207,1e-05,618
21.76,1030,17.78277936,1456,15,22660,-4.413692951202393,0.9936968684196472,5.006923675537109,-0.03177477419376373,1e-05,632
21.84,1040,17.73421036,1451,15,22780,-4.412899017333984,0.993637204170227,4.488503456115723,-0.03218274936079979,1e-05,638
22.15,1050,18.05748402,1439,16,23060,-4.540369033813477,0.9934979677200317,4.775234222412109,-0.032915469259023666,1e-05,652
21.2,1060,17.36721706,1434,16,23280,-4.574888706207275,0.9933887124061584,4.768265724182129,-0.03349555656313896,1e-05,663
21.08,1070,15.889165119999998,1426,16,23500,-4.676983833312988,0.9932792782783508,4.751372337341309,-0.03405265510082245,1e-05,674
20.44,1080,15.131404369999998,1415,16,23660,-4.556461334228516,0.9931997656822205,4.392370223999023,-0.03430468961596489,1e-05,682
20.91,1090,14.946368380000001,1410,16,23880,-4.589595794677734,0.9930904507637024,4.389448165893555,-0.03495437651872635,1e-05,693
21.18,1100,15.679342820000002,1402,17,24100,-4.533638954162598,0.9929810762405396,4.996842861175537,-0.035585448145866394,1e-05,704
21.05,1110,15.41912365,1395,17,24320,-4.730838775634766,0.9928717017173767,4.456965446472168,-0.036033958196640015,1e-05,715
21.48,1120,15.51089709,1390,17,24500,-4.847970962524414,0.9927823543548584,4.565835952758789,-0.0364074669778347,1e-05,724
20.68,1130,15.04014656,1384,17,24740,-4.948000907897949,0.9926632642745972,4.781155586242676,-0.03715146332979202,1e-05,736
20.72,1140,14.98539117,1377,18,24960,-4.969392776489258,0.9925540089607239,4.880547523498535,-0.03758193552494049,1e-05,747
21.22,1150,15.52262911,1373,18,25160,-4.999406337738037,0.9924547672271729,5.238558769226074,-0.03817479684948921,1e-05,757
21.2,1160,15.337395870000002,1367,18,25420,-5.005390167236328,0.9923256635665894,5.104410648345947,-0.03889712691307068,1e-05,770
22.24,1170,17.56720435,1363,18,25640,-5.115996360778809,0.9922163486480713,5.0475616455078125,-0.039341140538454056,1e-05,781
21.52,1180,16.9659206,1358,19,25900,-5.176156044006348,0.9920873045921326,4.581189155578613,-0.040075793862342834,1e-05,794
21.88,1190,18.04238765,1354,19,26160,-5.195006847381592,0.9919581413269043,4.260272979736328,-0.04071575775742531,1e-05,807
23.06,1200,19.277565300000003,1350,19,26500,-5.400142669677734,0.9917893409729004,5.461777687072754,-0.041610121726989746,1e-05,824
