rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss
19.397965790000004,12,690,1171,14720,21.89,2.782559402207126e-05,-0.03300439938902855,235,2.89309024810791,0.9934749007225037,-4.075423240661621
17.794905309999997,12,700,1167,14940,20.95,2.782559402207126e-05,-0.034659452736377716,246,2.902803659439087,0.993169903755188,-4.196447372436523
17.32405734,12,710,1165,15100,20.65,2.782559402207126e-05,-0.03562271595001221,254,2.8072338104248047,0.9929481148719788,-4.28678035736084
17.104126190000002,13,720,1159,15300,20.53,2.782559402207126e-05,-0.03707445412874222,264,3.1170201301574707,0.9926710724830627,-4.427084445953369
16.70273662,13,730,1154,15500,20.6,2.782559402207126e-05,-0.03848327696323395,274,2.7623727321624756,0.9923940300941467,-4.44019889831543
16.64677468,13,740,1150,15660,20.56,2.782559402207126e-05,-0.03960065543651581,282,2.8080992698669434,0.9921725392341614,-4.6057820320129395
16.06251008,13,750,1148,15920,20.2,2.782559402207126e-05,-0.04144085943698883,295,2.902892827987671,0.9918127059936523,-4.636085510253906
15.457403500000003,14,760,1141,16140,20.25,2.782559402207126e-05,-0.04288957267999649,306,2.6893653869628906,0.9915083050727844,-4.77393102645874
16.00430834,14,770,1136,16420,20.67,2.782559402207126e-05,-0.04495089501142502,320,3.2092885971069336,0.9911212921142578,-4.953089237213135
17.55282747,14,780,1133,16660,21.69,2.782559402207126e-05,-0.04655525088310242,332,2.753267765045166,0.9907897710800171,-4.9968671798706055
16.92528019,14,790,1130,16820,21.13,2.782559402207126e-05,-0.047831542789936066,340,2.775054454803467,0.9905686378479004,-5.011183261871338
17.22482835,15,800,1127,17020,21.1,2.782559402207126e-05,-0.04934751242399216,350,2.4958724975585938,0.9902924299240112,-5.1103315353393555
17.037370890000002,15,810,1126,17220,21.15,2.782559402207126e-05,-0.050667569041252136,360,2.9859838485717773,0.9900162220001221,-5.1554412841796875
17.01870701,15,820,1118,17400,21.0,2.782559402207126e-05,-0.052128344774246216,369,2.8891501426696777,0.9897679090499878,-5.339489459991455
16.90958158,15,830,1116,17660,20.65,2.782559402207126e-05,-0.05353529006242752,382,2.7874755859375,0.9894090294837952,-5.346424579620361
18.149758130000002,16,840,1114,17860,21.38,2.782559402207126e-05,-0.055282626301050186,392,2.7555642127990723,0.9891330599784851,-5.522518157958984
18.07875561,16,850,1111,18060,21.42,2.782559402207126e-05,-0.056643806397914886,402,3.3647780418395996,0.988857090473175,-5.538077354431152
18.84865132,16,860,1110,18220,22.09,2.782559402207126e-05,-0.05762191489338875,410,2.7741618156433105,0.9886364936828613,-5.670044898986816
17.67350321,16,870,1106,18460,21.23,2.782559402207126e-05,-0.059437595307826996,422,2.4284329414367676,0.9883058667182922,-5.69766902923584
16.434396839999998,16,880,1104,18640,20.47,2.782559402207126e-05,-0.06076335534453392,431,2.8182458877563477,0.9880580306053162,-5.718141078948975
16.22016378,17,890,1104,18960,20.16,2.782559402207126e-05,-0.06268978118896484,447,3.156780242919922,0.9876174330711365,-5.963127136230469
16.617212669999997,17,900,1102,19160,20.83,2.782559402207126e-05,-0.06411908566951752,457,3.4140987396240234,0.987342119216919,-6.068436622619629
17.252555249999997,17,910,1100,19360,21.14,2.782559402207126e-05,-0.06521958112716675,467,4.499639511108398,0.9870671033859253,-6.124059677124023
17.53195316,17,920,1099,19580,21.53,2.782559402207126e-05,-0.0671229362487793,478,2.9828217029571533,0.9867645502090454,-6.038856029510498
17.447622959999997,17,930,1098,19720,21.4,2.782559402207126e-05,-0.06849279999732971,485,3.0964879989624023,0.9865719676017761,-6.413220405578613
16.72241344,18,940,1097,19940,20.82,2.782559402207126e-05,-0.06971155107021332,496,3.5994062423706055,0.9862692356109619,-6.158221244812012
17.909051069999997,21,950,952,20140,21.58,2.782559402207126e-05,-0.07115068286657333,506,3.703399419784546,0.9859943389892578,-6.3511810302734375
17.6364676,21,960,953,20340,20.47,2.782559402207126e-05,-0.07229029387235641,516,3.1275815963745117,0.9857197403907776,-6.53412389755249
18.479941590000006,21,970,952,20600,20.85,2.782559402207126e-05,-0.07449856400489807,529,2.9734621047973633,0.9853629469871521,-6.60505485534668
18.589518020000003,21,980,953,20760,21.18,2.782559402207126e-05,-0.07508968561887741,537,3.7414379119873047,0.9851433038711548,-6.798633098602295
18.585413640000002,21,990,953,20960,21.24,2.782559402207126e-05,-0.07729730010032654,547,2.9687843322753906,0.9848688244819641,-6.726417541503906
17.639197980000002,22,1000,954,21240,20.16,2.782559402207126e-05,-0.07912196218967438,561,3.2685089111328125,0.9844849109649658,-6.843689918518066
18.36802173,22,1010,954,21340,20.87,2.782559402207126e-05,-0.07928302139043808,566,3.9114489555358887,0.9843477606773376,-6.906573295593262
18.139415630000002,22,1020,955,21640,20.65,2.782559402207126e-05,-0.08126120269298553,581,4.3340253829956055,0.9839364290237427,-6.949249744415283
18.67914459,22,1030,954,21880,21.62,2.782559402207126e-05,-0.0827152281999588,593,3.628631591796875,0.9836075305938721,-7.157954216003418
18.9000995,23,1040,954,22040,21.69,2.782559402207126e-05,-0.08482329547405243,601,3.0382275581359863,0.9833881855010986,-7.110947608947754
17.696619839999997,23,1050,954,22200,20.95,2.782559402207126e-05,-0.0852024257183075,609,3.3424453735351562,0.98316890001297,-7.100893497467041
17.09055023,23,1060,956,22380,20.93,2.782559402207126e-05,-0.08632313460111618,618,4.5010223388671875,0.9829223155975342,-6.975686550140381
