rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
138.85904,840,68.39,29020,27,1041,0.00379269019073225,0.05079122260212898,950,-9.989904403686523,-5.782878875732422,0.9538754224777222
145.79285,850,71.6,30180,29,1026,0.00379269019073225,0.04596126824617386,1008,-9.382101058959961,-7.194572448730469,0.8219506740570068
152.0617,860,74.16,30660,30,1018,0.00379269019073225,0.04447004944086075,1032,-9.520440101623535,-8.60177230834961,0.9449174404144287
153.52953,870,75.18,31880,31,1006,0.00379269019073225,0.04022142291069031,1093,-10.783500671386719,-1.322869062423706,0.5898563861846924
151.9394,880,74.36,32080,31,1003,0.00379269019073225,0.03963032737374306,1103,-11.301651954650879,-6.859496116638184,1.84755277633667
160.14232,890,78.01,33500,33,996,0.00379269019073225,0.03525855019688606,1174,-11.735030174255371,-0.6148600578308105,1.7816044092178345
160.98578,900,78.46,33780,33,993,0.00379269019073225,0.03473035246133804,1188,-12.37675952911377,-5.291524410247803,0.9132175445556641
161.62202,910,78.98,35180,35,987,0.00379269019073225,0.031674496829509735,1258,-12.904550552368164,-5.294083595275879,1.3193552494049072
162.4971,920,79.57,35480,36,983,0.00379269019073225,0.03099067509174347,1273,-12.884889602661133,0.10176938772201538,1.4463484287261963
163.57695,930,80.07,36920,37,973,0.00379269019073225,0.02873852662742138,1345,-13.604969024658203,-2.4771578311920166,1.8502545356750488
163.31079,940,80.39,37120,38,972,0.00379269019073225,0.028507662937045097,1355,-14.327497482299805,-1.4780182838439941,0.9189573526382446
163.46399,950,80.39,38560,39,966,0.00379269019073225,0.026905935257673264,1427,-13.90052604675293,0.580086886882782,1.3002636432647705
164.40334,960,81.19,38740,40,965,0.00379269019073225,0.026758158579468727,1436,-14.107990264892578,-1.5666956901550293,1.6109317541122437
163.84485,970,81.2,40260,41,961,0.00379269019073225,0.026765603572130203,1512,-14.658798217773438,4.040515899658203,0.7735638618469238
166.42363,980,82.62,40420,42,961,0.00379269019073225,0.026913536712527275,1520,-14.303988456726074,2.5619544982910156,1.1287834644317627
166.53778,990,82.89,42000,43,958,0.00379269019073225,0.025794193148612976,1599,-15.290565490722656,-4.866225719451904,2.7097418308258057
167.63239,1000,83.55,42140,43,958,0.00379269019073225,0.025542529299855232,1606,-16.146564483642578,-3.2772464752197266,0.5868661403656006
168.11163,1010,83.72,43460,45,956,0.00379269019073225,0.024037141352891922,1672,-16.57587432861328,-3.2567849159240723,2.9728951454162598
166.19043,1020,83.24,43840,45,956,0.00379269019073225,0.023691000416874886,1691,-16.325218200683594,-3.154862880706787,2.379605293273926
166.825,1030,83.62,45080,47,954,0.00379269019073225,0.022232672199606895,1753,-17.132341384887695,4.992404460906982,1.8737881183624268
165.97577,1040,83.51,45580,47,954,0.00379269019073225,0.022362273186445236,1778,-17.02604866027832,-3.4030609130859375,0.9627968072891235
166.89174,1050,83.93,46780,49,951,0.00379269019073225,0.021333662793040276,1838,-17.904508590698242,-0.36655962467193604,1.7838255167007446
169.91812,1060,84.6,47320,49,949,0.00379269019073225,0.02126469649374485,1865,-18.300247192382812,2.6462230682373047,3.7720589637756348
173.2765,1070,85.63,48580,51,947,0.00379269019073225,0.02192692458629608,1928,-18.48644256591797,-3.988363265991211,1.9368687868118286
175.8097,1080,86.38,49220,52,946,0.00379269019073225,0.02153353951871395,1960,-18.63582420349121,-1.1895956993103027,1.9274977445602417
