rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
81.37688,760,48.15,22080,44,493,0.00379269019073225,0.11714169383049011,603,-6.304610252380371,-7.803985595703125,0.5343233346939087
82.95122,770,47.7,23180,45,504,0.00379269019073225,0.1004551500082016,658,-6.911773681640625,-6.808210372924805,0.28036680817604065
94.69506,780,51.53,23720,46,509,0.00379269019073225,0.09366527944803238,685,-6.990968704223633,-7.0311384201049805,0.6179707050323486
103.93326,790,54.11,24800,47,518,0.00379269019073225,0.08209194242954254,739,-7.993719100952148,-7.418257236480713,0.48595666885375977
113.83137,800,57.12,25360,48,523,0.00379269019073225,0.07702140510082245,767,-8.438974380493164,-7.5010199546813965,0.5333746671676636
124.79506,810,61.33,26500,49,531,0.00379269019073225,0.0681353360414505,824,-8.785591125488281,-4.368463039398193,0.44016844034194946
136.37419,820,66.22,27020,50,536,0.00379269019073225,0.06466371566057205,850,-9.00831127166748,-5.211841583251953,0.32481521368026733
146.36559,830,69.7,28180,51,544,0.00379269019073225,0.058191411197185516,908,-9.22662353515625,-5.935186862945557,1.1518406867980957
150.76442,840,71.28,28700,52,548,0.00379269019073225,0.055729541927576065,934,-10.384042739868164,-5.416742324829102,0.2730889916419983
154.87032,850,73.29,29760,53,555,0.00379269019073225,0.05122604966163635,987,-9.852801322937012,-1.7709964513778687,1.3038835525512695
167.28378,860,78.72,30360,61,490,0.00379269019073225,0.04907762259244919,1017,-10.569793701171875,-6.932318687438965,1.0109853744506836
175.20851,870,82.2,31340,62,497,0.00379269019073225,0.045698367059230804,1066,-10.763998031616211,-0.8968523740768433,0.21038565039634705
173.45625,880,81.98,32060,63,503,0.00379269019073225,0.043684907257556915,1102,-11.81434440612793,-6.995362281799316,1.2649145126342773
170.90807,890,81.28,32880,64,509,0.00379269019073225,0.04149143770337105,1143,-11.531003952026367,0.13938283920288086,1.0626511573791504
170.41714,900,81.41,33640,65,513,0.00379269019073225,0.03975149244070053,1181,-12.560380935668945,-9.51041030883789,0.960911750793457
168.72656,910,81.03,34420,66,518,0.00379269019073225,0.03789335489273071,1220,-12.403965950012207,-0.784138023853302,1.8674557209014893
164.76848,920,79.61,35220,67,523,0.00379269019073225,0.036408308893442154,1260,-13.322845458984375,-5.503172874450684,1.2035255432128906
164.44914,930,79.69,36060,68,528,0.00379269019073225,0.03488779440522194,1302,-14.195015907287598,-2.462082624435425,0.7502699494361877
161.0833,940,78.46,36340,68,529,0.00379269019073225,0.03441307321190834,1316,-13.430580139160156,-3.2299551963806152,1.5537168979644775
153.49347,950,75.33,37400,69,535,0.00379269019073225,0.0325268879532814,1369,-14.33681869506836,1.1899003982543945,0.7896407842636108
150.17903,960,73.91,37440,69,536,0.00379269019073225,0.03249520808458328,1371,-13.482187271118164,0.6470088362693787,1.2154710292816162
144.57881,970,71.62,38640,71,542,0.00379269019073225,0.030605558305978775,1431,-14.263669967651367,-0.930088996887207,1.489576816558838
137.88707,980,68.94,38700,71,543,0.00379269019073225,0.03053617663681507,1434,-14.474953651428223,-0.8360452651977539,1.2135813236236572
138.67767,990,69.35,40240,80,500,0.00379269019073225,0.028956903144717216,1511,-15.486995697021484,0.21867601573467255,1.520916223526001
138.01378,1000,69.07,40260,80,500,0.00379269019073225,0.028958994895219803,1512,-14.795750617980957,0.4796786606311798,1.4359463453292847
137.70726,1010,68.98,41800,82,507,0.00379269019073225,0.027838310226798058,1589,-16.241172790527344,-2.366058588027954,1.958587646484375
139.97646,1020,69.98,41880,82,507,0.00379269019073225,0.027782374992966652,1593,-16.117759704589844,-3.891378879547119,0.7585763931274414
139.45396,1030,69.83,43400,84,515,0.00379269019073225,0.026699362322688103,1669,-16.4314022064209,-3.0367305278778076,3.0856082439422607
142.57727,1040,71.2,43500,84,515,0.00379269019073225,0.026637548580765724,1674,-16.159881591796875,-2.7518880367279053,1.1607942581176758
147.65968,1050,73.55,45080,86,521,0.00379269019073225,0.026372885331511497,1753,-17.994976043701172,-1.408086895942688,2.3492627143859863
154.89517,1060,76.82,45220,86,522,0.00379269019073225,0.026396021246910095,1760,-17.76724624633789,2.197777032852173,1.0211769342422485
157.99962,1070,78.23,46720,88,529,0.00379269019073225,0.025271333754062653,1835,-18.642192840576172,0.5535385012626648,1.5404722690582275
162.44559,1080,80.16,46840,88,529,0.00379269019073225,0.02516225539147854,1841,-18.48629379272461,-0.8905297517776489,5.727297782897949
166.43822,1090,81.7,48400,90,535,0.00379269019073225,0.023901861160993576,1919,-19.28203582763672,0.8986845016479492,1.7363641262054443
167.46002,1100,82.03,48560,90,536,0.00379269019073225,0.02378341183066368,1927,-19.605579376220703,-1.6791458129882812,1.048555612564087
168.947,1110,82.53,49920,92,540,0.00379269019073225,0.02293243445456028,1995,-18.583866119384766,0.4021417498588562,1.3209959268569946
