time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef_loss
3120,340,0,9.257671454545456,14.454545454545455,10,,,,,,
3137,540,0,11.472587238095239,16.666666666666668,20,,,,,,
3273,800,0,13.377704032258066,17.903225806451612,30,,,,,,
3375,1180,0,15.487074146341465,20.073170731707318,40,,,,,,
3375,1400,0,16.670838607843137,21.19607843137255,50,,,,,,
3362,1620,0,16.75850475409836,22.065573770491802,60,,,,,,
3293,1820,0,16.393407385714283,22.285714285714285,70,,,,,,
3272,2020,0,15.955426137500002,22.025,80,,,,,,
3272,2220,0,16.15466795555556,22.166666666666668,90,,,,,,
3209,2440,0,16.265153740000002,22.2,100,,,,,,
3187,2580,0,17.101770160000004,22.68,110,,,,,,
3191,2760,0,16.78115968,22.24,120,,,,,,
3221,2980,0,16.32224007,21.98,130,,,,,,
3227,3120,0,15.296887050000002,20.86,140,,,,,,
3217,3340,1,14.838669990000001,20.51,150,,,,,,
3224,3580,1,14.757158539999999,20.23,160,,,,,,
3249,3840,1,15.136263499999998,20.26,170,,,,,,
3272,4040,1,14.90769945,19.94,180,,,,,,
3288,4260,1,14.604923289999997,19.49,190,,,,,,
3300,4460,1,15.201098000000002,20.4,200,,,,,,
3327,4740,1,14.952183079999998,20.27,210,,,,,,
3346,4920,1,15.717007589999998,21.33,220,,,,,,
3359,5080,1,16.6872966,21.88,230,,,,,,
3386,5300,1,16.744998380000002,21.92,240,,,,,,
3420,5580,1,16.510522690000002,21.46,250,,,,,,
3422,5700,1,16.470136059999998,21.29,260,,,,,,
3450,5960,1,16.83770076,21.12,270,,,,,,
3483,6280,1,17.9995976,21.83,280,,,,,,
3509,6520,1,18.23951826,22.24,290,,,,,,
3523,6760,1,18.651270229999994,21.92,300,,,,,,
3540,7000,1,19.83525486,22.48,310,,,,,,
3548,7200,2,19.707189490000005,22.08,320,,,,,,
3579,7480,2,19.91915809,22.17,330,,,,,,
3610,7760,2,22.451296450000005,24.01,340,,,,,,
3617,7940,2,22.493861060000004,24.35,350,,,,,,
3628,8160,2,21.999337849999996,23.7,360,,,,,,
3635,8340,2,22.346409969999996,23.99,370,,,,,,
3658,8700,2,22.329014159999996,24.08,380,,,,,,
3684,8960,2,22.48132548,23.9,390,,,,,,
3696,9100,2,21.863960619999997,23.42,400,,,,,,
3705,9260,2,22.19564149,24.07,410,,,,,,
3719,9460,2,21.538282510000002,23.98,420,,,,,,
3757,9720,2,19.95062438,23.28,430,,,,,,
3782,9880,2,17.560206369999996,21.74,440,,,,,,
958,10100,10,17.68938683,21.61,450,0.995008111000061,0.0016681005372000592,4,2.32828950881958,-4.034454345703125,-0.025007355958223343
954,10280,10,18.24090639,21.96,460,0.9801738858222961,0.0016681005372000592,13,1.1275392770767212,-4.296060562133789,-0.1002316027879715
954,10480,10,17.531560740000003,21.79,470,0.9639318585395813,0.0016681005372000592,23,0.8712896704673767,-4.7099528312683105,-0.18485808372497559
955,10760,11,16.63730903,21.04,480,0.9416292905807495,0.0016681005372000592,37,0.3127565085887909,-4.7123918533325195,-0.30343902111053467
950,11020,11,16.94199839,21.62,490,0.9213795065879822,0.0016681005372000592,50,0.3029318153858185,-5.032276153564453,-0.4158475697040558
944,11320,11,18.03633015,21.96,500,0.8985604047775269,0.0016681005372000592,65,0.2782931327819824,-5.049928665161133,-0.5388110876083374
941,11580,12,17.41605453,21.38,510,0.8792445659637451,0.0016681005372000592,78,0.3984573185443878,-5.127535820007324,-0.6516540050506592
940,11760,12,18.35705557,21.49,520,0.8661134243011475,0.0016681005372000592,87,0.336202472448349,-5.131976127624512,-0.7236928939819336
940,11960,12,19.55019145,21.77,530,0.8517622351646423,0.0016681005372000592,97,0.3194928765296936,-5.275874137878418,-0.8070864677429199
939,12280,13,22.04678938,23.12,540,0.8293081521987915,0.0016681005372000592,113,0.24688443541526794,-5.436408996582031,-0.9461489915847778
938,12520,13,21.996085140000005,23.2,550,0.8128491640090942,0.0016681005372000592,125,0.30946677923202515,-5.529115200042725,-1.0493452548980713
939,12800,13,22.66926068,23.6,560,0.7940704822540283,0.0016681005372000592,139,0.4129762351512909,-5.338873386383057,-1.1596128940582275
938,13100,13,24.17480518,24.25,570,0.7744279503822327,0.0016681005372000592,154,0.3616577684879303,-5.429143905639648,-1.2919927835464478
939,13420,14,26.07555401,25.99,580,0.7540469169616699,0.0016681005372000592,170,0.3648563325405121,-5.529298305511475,-1.422477126121521
939,13760,14,27.82784255,26.2,590,0.7329874038696289,0.0016681005372000592,187,0.3694646954536438,-5.540615558624268,-1.5681871175765991
939,14020,14,28.095539669999994,26.41,600,0.7172873616218567,0.0016681005372000592,200,0.23568350076675415,-5.590885639190674,-1.6748560667037964
939,14240,15,28.518788219999998,27.12,610,0.7042838335037231,0.0016681005372000592,211,0.3268861770629883,-5.6494526863098145,-1.7437124252319336
937,14580,15,28.977406719999994,27.34,620,0.6846694350242615,0.0016681005372000592,228,0.2019716203212738,-5.682474613189697,-1.890151858329773
937,14800,15,28.893810879999997,28.51,630,0.6722896695137024,0.0016681005372000592,239,0.5712164640426636,-5.74247407913208,-1.9902698993682861
937,15080,16,27.129146220000003,27.43,640,0.6568581461906433,0.0016681005372000592,253,0.3302834928035736,-5.812516689300537,-2.0997025966644287
938,15520,16,29.149705240000003,28.72,650,0.633349597454071,0.0016681005372000592,275,0.40196508169174194,-5.942566871643066,-2.2728354930877686
937,15920,16,31.629546530000002,29.99,660,0.6127102971076965,0.0016681005372000592,295,0.37699055671691895,-6.074640274047852,-2.405282974243164
937,16300,17,34.07003243,31.35,670,0.5937806367874146,0.0016681005372000592,314,0.4649653732776642,-6.078476905822754,-2.589580535888672
939,16740,17,35.26084315,31.03,680,0.5726111531257629,0.0016681005372000592,336,0.4939269423484802,-6.20345401763916,-2.774461269378662
943,17220,18,36.45194881,32.52,690,0.550381600856781,0.0016681005372000592,360,0.35253244638442993,-6.296385765075684,-2.9607696533203125
944,17940,18,41.98115299,36.15,700,0.5189071893692017,0.0016681005372000592,396,0.4934019446372986,-6.181365013122559,-3.2296454906463623
943,18480,19,46.74601095,38.0,710,0.4964792728424072,0.0016681005372000592,423,0.43018481135368347,-6.782011985778809,-3.43827486038208
945,19000,20,51.342507569999995,41.19,720,0.47586286067962646,0.0016681005372000592,449,0.357634961605072,-6.846292495727539,-3.6347947120666504
947,19420,20,56.921210650000006,43.4,730,0.4599289000034332,0.0016681005372000592,470,0.7263088226318359,-7.08846378326416,-3.7853055000305176
951,19880,20,61.94491056000001,45.97,740,0.4431512653827667,0.0016681005372000592,493,0.5666099786758423,-6.864658355712891,-3.9727272987365723
830,20340,24,65.87413389999999,48.1,750,0.42707204818725586,0.0016681005372000592,516,0.5818468332290649,-7.284402847290039,-3.973015308380127
835,20940,25,68.66214073,48.64,760,0.40719011425971985,0.0016681005372000592,546,0.2672712206840515,-7.294689178466797,-4.207765579223633
837,21180,25,70.58129031,49.62,770,0.39957699179649353,0.0016681005372000592,558,0.8007969856262207,-7.327095985412598,-4.201082229614258
840,21880,26,72.62926728000001,50.9,780,0.37815141677856445,0.0016681005372000592,593,0.5329272150993347,-7.37611198425293,-4.250760078430176
840,22220,26,74.81163282,51.05,790,0.36833468079566956,0.0016681005372000592,610,0.5143963098526001,-7.977507591247559,-4.630739688873291
843,22660,26,73.75381588,49.84,800,0.355879545211792,0.0016681005372000592,632,0.6744544506072998,-8.351808547973633,-4.739068984985352
843,22980,27,73.45334985000001,48.83,810,0.34722283482551575,0.0016681005372000592,648,0.4611368179321289,-8.27877426147461,-4.993619918823242
846,23580,27,73.72610133,47.54,820,0.33150148391723633,0.0016681005372000592,678,0.7572166323661804,-8.783576965332031,-4.7336530685424805
