time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/n_updates
17240,710,14,27.3,46.80504,1231,0.01,-4.208635330200195,0.04378877207636833,0.22667044401168823,-4.468600749969482,361
17420,720,14,26.66,46.344982,1231,0.01,-4.466498374938965,0.042057767510414124,0.3083765208721161,-7.143921852111816,370
17740,730,14,26.0,45.582134,1230,0.01,-4.334227561950684,0.03913220763206482,0.22255221009254456,-6.6681036949157715,386
17900,740,14,25.79,45.53541,1230,0.01,-4.426708698272705,0.037720512598752975,0.1891760379076004,-6.710011005401611,394
18180,750,14,25.37,45.042202,1230,0.01,-4.423065662384033,0.03561241924762726,0.3931153118610382,-7.416262149810791,408
18400,760,14,24.72,44.386032,1230,0.01,-4.694363594055176,0.03388761356472969,0.22603081166744232,-3.055305004119873,419
18700,770,15,24.77,44.538937,1230,0.01,-4.918947219848633,0.0322682186961174,0.3660183548927307,-5.61421012878418,434
18860,780,15,25.14,45.35143,1229,0.01,-5.15672492980957,0.031342338770627975,0.3388521075248718,-3.8445725440979004,442
19220,790,15,24.5,45.369694,1230,0.01,-4.895144462585449,0.03010767325758934,0.2542644441127777,-3.1361751556396484,460
19320,800,15,24.68,45.847435,1230,0.01,-5.021146774291992,0.029755553230643272,0.22879809141159058,-5.038959503173828,465
19660,810,15,24.52,45.668427,1231,0.01,-4.956201553344727,0.02889000065624714,0.2911037802696228,-7.156567096710205,482
19760,820,16,24.1,45.009388,1230,0.01,-5.547021865844727,0.028452297672629356,0.3924451470375061,-7.175384521484375,487
20120,830,18,24.07,45.012943,1064,0.01,-5.4100117683410645,0.027151111513376236,0.47437888383865356,-3.073204517364502,505
21040,840,19,28.33,53.750443,1057,0.01,-5.897938251495361,0.024968797340989113,0.36684590578079224,0.030415117740631104,551
21060,850,19,30.34,57.785492,1056,0.01,-6.046135902404785,0.024987051263451576,0.30425262451171875,-2.4444773197174072,552
21480,860,20,30.26,57.669937,1046,0.01,-5.913051128387451,0.024756724014878273,0.47199690341949463,-4.633852481842041,573
21600,870,20,30.31,57.79496,1044,0.01,-6.206056594848633,0.024556966498494148,0.27621954679489136,-4.589497089385986,579
22160,880,21,30.88,59.041344,1041,0.01,-6.776889801025391,0.024076195433735847,0.33425843715667725,3.2425384521484375,607
22200,890,21,31.65,60.699562,1040,0.01,-5.804878234863281,0.024149451404809952,0.39916157722473145,0.35492658615112305,609
23120,900,22,33.13,63.69305,1047,0.01,-6.978679180145264,0.0236830934882164,0.22215838730335236,2.59610652923584,655
23160,910,22,36.51,70.62832,1047,0.01,-6.548750400543213,0.023660795763134956,0.3930741548538208,2.962480306625366,657
23880,920,22,37.76,73.16225,1054,0.01,-6.471674919128418,0.023896481841802597,0.6463547945022583,2.487874746322632,693
24640,930,23,40.86,79.52632,1061,0.01,-7.583219051361084,0.02412077784538269,0.12802337110042572,3.859109878540039,731
25440,940,23,43.45,85.14602,1069,0.01,-7.803345203399658,0.023563088849186897,0.3251289427280426,2.5950088500976562,771
26020,950,24,45.68,89.92874,1074,0.01,-7.889072418212891,0.023510627448558807,0.24257385730743408,-1.34389066696167,800
26920,960,24,50.9,100.68046,1080,0.01,-8.316513061523438,0.02406924217939377,0.6236311793327332,0.7230347990989685,845
27300,970,25,53.96,106.95688,1083,0.01,-8.185178756713867,0.024733448401093483,0.30357322096824646,-0.17402949929237366,864
28460,980,26,59.41,118.30573,1090,0.01,-9.011665344238281,0.0257021002471447,0.9648187160491943,-0.8482391834259033,922
28840,990,26,63.05,126.00548,1092,0.01,-8.767461776733398,0.02534942515194416,0.39662447571754456,6.028774738311768,941
30000,1000,31,68.5,137.40562,956,0.01,-9.821370124816895,0.02865377813577652,0.5100815296173096,-0.302581787109375,999
30400,1010,31,69.65,139.88132,959,0.01,-10.22541618347168,0.02760200947523117,1.144726276397705,-1.7345731258392334,1019
31620,1020,32,73.85,148.7686,970,0.01,-10.427682876586914,0.026892509311437607,1.4150910377502441,2.3890883922576904,1080
32040,1030,32,77.21,156.06392,973,0.01,-11.277800559997559,0.027011776342988014,0.5508145093917847,0.5886940956115723,1101
33320,1040,33,77.83,157.43027,984,0.01,-11.211206436157227,0.029855724424123764,1.4597995281219482,1.8741512298583984,1165
