time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/n_updates
32320,910,23,84.92,170.56516,1399,0.01,-10.434149742126465,0.022159911692142487,1.3943095207214355,1.9652626514434814,1115
32440,920,23,84.89,170.84647,1396,0.01,-10.467315673828125,0.02223716676235199,0.6786309480667114,3.1568069458007812,1121
33960,930,24,84.78,170.92863,1386,0.01,-10.522194862365723,0.020255383104085922,1.283449411392212,4.0161261558532715,1197
34160,940,24,84.73,171.07027,1379,0.01,-11.034161567687988,0.020151622593402863,0.9108498096466064,-5.534072399139404,1207
35660,950,26,84.65,170.9594,1367,0.01,-11.416556358337402,0.021010901778936386,1.542227029800415,-6.348187446594238,1282
35900,960,26,84.67,171.03447,1365,0.01,-12.249197006225586,0.020357517525553703,0.3296048641204834,-0.7999283671379089,1294
37240,970,27,84.24,170.33983,1344,0.01,-12.195443153381348,0.02066515013575554,1.324552297592163,1.9549548625946045,1361
37360,980,27,82.82,166.59087,1343,0.01,-12.337225914001465,0.020908910781145096,1.0166904926300049,1.3795466423034668,1367
38960,990,29,82.6,166.06436,1322,0.01,-12.872488975524902,0.019528809934854507,0.9683096408843994,-2.3295645713806152,1447
39080,1000,29,82.5,166.26387,1320,0.01,-12.834470748901367,0.019467687234282494,0.8394113779067993,1.0594065189361572,1453
40680,1010,30,82.48,166.49017,1315,0.01,-13.876843452453613,0.021815162152051926,1.081618070602417,-4.24752140045166,1533
40800,1020,31,82.56,166.52802,1314,0.01,-13.113088607788086,0.022367140278220177,0.6621712446212769,1.599740982055664,1539
42380,1030,32,83.78,168.87003,1309,0.01,-14.75300121307373,0.022324873134493828,0.9623323678970337,-1.6234097480773926,1618
42500,1040,32,83.72,168.96324,1309,0.01,-14.400430679321289,0.02221807837486267,0.8370378613471985,-1.8524317741394043,1624
44100,1050,33,83.28,168.15288,1300,0.01,-15.081210136413574,0.020258348435163498,1.5839104652404785,-1.6090110540390015,1704
44200,1060,34,83.24,167.82176,1298,0.01,-15.133596420288086,0.02018207311630249,0.6795477271080017,-4.991658687591553,1709
45720,1070,35,83.33,168.19879,1291,0.01,-16.15462303161621,0.02003299444913864,0.9732880592346191,-3.5176358222961426,1785
46180,1080,35,85.86,176.19008,1289,0.01,-16.377656936645508,0.02067718654870987,0.5722745060920715,3.2954235076904297,1808
47560,1090,37,87.08,180.28333,1276,0.01,-16.563426971435547,0.023523472249507904,1.550041913986206,-1.5180671215057373,1877
47680,1100,37,86.4,178.61395,1275,0.01,-16.868589401245117,0.02344578318297863,2.0204548835754395,-0.2692740559577942,1883
49260,1110,39,86.04,178.044,1258,0.01,-17.157699584960938,0.022069312632083893,1.466146469116211,10.056900978088379,1962
49520,1120,39,86.45,179.38739,1252,0.01,-17.39107322692871,0.023589694872498512,0.9681186676025391,8.933588981628418,1975
