time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss
213,1892,10,0,21.3,15.208929999999999,,,,,,
396,2041,20,0,19.8,15.439274799999998,,,,,,
583,2133,30,0,19.433333333333334,15.056684800000001,,,,,,
813,2202,40,0,20.325,16.81631855,,,,,,
1017,2358,50,0,20.34,16.06003116,,,,,,
1231,2436,60,0,20.516666666666666,15.399870400000001,,,,,,
1409,2454,70,0,20.12857142857143,15.066928685714288,,,,,,
1621,2222,80,0,20.2625,15.289373012499999,,,,,,
1817,2224,90,0,20.18888888888889,15.222209511111114,,,,,,
2020,2245,100,0,20.2,15.381978969999999,,,,,,
2352,2323,110,1,21.39,17.50170192,,,,,,
2582,2381,120,1,21.86,17.85437027,,,,,,
2835,2384,130,1,22.52,18.313932689999998,,,,,,
2999,2399,140,1,21.86,17.33951287,,,,,,
3217,2450,150,1,22.0,17.72281845,,,,,,
3490,2508,160,1,22.59,19.54899821,,,,,,
3722,2528,170,1,23.13,20.55665126,,,,,,
3934,2502,180,1,23.13,20.66771964,,,,,,
4143,2511,190,1,23.26,20.696047919999998,,,,,,
4402,2534,200,1,23.82,21.16619744,,,,,,
4602,2555,210,1,22.5,19.23600419,,,,,,
4843,2567,220,1,22.61,19.41761416,,,,,,
5063,2594,230,1,22.28,19.270350249999996,,,,,,
5266,2605,240,2,22.67,19.743504279999996,,,,,,
5429,2617,250,2,22.12,19.242648810000002,,,,,,
5624,2628,260,2,21.34,17.81063719,,,,,,
5808,2626,270,2,20.86,16.947944149999998,,,,,,
6034,2648,280,2,21.0,17.18014217,,,,,,
6280,2672,290,2,21.37,17.40896569,,,,,,
6595,2705,300,2,21.93,19.100329320000004,,,,,,
6809,2722,310,2,22.07,19.52701944,,,,,,
7014,2729,320,2,21.71,19.53489224,,,,,,
7251,2675,330,2,21.88,20.311863789999997,,,,,,
7469,2687,340,2,22.03,20.42620446,,,,,,
7674,2683,350,2,22.45,20.64485133,,,,,,
7869,2685,360,2,22.45,20.685469389999998,,,,,,
8076,2670,370,3,22.68,20.921013459999998,,,,,,
8318,2650,380,3,22.84,20.88529879,,,,,,
8547,2664,390,3,22.67,20.69015412,,,,,,
8804,2666,400,3,22.09,19.023409509999997,,,,,,
9011,2669,410,3,22.02,18.324086740000002,,,,,,
9253,2686,420,3,22.39,18.02432209,,,,,,
9468,2689,430,3,22.17,17.03510701,,,,,,
9696,2699,440,3,22.27,17.351854139999997,,,,,,
9879,2705,450,3,22.05,17.30248838,,,,,,
10061,2087,460,4,21.92,16.994800420000004,0.0003359818286283781,-0.09948649257421494,60,0.9803768992424011,-4.816290378570557,1.117943286895752
10276,1165,470,8,22.0,17.318995479999998,0.0003359818286283781,-0.4613376259803772,275,0.9120644927024841,-6.7121453285217285,0.7369877099990845
10741,631,480,17,24.23,21.65034313,0.0003359818286283781,-1.2168605327606201,740,0.7812496423721313,-10.561626434326172,1.6575491428375244
11291,419,490,26,27.44,29.68533879,0.0003359818286283781,-1.8816784620285034,1290,0.6544106602668762,-14.89135456085205,2.8685009479522705
11847,322,500,36,30.43,37.95178888,0.0003359818286283781,-2.4126999378204346,1846,0.5519206523895264,-20.50238609313965,4.128411769866943
12748,240,510,52,37.37,56.35695186,0.0003359818286283781,-2.6636157035827637,2747,0.4280196726322174,-28.881149291992188,3.511864185333252
13634,198,520,68,43.81,74.31874578,0.0003359818286283781,-3.0137884616851807,3633,0.3393098711967468,-38.69535446166992,5.255672454833984
14544,171,530,84,50.76,93.20711994999999,0.0003359818286283781,-2.981778621673584,4543,0.26881954073905945,-48.74842071533203,25.573657989501953
15485,152,540,101,57.89,112.18032686000001,0.0003359818286283781,-2.5692014694213867,5484,0.21103179454803467,-58.94978332519531,15.927511215209961
16455,138,550,118,65.76,132.27606127,0.0003359818286283781,-2.6427016258239746,6454,0.168893501162529,-66.54934692382812,5.760921955108643
17512,127,560,137,74.51,153.75761142,0.0003359818286283781,-0.23614291846752167,7511,0.13351289927959442,-72.83911895751953,37.11758804321289
18545,119,570,155,82.69,173.97008509999995,0.0003359818286283781,-0.7425820827484131,8544,0.1106296256184578,-82.51565551757812,11.696966171264648
19901,110,580,179,91.6,196.16360774999998,0.0003359818286283781,0.05690321326255798,9900,0.10186241567134857,-93.23040008544922,37.55846405029297
21562,102,590,209,102.71,225.51833317,0.0003359818286283781,0.9950834512710571,11561,0.10737599432468414,-104.77790832519531,31.492881774902344
23106,97,600,236,112.59,254.96837929000006,0.0003359818286283781,-0.6485872864723206,13105,0.11520155519247055,-114.33319091796875,25.97021484375
24659,93,610,264,119.11,278.69087978,0.0003359818286283781,-1.011561393737793,14658,0.12709948420524597,-126.87735748291016,23.393295288085938
26075,90,620,289,124.41,296.34883307,0.0003359818286283781,-0.6477994322776794,16074,0.11762173473834991,-128.5123748779297,12.623336791992188
27412,87,630,313,128.68,308.55408317999996,0.0003359818286283781,0.24410806596279144,17411,0.11438632011413574,-138.00460815429688,48.67647933959961
28673,85,640,335,131.88,319.63560203000003,0.0003359818286283781,-0.6269140243530273,18672,0.10993649810552597,-139.84271240234375,31.9006404876709
29830,83,650,356,133.75,326.43150438,0.0003359818286283781,-1.2960851192474365,19829,0.11666129529476166,-147.51174926757812,23.715730667114258
31078,82,660,378,135.66,334.5458992,0.0003359818286283781,-0.35563066601753235,21077,0.11159160733222961,-146.87127685546875,60.26983642578125
