rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss
10.9225346,15.1,0,3033,10,380,,,,,,
12.2257505,16.3,0,3094,20,500,,,,,,
12.627398838709677,17.06451612903226,0,3482,30,760,,,,,,
13.056071650000002,17.025,0,3520,40,960,,,,,,
16.06522602,19.5,0,3666,50,1160,,,,,,
15.57961073770492,18.934426229508198,0,3703,60,1380,,,,,,
16.306052585714287,19.642857142857142,0,3616,70,1580,,,,,,
16.185219333333333,19.358024691358025,0,3478,80,1720,,,,,,
15.964218355555555,19.177777777777777,0,3533,90,2020,,,,,,
16.21294414,19.64,0,3620,100,2220,,,,,,
16.60626295,20.08,0,3678,110,2400,,,,,,
16.929151840000003,20.26,0,3814,120,2680,,,,,,
16.89947599,20.34,0,3854,130,2840,,,,,,
17.378918690000003,20.81,0,3911,140,3100,,,,,,
16.53664261,20.0,0,3951,150,3280,,,,,,
17.17628285,20.89,0,3975,160,3500,,,,,,
16.90884579,20.58,0,3944,170,3760,,,,,,
17.63517611,21.15,1,3970,180,4020,,,,,,
19.213221159999996,22.44,1,3989,190,4260,,,,,,
19.248978909999998,22.29,1,4009,200,4420,,,,,,
19.271897980000002,22.36,1,4059,210,4740,,,,,,
19.708963920000002,23.13,1,4089,220,4960,,,,,,
20.06161309,23.4,1,4043,230,5140,,,,,,
20.34123663,23.69,1,4063,240,5360,,,,,,
20.137819669999995,23.84,1,4079,250,5580,,,,,,
19.91401207,23.38,1,4113,260,5880,,,,,,
20.42882594,23.75,1,4143,270,6100,,,,,,
19.738634439999995,23.42,1,4174,280,6280,,,,,,
18.60086654,22.39,1,4190,290,6500,,,,,,
19.076799170000005,22.64,1,4190,300,6700,,,,,,
19.45902108,22.76,1,4204,310,6940,,,,,,
19.39472488,22.29,1,4206,320,7120,,,,,,
19.471628109999997,22.0,1,4236,330,7300,,,,,,
18.502801459999997,21.33,1,4263,340,7540,,,,,,
18.434587370000003,21.01,1,4262,350,7800,,,,,,
17.917808130000004,20.93,1,4261,360,8000,,,,,,
19.493405120000002,21.79,1,4250,370,8240,,,,,,
19.40441296,21.97,1,4227,380,8400,,,,,,
19.15702704,21.98,2,4214,390,8680,,,,,,
18.44748097,21.78,2,4228,400,8840,,,,,,
18.118478609999997,21.44,2,4229,410,9140,,,,,,
17.662930369999998,21.37,2,4247,420,9360,,,,,,
18.8109408,22.25,2,4267,430,9580,,,,,,
19.00837376,22.47,2,4298,440,9800,,,,,,
18.5276822,22.4,2,4241,450,10060,0.012915496650148827,0.016039274632930756,103.74908447265625,2,0.9871675968170166,3.056307315826416
18.48365178,22.27,2,3988,460,10280,0.012915496650148827,-0.6772221326828003,6.625766754150391,13,0.8735271692276001,-1.9176461696624756
18.62761865,22.79,2,3802,470,10440,0.012915496650148827,-1.2030080556869507,2.8545079231262207,21,0.7877586483955383,-2.5143637657165527
18.74527914,22.64,2,3640,480,10620,0.012915496650148827,-1.793579339981079,1.1710268259048462,30,0.7002100944519043,-3.9624650478363037
18.60962572,22.29,3,3344,490,10880,0.012915496650148827,-2.6652441024780273,0.38034799695014954,43,0.5905423760414124,-3.0974996089935303
18.63299456,22.26,3,3180,500,11140,0.012915496650148827,-3.5022754669189453,0.20524945855140686,56,0.4981608986854553,-2.878511428833008
19.185660399999996,23.06,3,3019,510,11380,0.012915496650148827,-4.302147388458252,0.08250746130943298,68,0.4259610176086426,-2.751199722290039
20.139025219999997,23.65,4,2854,520,11680,0.012915496650148827,-5.281276702880859,0.05589405447244644,83,0.35032331943511963,-2.5624945163726807
19.05163378,23.23,4,2750,530,11900,0.012915496650148827,-6.0191650390625,0.054386820644140244,94,0.3035808801651001,-2.359236240386963
19.05174869,23.29,4,2683,540,12040,0.012915496650148827,-6.478496551513672,0.0503532737493515,101,0.27715080976486206,-2.266331195831299
19.78706914,23.73,4,2556,550,12380,0.012915496650148827,-7.54416561126709,0.031155340373516083,118,0.22220970690250397,-2.185849189758301
19.463473750000002,23.51,5,2475,560,12560,0.012915496650148827,-8.117399215698242,0.04082297906279564,127,0.19776229560375214,-2.0981268882751465
18.08674099,22.21,5,2406,570,12840,0.012915496650148827,-9.05096435546875,0.03668546676635742,141,0.1650003045797348,-2.0984249114990234
19.34491002,22.9,5,2326,580,13060,0.012915496650148827,-9.754544258117676,0.041605040431022644,152,0.14311917126178741,-1.9821405410766602
20.923051079999997,24.23,5,2260,590,13340,0.012915496650148827,-10.458343505859375,0.024216441437602043,166,0.1194474846124649,-2.0265958309173584
24.662297070000005,25.71,6,2130,600,13900,0.012915496650148827,-11.969123840332031,0.022048594430088997,194,0.08366911858320236,-2.012718677520752
29.774391600000005,27.82,7,2041,610,14400,0.012915496650148827,-12.689470291137695,0.021503156051039696,219,0.06146832928061485,-1.9996757507324219
32.84880496,28.79,7,1964,620,14860,0.012915496650148827,-12.248297691345215,0.026847466826438904,242,0.04699581116437912,-2.1185293197631836
38.67796162,31.46,7,1917,630,15240,0.012915496650148827,-11.967901229858398,0.028885670006275177,261,0.038401342928409576,-2.1014599800109863
42.72592857000001,32.78,8,1882,640,15460,0.012915496650148827,-10.315488815307617,0.05281367525458336,272,0.034489769488573074,-2.1747548580169678
45.571017699999985,33.51,8,1795,650,15860,0.012915496650148827,-7.405314922332764,0.04672197997570038,292,0.028801288455724716,-2.315959930419922
