rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss
13.917702636363634,16.454545454545453,0,3438,10,420,,,,,,
18.055111399999998,19.5,0,3503,20,640,,,,,,
16.64895819354839,19.0,0,3540,30,820,,,,,,
15.914033585365853,19.121951219512194,0,3718,40,1080,,,,,,
18.160691099999998,21.02,0,3740,50,1240,,,,,,
17.113070213114753,20.59016393442623,0,3802,60,1480,,,,,,
17.017345857142857,20.47142857142857,0,3881,70,1760,,,,,,
17.2240222125,21.3,0,3901,80,1980,,,,,,
17.583215055555556,21.333333333333332,0,3858,90,2100,,,,,,
17.384646780000004,21.44,0,3891,100,2360,,,,,,
17.84902474,21.78,0,3882,110,2560,,,,,,
16.83959802,21.28,0,3862,120,2700,,,,,,
16.550554740000003,21.24,0,3869,130,2920,,,,,,
16.753154890000005,21.37,0,3880,140,3160,,,,,,
15.26790496,20.39,0,3863,150,3300,,,,,,
15.31345512,20.42,0,3868,160,3540,,,,,,
15.870670279999999,20.76,0,3846,170,3780,,,,,,
15.236409900000002,19.97,1,3848,180,3980,,,,,,
14.766818,20.01,1,3851,190,4200,,,,,,
14.89032156,20.1,1,3864,200,4460,,,,,,
15.633935310000002,20.7,1,3849,210,4640,,,,,,
16.228052719999997,21.2,1,3863,220,4900,,,,,,
16.694509410000002,21.45,1,3852,230,5020,,,,,,
17.33066278,21.58,1,3835,240,5260,,,,,,
16.71757654,21.24,1,3830,250,5480,,,,,,
16.91632135,21.27,1,3820,260,5620,,,,,,
16.35220918,20.86,1,3831,270,5880,,,,,,
16.60421009,21.15,1,3835,280,6060,,,,,,
16.4728379,21.04,1,3837,290,6220,,,,,,
16.369678559999997,20.53,1,3848,300,6480,,,,,,
15.215713290000002,20.02,1,3857,310,6700,,,,,,
14.940380069999998,19.92,1,3866,320,6920,,,,,,
16.31192084,20.59,1,3864,330,7060,,,,,,
16.2233709,20.61,1,3871,340,7280,,,,,,
16.27230883,20.6,1,3876,350,7480,,,,,,
15.911778609999999,20.57,1,3883,360,7680,,,,,,
15.576876330000003,20.38,2,3882,370,7860,,,,,,
15.73768662,20.34,2,3882,380,8120,,,,,,
15.68029255,20.24,2,3881,390,8340,,,,,,
15.667733519999999,20.42,2,3872,400,8460,,,,,,
15.443763449999997,20.06,2,3877,410,8700,,,,,,
14.879410069999999,19.64,2,3882,420,8960,,,,,,
13.49404212,18.88,2,3885,430,9140,,,,,,
13.01579212,18.72,2,3893,440,9420,,,,,,
14.602283649999999,19.72,2,3911,450,9740,,,,,,
15.49515484,20.23,2,3924,460,9900,,,,,,
19.20659307,21.94,15,662,470,10080,0.012915496650148827,-0.09029446542263031,2.9406726360321045,3,0.9797221422195435,-1.6891851425170898
18.37184548,21.59,15,662,480,10240,0.012915496650148827,-0.5769370794296265,6.859347343444824,11,0.8917214274406433,-1.9483733177185059
18.91971333,21.98,15,665,490,10480,0.012915496650148827,-1.3645809888839722,1.9524487257003784,23,0.7628425359725952,-2.7310125827789307
18.54904548,21.97,15,667,500,10580,0.012915496650148827,-1.6869571208953857,1.6454193592071533,28,0.7143011093139648,-4.031510829925537
18.525439679999998,22.07,16,672,510,10900,0.012915496650148827,-2.776970148086548,0.4077199697494507,44,0.5789073705673218,-3.1464121341705322
19.11987397,22.74,16,673,520,11040,0.012915496650148827,-3.2144243717193604,0.2623949646949768,51,0.5281641483306885,-3.212526559829712
18.64115305,22.42,16,677,530,11240,0.012915496650148827,-3.8782968521118164,0.13652174174785614,61,0.4633539319038391,-2.9031150341033936
19.00047276,22.73,16,680,540,11440,0.012915496650148827,-4.528563022613525,0.12506258487701416,71,0.4066047966480255,-2.7842695713043213
17.809847889999993,21.83,17,683,550,11660,0.012915496650148827,-5.292647361755371,0.08901122957468033,82,0.35229068994522095,-2.5911970138549805
17.497796010000002,21.32,17,686,560,11860,0.012915496650148827,-5.858678817749023,0.08403760194778442,92,0.30928289890289307,-2.566311836242676
14.86256218,19.94,17,689,570,12180,0.012915496650148827,-6.913914680480957,0.05355912819504738,108,0.25128698348999023,-2.3292906284332275
16.98100861,21.0,18,694,580,12520,0.012915496650148827,-8.016044616699219,0.043020762503147125,125,0.2016507089138031,-2.2621893882751465
18.523399740000002,22.4,18,701,590,12920,0.012915496650148827,-9.280399322509766,0.04774268716573715,145,0.1557878851890564,-2.103299140930176
24.3755729,25.07,18,705,600,13400,0.012915496650148827,-10.464631080627441,0.044815242290496826,169,0.11494892090559006,-2.089047431945801
26.8114741,26.44,19,709,610,13700,0.012915496650148827,-10.178648948669434,0.03885246068239212,184,0.09538299590349197,-2.0444529056549072
32.46015903,28.85,20,713,620,14280,0.012915496650148827,-11.178033828735352,0.05809210613369942,213,0.06756950914859772,-2.0914947986602783
38.40818846,31.86,20,716,630,14720,0.012915496650148827,-11.710893630981445,0.05326704680919647,235,0.05340379476547241,-2.3032302856445312
43.57163627,34.02,20,721,640,15020,0.012915496650148827,-6.463005065917969,0.046591389924287796,250,0.045707523822784424,-2.1769962310791016
48.83960246000001,36.35,21,725,650,15480,0.012915496650148827,-8.171753883361816,0.05106353759765625,273,0.03737124055624008,-2.4347524642944336
