time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/actor_loss
10,0,13.399510799999998,2404,181,18.1,,,,,,
20,0,12.99234285,2633,361,18.05,,,,,,
30,0,16.300118666666666,2902,618,20.6,,,,,,
40,0,17.9448758,2764,901,22.525,,,,,,
50,0,18.505542900000002,2873,1155,23.1,,,,,,
60,0,19.502495183333338,2862,1373,22.883333333333333,,,,,,
70,0,18.64831697142857,2908,1545,22.071428571428573,,,,,,
80,0,17.933667875,2923,1722,21.525,,,,,,
90,0,17.878420211111113,2943,1965,21.833333333333332,,,,,,
100,0,17.912079639999998,2985,2199,21.99,,,,,,
110,0,19.23368713,2972,2469,22.88,,,,,,
120,0,20.23738023,2985,2705,23.44,,,,,,
130,0,19.42137095,2984,2930,23.12,,,,,,
140,1,18.551480459999997,3011,3140,22.39,,,,,,
150,1,18.046428070000005,3015,3339,21.84,,,,,,
160,1,17.047414760000002,2962,3538,21.65,,,,,,
170,1,17.312297550000004,2978,3725,21.8,,,,,,
180,1,17.50469945,2949,3948,22.26,,,,,,
190,1,17.63018548,2959,4166,22.01,,,,,,
200,1,17.510016399999998,2936,4398,21.99,,,,,,
210,1,18.02268979,2965,4686,22.17,,,,,,
220,1,17.534000039999995,2945,4940,22.35,,,,,,
230,1,17.75436996,2935,5146,22.16,,,,,,
240,1,17.723222310000004,2939,5341,22.01,,,,,,
250,1,17.62250389,2941,5544,22.05,,,,,,
260,1,17.59036461,2935,5747,22.09,,,,,,
270,2,17.329683609999996,2919,5949,22.24,,,,,,
280,2,17.97547317,2941,6206,22.58,,,,,,
290,2,17.34609355,2950,6387,22.21,,,,,,
300,2,17.16575734,2930,6599,22.01,,,,,,
310,2,16.00099079,2923,6846,21.6,,,,,,
320,2,16.740908519999998,2896,7109,21.69,,,,,,
330,2,16.57429993,2870,7331,21.85,,,,,,
340,2,17.7433178,2829,7636,22.95,,,,,,
350,2,18.52796779,2795,7882,23.38,,,,,,
360,2,20.16455092,2796,8204,24.57,,,,,,
