time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss
1493,30.29,680,10,30.202246,15920,295,-1.0251045227050781,0.43627187609672546,0.0006951927961775605,0.8151105046272278,-6.670492172241211
1478,31.11,690,10,31.813004,16140,306,-1.0665740966796875,0.5124034881591797,0.0006951927961775605,0.8089183568954468,-6.674976825714111
1462,31.49,700,11,32.24018,16480,323,-1.1241199970245361,0.7048337459564209,0.0006951927961775605,0.7994415163993835,-6.6792426109313965
1449,31.19,710,11,32.3388,16820,340,-1.186523199081421,0.592666745185852,0.0006951927961775605,0.7900901436805725,-6.837907791137695
1436,32.02,720,11,33.323563,17200,359,-1.2469068765640259,0.5574526786804199,0.0006951927961775605,0.7797646522521973,-7.077639579772949
1424,32.06,730,12,34.108692,17500,374,-1.3065153360366821,0.3894726037979126,0.0006951927961775605,0.7717010974884033,-7.121967315673828
1409,33.02,740,12,35.755116,17840,391,-1.3485790491104126,0.4393484890460968,0.0006951927961775605,0.7626829147338867,-7.204824447631836
1388,33.56,750,13,36.11192,18220,410,-1.4299134016036987,0.9607258439064026,0.0006951927961775605,0.7527527809143066,-7.406668663024902
1373,34.71,760,13,37.670223,18660,432,-1.4849584102630615,0.7619799375534058,0.0006951927961775605,0.741385281085968,-7.57649040222168
1352,36.11,770,14,39.809204,19240,461,-1.5890274047851562,1.1040681600570679,0.0006951927961775605,0.7267341017723083,-7.565740585327148
1333,34.93,780,14,36.895874,19740,486,-1.687506914138794,0.3041985332965851,0.0006951927961775605,0.7143217921257019,-8.06502914428711
1320,36.52,790,15,39.45157,20180,508,-1.7500168085098267,0.7180458307266235,0.0006951927961775605,0.703584611415863,-8.010869979858398
1307,39.39,800,15,43.195957,20680,533,-1.8235483169555664,0.5058879852294922,0.0006951927961775605,0.6915991902351379,-8.562442779541016
1293,41.5,810,16,45.868877,21080,553,-1.8559222221374512,0.8512638807296753,0.0006951927961775605,0.682161808013916,-8.366959571838379
1287,41.78,820,16,46.417694,21480,573,-1.9523147344589233,0.745842456817627,0.0006951927961775605,0.6729118824005127,-8.518796920776367
1273,43.75,830,17,49.188408,21960,597,-2.038639545440674,0.7712230086326599,0.0006951927961775605,0.6619529724121094,-8.857199668884277
1257,45.57,840,17,51.821457,22560,627,-2.0950493812561035,0.606112003326416,0.0006951927961775605,0.6484809517860413,-9.321818351745605
1246,47.03,850,18,54.059864,23100,654,-2.20493221282959,0.7102848291397095,0.0006951927961775605,0.6366536617279053,-9.291741371154785
1236,49.43,860,19,58.780743,23760,687,-2.3120064735412598,1.4607431888580322,0.0006951927961775605,0.6225987076759338,-9.759843826293945
1224,51.08,870,20,62.96115,24580,728,-2.420661449432373,0.5521693229675293,0.0006951927961775605,0.6055279970169067,-9.850822448730469
1216,53.66,880,20,67.81361,25080,753,-2.4631290435791016,0.5130739212036133,0.0006951927961775605,0.595384418964386,-10.123506546020508
1199,54.8,890,21,69.97615,25740,786,-2.5926709175109863,1.0075167417526245,0.0006951927961775605,0.5822570323944092,-10.452676773071289
1192,55.45,900,21,71.712036,26200,809,-2.668837070465088,1.6027424335479736,0.0006951927961775605,0.573331892490387,-10.37008285522461
1183,56.08,910,22,72.55522,26840,841,-2.7313332557678223,1.7458078861236572,0.0006951927961775605,0.5611163973808289,-10.72433090209961
1176,59.27,920,23,79.03653,27360,867,-2.8180909156799316,1.7636873722076416,0.0006951927961775605,0.5514397025108337,-11.109865188598633
1153,58.87,930,24,79.89035,28340,916,-2.9760518074035645,1.2006840705871582,0.0006951927961775605,0.5336251854896545,-11.433552742004395
1149,60.7,940,24,84.621445,28680,933,-3.029757022857666,1.4464077949523926,0.0006951927961775605,0.5276184678077698,-11.611200332641602
1141,62.54,950,25,89.574036,29660,982,-3.060673236846924,0.584138035774231,0.0006951927961775605,0.5107271671295166,-12.00661849975586
1137,62.51,960,26,91.6867,30100,1004,-3.096660614013672,1.4590195417404175,0.0006951927961775605,0.5034053325653076,-12.07414722442627
1129,62.53,970,27,93.01985,31060,1052,-3.2715797424316406,1.3544864654541016,0.0006951927961775605,0.4877624809741974,-13.172587394714355
1125,62.71,980,28,96.49453,31640,1081,-3.241774320602417,3.3657617568969727,0.0006951927961775605,0.47862836718559265,-13.021002769470215
1119,64.95,990,28,101.049324,32380,1118,-3.361936569213867,2.7721621990203857,0.0006951927961775605,0.46723121404647827,-12.95101261138916
1111,68.25,1000,30,111.482735,33500,1174,-3.5604047775268555,2.1119232177734375,0.0006951927961775605,0.45058682560920715,-13.954504013061523
1106,72.1,1010,30,124.95831,34200,1209,-3.7341132164001465,1.0622427463531494,0.0006951927961775605,0.44053494930267334,-13.89451789855957
1097,74.92,1020,32,134.79523,35420,1270,-3.669651508331299,0.9169973134994507,0.0006951927961775605,0.4236164093017578,-15.31322956085205
1091,79.01,1030,32,147.10446,35960,1297,-3.7123708724975586,1.8884971141815186,0.0006951927961775605,0.416489839553833,-15.20010757446289
1083,81.05,1040,34,156.43503,37240,1361,-3.918271541595459,3.4213528633117676,0.0006951927961775605,0.39993754029273987,-16.102943420410156
1081,83.34,1050,34,165.24506,37720,1385,-3.9617090225219727,3.309885025024414,0.0006951927961775605,0.3940053880214691,-16.48350715637207
1075,86.33,1060,36,174.39133,39020,1450,-4.234231948852539,1.7667348384857178,0.0006951927961775605,0.3784666955471039,-16.82186508178711
1073,88.9,1070,36,183.47926,39560,1477,-3.8070755004882812,2.098792314529419,0.0006951927961775605,0.3721718192100525,-16.911378860473633
1069,90.87,1080,38,190.13162,40760,1537,-4.21309757232666,2.3546154499053955,0.0006951927961775605,0.3587532043457031,-17.797603607177734
1066,91.85,1090,38,197.36115,41340,1566,-4.380661964416504,1.7803610563278198,0.0006951927961775605,0.352438747882843,-18.049972534179688
1060,91.49,1100,40,198.99393,42540,1626,-3.961657762527466,2.790398120880127,0.0006951927961775605,0.3397025465965271,-18.74783706665039
1056,91.02,1110,40,198.13463,43060,1652,-4.471631050109863,1.1407380104064941,0.0006951927961775605,0.33447879552841187,-19.82291030883789
1050,90.23,1120,42,197.52945,44260,1712,-4.154789924621582,1.497542381286621,0.0006951927961775605,0.32259294390678406,-19.714599609375
1049,89.88,1130,42,196.78192,44820,1740,-4.345495700836182,1.1037541627883911,0.0006951927961775605,0.317301481962204,-19.793781280517578
1046,89.44,1140,43,195.56787,45980,1798,-4.03842830657959,6.159274101257324,0.0006951927961775605,0.3066459894180298,-20.002168655395508
1045,89.06,1150,44,195.00291,46540,1826,-4.118133068084717,2.8775784969329834,0.0006951927961775605,0.30159544944763184,-20.752273559570312
1040,88.53,1160,45,194.2457,47840,1891,-4.187375068664551,3.3692564964294434,0.0006951927961775605,0.29035043716430664,-22.017744064331055
1038,88.18,1170,46,193.55113,48340,1916,-4.367247581481934,4.308087348937988,0.0006951927961775605,0.2861434519290924,-21.79513168334961
1034,88.02,1180,47,193.17633,49560,1977,-4.262200355529785,3.3856189250946045,0.0006951927961775605,0.2761424481868744,-22.58881378173828
