time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss
462,29.28,690,34,28.96821,15980,298,-1.0377284288406372,0.5798238515853882,0.0006951927961775605,0.813462495803833,-6.732163906097412
466,30.94,700,34,32.2672,16240,311,-1.0730006694793701,0.5472027659416199,0.0006951927961775605,0.8061662912368774,-6.7733659744262695
468,31.96,710,35,34.069576,16480,323,-1.1218678951263428,0.5518738031387329,0.0006951927961775605,0.7995004653930664,-6.97980260848999
473,32.09,720,35,35.153244,16940,346,-1.1982433795928955,0.5768306255340576,0.0006951927961775605,0.7868818640708923,-6.7287702560424805
475,31.75,730,36,34.59488,17180,358,-1.2408761978149414,0.707312822341919,0.0006951927961775605,0.7803791165351868,-7.085014343261719
481,32.57,740,36,36.395878,17680,383,-1.3112189769744873,0.5581026077270508,0.0006951927961775605,0.767002522945404,-7.242541313171387
487,35.06,750,37,40.443363,18200,409,-1.4142005443572998,0.9531116485595703,0.0006951927961775605,0.7533880472183228,-7.527864456176758
492,36.96,760,37,43.352882,18660,432,-1.468037724494934,0.7505295276641846,0.0006951927961775605,0.7415390610694885,-7.55471134185791
497,37.74,770,38,44.98806,19040,451,-1.5435867309570312,0.8817997574806213,0.0006951927961775605,0.7319345474243164,-7.781035900115967
503,39.34,780,38,48.50808,19540,476,-1.620199203491211,0.7987722754478455,0.0006951927961775605,0.7194909453392029,-7.921796798706055
507,38.55,790,39,47.64564,19860,492,-1.7003591060638428,0.47847980260849,0.0006951927961775605,0.7116289734840393,-8.043704986572266
472,38.99,800,42,48.407173,20280,513,-1.7382988929748535,0.9974152445793152,0.0006951927961775605,0.7014713883399963,-7.998847007751465
478,39.74,810,43,49.066895,20820,540,-1.8271212577819824,0.6248031854629517,0.0006951927961775605,0.6886237859725952,-8.725791931152344
483,42.22,820,44,52.450844,21360,567,-1.9105478525161743,0.9623962640762329,0.0006951927961775605,0.6760427355766296,-8.610029220581055
488,44.71,830,44,57.115223,21920,595,-2.005765914916992,0.5749105215072632,0.0006951927961775605,0.6633214354515076,-9.058967590332031
498,47.86,840,45,63.228672,22840,641,-2.172555685043335,2.1953682899475098,0.0006951927961775605,0.6429303884506226,-9.264876365661621
504,50.64,850,46,68.677956,23480,673,-2.2295868396759033,1.3675799369812012,0.0006951927961775605,0.6290881633758545,-9.755056381225586
511,53.04,860,47,73.96652,24140,706,-2.3277080059051514,1.0036460161209106,0.0006951927961775605,0.6152521371841431,-9.678072929382324
516,55.66,870,47,78.93213,24760,737,-2.4365224838256836,0.46780335903167725,0.0006951927961775605,0.6025400757789612,-10.234557151794434
523,57.59,880,48,82.62267,25440,771,-2.482440233230591,0.3334282636642456,0.0006951927961775605,0.5890009999275208,-10.538928985595703
529,59.34,890,49,87.771194,26120,805,-2.545020818710327,1.193708896636963,0.0006951927961775605,0.5757487416267395,-10.867733001708984
537,63.51,900,50,97.18439,27020,850,-2.7330613136291504,1.6222586631774902,0.0006951927961775605,0.5588290095329285,-11.252666473388672
545,69.12,910,51,110.54113,28000,899,-2.8387997150421143,1.526348352432251,0.0006951927961775605,0.5409199595451355,-11.456842422485352
550,70.99,920,51,116.92055,28620,930,-2.949829578399658,2.568744659423828,0.0006951927961775605,0.529929518699646,-12.39709758758545
556,72.82,930,52,123.04928,29380,968,-3.024026393890381,2.5655477046966553,0.0006951927961775605,0.5168601274490356,-13.108235359191895
495,75.17,940,60,130.25554,30140,1006,-3.051887035369873,0.6652054786682129,0.0006951927961775605,0.5041748881340027,-12.307204246520996
503,76.02,950,61,136.3861,31180,1058,-3.17037034034729,1.6676642894744873,0.0006951927961775605,0.487463116645813,-13.816038131713867
508,76.56,960,62,140.31096,31760,1087,-3.311756134033203,2.0681235790252686,0.0006951927961775605,0.47846129536628723,-14.099285125732422
513,78.75,970,63,149.31487,32840,1141,-3.337742805480957,2.9245424270629883,0.0006951927961775605,0.46208345890045166,-14.452211380004883
517,81.88,980,65,159.79762,33660,1182,-3.4760985374450684,1.0997631549835205,0.0006951927961775605,0.45010387897491455,-14.688429832458496
524,85.61,990,66,170.1524,34660,1232,-3.5441524982452393,1.3006048202514648,0.0006951927961775605,0.4361410140991211,-15.74625015258789
529,86.08,1000,66,174.82207,35400,1269,-3.652360439300537,2.469780921936035,0.0006951927961775605,0.42604929208755493,-15.846845626831055
536,85.63,1010,68,176.99945,36600,1329,-3.6791632175445557,2.908304214477539,0.0006951927961775605,0.4103579521179199,-16.7030029296875
542,86.65,1020,68,181.24342,37360,1367,-3.8234047889709473,1.439386010169983,0.0006951927961775605,0.4007341265678406,-17.066457748413086
547,88.63,1030,69,187.71512,38260,1412,-3.928114891052246,3.0107381343841553,0.0006951927961775605,0.38975268602371216,-17.656890869140625
551,88.23,1040,70,189.37787,39060,1452,-4.050760746002197,4.757824420928955,0.0006951927961775605,0.38032716512680054,-17.526092529296875
555,88.22,1050,71,190.76514,39860,1492,-3.911118745803833,2.160935401916504,0.0006951927961775605,0.3710687756538391,-18.304397583007812
514,89.29,1060,79,195.08847,40800,1539,-3.969486713409424,1.4030859470367432,0.0006951927961775605,0.36065587401390076,-18.635339736938477
519,88.77,1070,80,193.40488,41620,1580,-4.102547645568848,9.192920684814453,0.0006951927961775605,0.3518363833427429,-18.87945556640625
524,87.61,1080,80,191.20773,42500,1624,-4.1750383377075195,1.16252601146698,0.0006951927961775605,0.3425969183444977,-20.367889404296875
529,86.53,1090,81,188.88995,43320,1665,-4.176999092102051,3.0843863487243652,0.0006951927961775605,0.33418479561805725,-20.16693878173828
534,86.53,1100,82,188.56773,44240,1711,-4.342225074768066,3.7625582218170166,0.0006951927961775605,0.32512372732162476,-20.708656311035156
538,86.35,1110,83,188.65543,45040,1751,-4.449408531188965,7.762786865234375,0.0006951927961775605,0.317487895488739,-21.413673400878906
542,86.01,1120,84,187.66057,45880,1793,-4.682872295379639,5.8915863037109375,0.0006951927961775605,0.3096429109573364,-21.866857528686523
545,85.26,1130,85,185.71617,46720,1835,-4.781556129455566,4.57599401473999,0.0006951927961775605,0.3020848035812378,-22.863571166992188
550,85.18,1140,86,185.11835,47580,1878,-4.342596054077148,2.3689208030700684,0.0006951927961775605,0.294486403465271,-23.00031280517578
553,85.36,1150,87,184.50682,48380,1918,-4.0750885009765625,5.896238803863525,0.0006951927961775605,0.28776901960372925,-22.129579544067383
557,85.1,1160,88,183.07716,49300,1964,-4.528539657592773,3.67875337600708,0.0006951927961775605,0.2800939977169037,-23.482582092285156
