rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates
16.2151143,0,207,20.7,2624,10,,,,,,
17.8052872,0,431,21.55,2608,20,,,,,,
18.27990073333333,0,638,21.266666666666666,2806,30,,,,,,
17.43633435,0,845,21.125,2832,40,,,,,,
17.04137286,0,1049,20.98,2780,50,,,,,,
17.448483383333333,0,1260,21.0,2870,60,,,,,,
19.21706188571429,0,1596,22.8,2915,70,,,,,,
18.6080928375,0,1781,22.2625,2860,80,,,,,,
18.342343488888886,0,1985,22.055555555555557,2897,90,,,,,,
18.33181565,0,2160,21.6,2936,100,,,,,,
18.21947896,0,2381,21.74,2902,110,,,,,,
18.13191692,0,2586,21.55,2924,120,,,,,,
20.245698660000002,1,2903,22.65,2846,130,,,,,,
20.74580318,1,3139,22.94,2871,140,,,,,,
20.23706774,1,3308,22.59,2828,150,,,,,,
20.22602616,1,3516,22.56,2811,160,,,,,,
18.76686984,1,3738,21.42,2817,170,,,,,,
19.45234128,1,3962,21.81,2788,180,,,,,,
19.93635132,1,4272,22.87,2669,190,,,,,,
19.718449430000003,1,4459,22.99,2643,200,,,,,,
19.85733648,1,4669,22.88,2650,210,,,,,,
20.489934520000002,1,4956,23.7,2664,220,,,,,,
17.992972050000002,1,5155,22.52,2679,230,,,,,,
17.34741284,2,5378,22.39,2603,240,,,,,,
17.56517249,2,5540,22.32,2585,250,,,,,,
17.66854528,2,5740,22.24,2570,260,,,,,,
17.50795665,2,5925,21.87,2587,270,,,,,,
16.938517049999998,2,6130,21.68,2604,280,,,,,,
16.380781340000002,2,6346,20.74,2623,290,,,,,,
16.556554670000004,2,6565,21.06,2639,300,,,,,,
16.72010592,2,6780,21.11,2654,310,,,,,,
15.787369789999998,2,6956,20.0,2640,320,,,,,,
15.796460619999998,2,7179,20.24,2659,330,,,,,,
16.71165224,2,7388,20.1,2666,340,,,,,,
17.00305441,2,7593,20.53,2666,350,,,,,,
17.06000588,2,7837,20.97,2668,360,,,,,,
16.706345199999998,2,8002,20.77,2668,370,,,,,,
17.015631940000002,3,8237,21.07,2663,380,,,,,,
17.18821561,3,8445,20.99,2670,390,,,,,,
17.143982270000002,3,8667,21.02,2678,400,,,,,,
17.52839907,3,8924,21.44,2654,410,,,,,,
19.573086630000002,3,9247,22.91,2649,420,,,,,,
19.703045040000003,3,9456,22.77,2646,430,,,,,,
19.63015389,3,9702,23.14,2648,440,,,,,,
20.060342479999996,3,9949,23.56,2659,450,,,,,,
19.10908639,5,10110,22.73,1857,460,-5.2913289070129395,0.36269471049308777,-0.48292481899261475,0.0008858667904100823,0.9086581468582153,109
23.0972559,12,10613,26.11,818,470,-7.939160346984863,0.5489344596862793,-2.61244797706604,0.0008858667904100823,0.5839111804962158,612
28.317256639999997,19,11092,28.55,559,480,-11.151065826416016,0.5832377672195435,-4.0210652351379395,0.0008858667904100823,0.39184457063674927,1091
35.486849310000004,27,11563,31.18,419,490,-14.34683895111084,1.2804811000823975,-4.631073951721191,0.0008858667904100823,0.2763824760913849,1562
49.873543170000005,40,12350,36.83,303,500,-21.809415817260742,2.7062554359436035,-3.071828842163086,0.0008858667904100823,0.1711317002773285,2349
65.69966252,56,13214,42.9,233,510,-30.483657836914062,5.886425018310547,-2.7241411209106445,0.0008858667904100823,0.11406444758176804,3213
79.50594634,74,14056,48.09,189,520,-40.59185028076172,3.651698589324951,0.15500642359256744,0.0008858667904100823,0.1025891825556755,4055
96.03234315000002,90,14898,54.42,165,530,-45.60395431518555,6.440101623535156,-0.3734067678451538,0.0008858667904100823,0.09851565212011337,4897
113.41358086000002,107,15780,60.78,147,540,-54.192657470703125,4.744908332824707,0.5004809498786926,0.0008858667904100823,0.09729063510894775,5779
132.01672307999996,125,16715,67.66,132,550,-62.09255599975586,6.723269462585449,1.8884249925613403,0.0008858667904100823,0.10155469924211502,6714
153.65703650999998,143,17705,75.95,123,560,-68.24024963378906,12.775188446044922,-0.17742300033569336,0.0008858667904100823,0.09110499173402786,7704
