rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates
14.6284422,0,250,25.0,2600,10,,,,,,
14.804430050000002,0,483,24.15,2946,20,,,,,,
15.499930433333335,7,706,23.533333333333335,88,30,,,,,,
15.066089525,8,895,22.375,111,40,,,,,,
14.56145894,11,1085,21.7,98,50,,,,,,
15.741900833333334,11,1325,22.083333333333332,119,60,,,,,,
16.305796185714282,13,1578,22.542857142857144,112,70,,,,,,
16.1139807625,14,1783,22.2875,126,80,,,,,,
15.580515222222223,14,1972,21.91111111111111,139,90,,,,,,
15.258664750000003,16,2170,21.7,129,100,,,,,,
15.574107039999996,16,2391,21.41,141,110,,,,,,
15.75248415,19,2610,21.27,133,120,,,,,,
15.54855303,19,2824,21.18,144,130,,,,,,
16.45657107,22,3123,22.28,137,140,,,,,,
16.21099376,22,3281,21.96,144,150,,,,,,
15.797649759999999,22,3483,21.58,152,160,,,,,,
15.890655849999998,26,3706,21.28,140,170,,,,,,
16.1673362,26,3933,21.5,148,180,,,,,,
16.186514730000003,29,4084,21.12,137,190,,,,,,
16.688643869999996,29,4287,21.17,143,200,,,,,,
17.723354420000003,33,4586,21.95,138,210,,,,,,
18.433988470000003,33,4866,22.56,146,220,,,,,,
18.42057473,36,5044,22.2,137,230,,,,,,
19.10510965,36,5335,22.12,144,240,,,,,,
19.343489960000003,39,5521,22.4,138,250,,,,,,
20.89240182,40,5833,23.5,145,260,,,,,,
21.18958253,42,6103,23.97,142,270,,,,,,
21.02108166,42,6330,23.97,147,280,,,,,,
21.1196333,43,6499,24.15,151,290,,,,,,
20.79065389,45,6684,23.97,145,300,,,,,,
19.57923165,46,6874,22.88,149,310,,,,,,
18.888147239999995,48,7069,22.03,144,320,,,,,,
18.888025589999998,49,7303,22.59,148,330,,,,,,
17.367563819999997,51,7510,21.75,144,340,,,,,,
18.680542550000002,51,7748,22.27,149,350,,,,,,
17.37244226,55,8024,21.91,145,360,,,,,,
16.431585509999998,55,8196,20.93,148,370,,,,,,
16.592583370000003,55,8415,20.85,151,380,,,,,,
17.53431675,58,8666,21.67,148,390,,,,,,
17.04002457,58,8827,21.43,151,400,,,,,,
18.1625439,61,9088,22.14,147,410,,,,,,
20.020612659999998,61,9373,23.04,152,420,,,,,,
20.607953130000002,64,9627,23.24,148,430,,,,,,
21.40052809,64,9877,23.67,152,440,,,,,,
20.11478337,68,10041,22.93,145,450,-5.042416572570801,0.7431997060775757,-0.1739918291568756,0.0008858667904100823,0.9660160541534424,40
23.002225929999998,74,10407,23.83,139,460,-6.901601791381836,0.6763079166412354,-1.7603254318237305,0.0008858667904100823,0.6990945339202881,406
27.75559725,84,10830,26.34,127,470,-9.394676208496094,1.1976947784423828,-3.2022781372070312,0.0008858667904100823,0.48766088485717773,829
31.302255520000003,91,11135,27.2,121,480,-11.821817398071289,1.7941160202026367,-3.651124954223633,0.0008858667904100823,0.38386964797973633,1134
44.54914883000001,110,11896,32.3,107,490,-19.2431583404541,2.4784562587738037,-2.925546646118164,0.0008858667904100823,0.23610670864582062,1895
61.77457861,142,12759,39.32,89,500,-28.468894958496094,3.602036476135254,-4.43613338470459,0.0008858667904100823,0.15383616089820862,2758
79.95507576,178,13729,46.41,76,510,-37.614830017089844,6.295104026794434,-1.1331698894500732,0.0008858667904100823,0.10432764887809753,3728
103.04692044000001,243,15040,56.67,61,520,-51.925846099853516,7.092421531677246,0.49635446071624756,0.0008858667904100823,0.09813493490219116,5039
129.76366931,286,16375,67.48,57,530,-65.0150146484375,15.586705207824707,0.21625125408172607,0.0008858667904100823,0.1005031019449234,6374
159.51443058,350,17791,79.14,50,540,-78.66194152832031,10.857678413391113,0.24890196323394775,0.0008858667904100823,0.10527490824460983,7790
186.01502230000003,393,18995,89.54,48,550,-85.84392547607422,7.195804119110107,0.8944032788276672,0.0008858667904100823,0.11485093086957932,8994
201.94980774999996,423,19891,94.84,46,560,-95.07949829101562,21.512771606445312,-0.559744119644165,0.0008858667904100823,0.11437713354825974,9890
217.85726828999998,457,20838,100.08,45,570,-96.68540954589844,22.370811462402344,0.47306114435195923,0.0008858667904100823,0.10150289535522461,10837
237.90815682999997,500,22087,109.52,44,580,-107.30377960205078,11.21922492980957,0.03371070325374603,0.0008858667904100823,0.09703151136636734,12086
252.06669312999998,541,23391,114.95,43,590,-111.5689926147461,13.819550514221191,1.1906049251556396,0.0008858667904100823,0.11213752627372742,13390
262.16289344000006,599,24701,119.42,41,600,-119.10901641845703,20.593881607055664,0.07725226879119873,0.0008858667904100823,0.14355245232582092,14700
271.34023606000005,655,26045,123.16,39,610,-127.8722152709961,24.247224807739258,-0.9426290988922119,0.0008858667904100823,0.11952341347932816,16044
276.21296237999996,700,27373,123.33,39,620,-130.8419952392578,11.460321426391602,-0.695345401763916,0.0008858667904100823,0.10343282669782639,17372
282.72657886,762,28841,124.66,37,630,-133.61172485351562,11.517059326171875,0.8233537673950195,0.0008858667904100823,0.10154871642589569,18840
283.05442088999996,816,30189,123.98,36,640,-136.16680908203125,20.11312484741211,0.36181843280792236,0.0008858667904100823,0.10633689165115356,20188
285.7982783999999,855,31426,124.31,36,650,-137.61920166015625,22.016746520996094,-0.5296819806098938,0.0008858667904100823,0.09429734945297241,21425
298.28925274999995,920,32795,129.04,35,660,-133.46267700195312,8.29826831817627,0.6087344884872437,0.0008858667904100823,0.09105661511421204,22794
310.36079680999995,981,34374,135.36,35,670,-141.5625,24.61172866821289,-0.26855340600013733,0.0008858667904100823,0.1060585081577301,24373
318.16264027,1043,35810,137.23,34,680,-138.20079040527344,15.67029094696045,-0.3317049741744995,0.0008858667904100823,0.10007192939519882,25809
324.07912028,1099,37247,138.56,33,690,-135.70623779296875,58.75826644897461,0.3097337782382965,0.0008858667904100823,0.09946050494909286,27246
334.80764066999996,1162,38888,141.87,33,700,-142.0449981689453,21.20047378540039,-0.129760280251503,0.0008858667904100823,0.09275505691766739,28887
344.5675898,1239,40525,144.8,32,710,-143.7322998046875,8.766599655151367,-0.34692129492759705,0.0008858667904100823,0.09917033463716507,30524
350.3141676400001,1314,42127,147.54,32,720,-149.17892456054688,20.377653121948242,0.8115743398666382,0.0008858667904100823,0.08740779757499695,32126
353.40112561,1366,43707,148.66,31,730,-155.99819946289062,14.153499603271484,-0.6202829480171204,0.0008858667904100823,0.09115146845579147,33706
367.00513021000006,1425,45473,152.84,31,740,-152.81744384765625,12.337617874145508,0.6075387001037598,0.0008858667904100823,0.09493659436702728,35472
379.65245778999997,1484,46982,155.56,31,750,-155.40811157226562,10.954462051391602,-0.05812537670135498,0.0008858667904100823,0.0920911356806755,36981
400.1843154999999,1558,48815,160.2,31,760,-161.8311767578125,49.17716598510742,-0.30603888630867004,0.0008858667904100823,0.10851183533668518,38814
