time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,train/ent_coef_loss
586,55.36,990,84.36528,29380,50,0.000545559478116852,968,1.623438835144043,-12.846548080444336,0.59461510181427,-2.440716028213501
590,53.95,1000,83.767136,29880,50,0.000545559478116852,993,3.738893985748291,-13.14792251586914,0.5868799686431885,-2.4839887619018555
516,56.71,1010,90.02834,30460,59,0.000545559478116852,1022,1.2822728157043457,-13.270172119140625,0.5781324505805969,-2.445751667022705
522,56.45,1020,94.80064,31360,60,0.000545559478116852,1067,2.6767609119415283,-13.4144926071167,0.5648524761199951,-2.5902771949768066
525,57.32,1030,98.92149,31840,60,0.000545559478116852,1091,3.728337526321411,-13.270805358886719,0.5579005479812622,-2.6565423011779785
530,58.16,1040,103.062775,32540,61,0.000545559478116852,1126,2.573460817337036,-14.279470443725586,0.5479559302330017,-2.7330808639526367
535,58.01,1050,103.97206,33360,62,0.000545559478116852,1167,1.3548588752746582,-14.374885559082031,0.5365762710571289,-2.759688377380371
539,63.12,1060,114.81765,33960,62,0.000545559478116852,1197,1.4318313598632812,-15.197626113891602,0.5284416675567627,-2.842007875442505
546,65.38,1070,124.32104,35140,64,0.000545559478116852,1256,3.1814911365509033,-15.768049240112305,0.5128166079521179,-2.914022445678711
550,68.68,1080,134.10129,35700,64,0.000545559478116852,1284,1.171430230140686,-16.17522430419922,0.5056265592575073,-3.0078630447387695
558,72.99,1090,146.0841,36920,66,0.000545559478116852,1345,4.353176116943359,-16.900833129882812,0.49048006534576416,-3.1344590187072754
562,77.44,1100,157.79225,37680,67,0.000545559478116852,1383,1.0783381462097168,-18.07068634033203,0.4812883138656616,-3.067168712615967
567,79.01,1110,163.38632,38680,68,0.000545559478116852,1433,4.366345405578613,-18.135425567626953,0.4697210490703583,-3.2595419883728027
571,81.64,1120,170.36877,39400,68,0.000545559478116852,1469,4.002039432525635,-18.378665924072266,0.4614297151565552,-3.2797060012817383
524,84.54,1130,178.04906,40420,77,0.000545559478116852,1520,3.336048126220703,-18.5576114654541,0.45015448331832886,-3.204580307006836
528,85.89,1140,183.2167,41200,77,0.000545559478116852,1559,5.361142158508301,-18.948955535888672,0.4417843222618103,-3.4383373260498047
