time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
780,1580,21.15,11,17.08016219,17400,7.742636826811278e-05,369,1.8247594833374023,0.9718818664550781,-6.967113971710205,-0.14368081092834473
790,1561,20.61,11,16.25507755,17620,7.742636826811278e-05,380,1.4728026390075684,0.9710543751716614,-7.180191516876221,-0.14716720581054688
800,1548,21.49,11,17.10838763,17820,7.742636826811278e-05,390,1.997733473777771,0.9703029990196228,-7.198708534240723,-0.15199685096740723
810,1534,20.67,11,16.45278016,17980,7.742636826811278e-05,398,1.3823490142822266,0.9697021245956421,-7.229798316955566,-0.15495368838310242
820,1513,20.73,12,16.28646797,18220,7.742636826811278e-05,410,1.7223873138427734,0.968801736831665,-7.40004825592041,-0.16027209162712097
830,1493,22.04,12,18.503413700000003,18520,7.742636826811278e-05,425,1.036419153213501,0.967677116394043,-7.6834716796875,-0.1651057004928589
840,1484,21.68,12,18.026322870000005,18740,7.742636826811278e-05,436,1.7166893482208252,0.9668530821800232,-7.621603012084961,-0.1687929481267929
850,1473,21.48,12,18.249373470000002,18980,7.742636826811278e-05,448,1.7250490188598633,0.9659557938575745,-7.7583842277526855,-0.1746143251657486
860,1459,22.72,13,19.681068919999998,19260,7.742636826811278e-05,462,1.2118818759918213,0.9649099111557007,-7.862254619598389,-0.17975029349327087
870,1444,22.33,13,19.207594200000003,19520,7.742636826811278e-05,475,2.0121378898620605,0.9639394283294678,-8.197663307189941,-0.18623292446136475
880,1432,23.98,13,21.662778460000006,19840,7.742636826811278e-05,491,1.5092335939407349,0.9627477526664734,-8.13951301574707,-0.19028812646865845
890,1423,24.71,14,22.692216639999998,19980,7.742636826811278e-05,498,1.3290879726409912,0.9622273445129395,-8.365633010864258,-0.19479483366012573
900,1407,24.21,14,22.409078670000003,20320,7.742636826811278e-05,515,2.110051155090332,0.9609638452529907,-8.444190979003906,-0.19964662194252014
910,1392,25.84,14,24.85666893,20580,7.742636826811278e-05,528,1.2255192995071411,0.959999144077301,-8.627601623535156,-0.2042621374130249
920,1376,26.07,15,24.96865902,20940,7.742636826811278e-05,546,1.3699506521224976,0.9586670994758606,-8.758859634399414,-0.2132415771484375
930,1368,25.3,15,23.953676050000002,21200,7.742636826811278e-05,559,1.8034892082214355,0.9577057361602783,-9.096988677978516,-0.2176264226436615
940,1361,27.0,15,26.525041230000003,21480,7.742636826811278e-05,573,1.6514836549758911,0.9566718339920044,-9.094286918640137,-0.22089552879333496
950,1352,27.84,16,27.590182829999993,21800,7.742636826811278e-05,589,1.6146395206451416,0.9554934501647949,-9.169599533081055,-0.2286541759967804
960,1342,28.67,16,30.111673030000006,22120,7.742636826811278e-05,605,1.5728495121002197,0.9543181657791138,-9.462550163269043,-0.23368048667907715
970,1334,28.46,16,30.09809308,22380,7.742636826811278e-05,618,1.3284976482391357,0.9533634781837463,-9.729177474975586,-0.23950210213661194
980,1324,28.75,17,29.869793720000008,22680,7.742636826811278e-05,633,2.691232681274414,0.9522644877433777,-9.825000762939453,-0.24553489685058594
990,1309,29.52,17,30.792084839999998,23240,7.742636826811278e-05,661,1.5760836601257324,0.9502207040786743,-10.022533416748047,-0.2560248374938965
1000,1300,31.43,18,33.847500169999996,23480,7.742636826811278e-05,673,1.7152955532073975,0.9493447542190552,-10.456927299499512,-0.26069408655166626
1010,1282,31.93,18,35.51813637,23920,7.742636826811278e-05,695,3.3000669479370117,0.9477418661117554,-10.618765830993652,-0.2648774981498718
1020,1273,33.55,19,37.76965533,24260,7.742636826811278e-05,712,2.246562957763672,0.9465097784996033,-10.863142967224121,-0.27682119607925415
1030,1265,33.88,19,37.97498913,24500,7.742636826811278e-05,724,3.150757074356079,0.9456392526626587,-10.693451881408691,-0.28268808126449585
1040,1258,33.1,19,37.42989085,24900,7.742636826811278e-05,744,2.3374876976013184,0.9441890120506287,-10.941407203674316,-0.2836782932281494
1050,1249,33.6,20,38.23338389,25340,7.742636826811278e-05,766,1.5503299236297607,0.9426050186157227,-11.213547706604004,-0.2905902862548828
1060,1243,33.47,20,37.27167103,25720,7.742636826811278e-05,785,2.165238380432129,0.9412387013435364,-11.219749450683594,-0.2964702844619751
1070,1234,37.43,21,42.350512619999996,26220,7.742636826811278e-05,810,1.5874887704849243,0.9394527673721313,-11.678598403930664,-0.3078959882259369
1080,1230,37.14,21,42.30952078999999,26480,7.742636826811278e-05,823,2.281888961791992,0.9385251998901367,-11.832704544067383,-0.3101673126220703
1090,1217,38.38,22,44.593958140000005,26900,7.742636826811278e-05,844,5.234723091125488,0.9370302557945251,-11.750675201416016,-0.3156673312187195
1100,1212,38.51,22,43.92977779000001,27180,7.742636826811278e-05,858,1.8025376796722412,0.936037003993988,-12.17844009399414,-0.324621319770813
1110,1207,37.01,22,40.45877193,27600,7.742636826811278e-05,879,2.5689854621887207,0.9345487952232361,-12.43097972869873,-0.3298353850841522
1120,1200,36.88,23,40.82828660999999,27980,7.742636826811278e-05,898,2.3532791137695312,0.9332061409950256,-12.249738693237305,-0.3409951329231262
1130,1193,36.71,23,40.3832434,28580,7.742636826811278e-05,928,3.2087717056274414,0.9310961365699768,-12.96626091003418,-0.34462836384773254
1140,1187,40.48,24,45.15135935,28940,7.742636826811278e-05,946,2.2532033920288086,0.9298325777053833,-13.084915161132812,-0.3525657057762146
1150,1180,40.92,24,45.54125269,29400,7.742636826811278e-05,969,2.2776200771331787,0.9282259345054626,-13.48690128326416,-0.3591083288192749
1160,1178,40.67,25,46.99271739000001,29660,7.742636826811278e-05,982,3.0209908485412598,0.9273185729980469,-13.650697708129883,-0.3577348589897156
1170,1173,39.37,25,45.64218468999999,30060,7.742636826811278e-05,1002,2.6770100593566895,0.9259272813796997,-13.520123481750488,-0.3737514913082123
1180,1169,39.98,26,46.643201930000004,30440,7.742636826811278e-05,1021,3.305955410003662,0.9246087074279785,-13.790127754211426,-0.38012710213661194
1190,1165,39.6,26,47.463893769999984,30940,7.742636826811278e-05,1046,3.812264919281006,0.9228766560554504,-13.914785385131836,-0.38893187046051025
1200,1162,39.76,27,49.27920605,31440,7.742636826811278e-05,1071,4.71190071105957,0.9211432933807373,-14.462528228759766,-0.3871084451675415
