time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
280,0,11.5,2169,7.801852,10,,,,,,
520,0,14.1,1909,9.340965,20,,,,,,
820,0,15.366666666666667,2299,11.210116,30,,,,,,
1120,0,17.925,2367,12.651594,40,,,,,,
1300,0,19.42,2500,15.065891,50,,,,,,
1540,0,19.816666666666666,2581,15.573298,60,,,,,,
1700,0,21.414285714285715,2605,18.677788,70,,,,,,
2100,0,21.790123456790123,2789,18.811134,80,,,,,,
2260,0,22.41111111111111,2838,19.460268,90,,,,,,
2440,0,22.27,2893,18.809383,100,,,,,,
2700,0,23.22,2964,19.631851,110,,,,,,
2900,0,23.59,3015,19.85408,120,,,,,,
3220,1,24.12,3105,20.098417,130,,,,,,
3420,1,24.27,3144,20.468508,140,,,,,,
3660,1,24.19,3217,20.532576,150,,,,,,
3880,1,24.22,3284,20.344275,160,,,,,,
4060,1,22.86,3324,17.830782,170,,,,,,
4260,1,22.77,3331,18.202347,180,,,,,,
4480,1,22.38,3360,18.277637,190,,,,,,
4660,1,22.31,3368,18.740263,200,,,,,,
4900,1,21.93,3379,18.254784,210,,,,,,
5060,1,21.93,3379,18.492302,220,,,,,,
5320,1,21.43,3406,17.889595,230,,,,,,
5560,1,20.83,3411,17.445204,240,,,,,,
5780,1,20.49,3411,16.049871,250,,,,,,
6040,1,20.77,3423,16.246618,260,,,,,,
6200,1,21.13,3410,16.068697,270,,,,,,
6420,1,21.23,3382,15.671247,280,,,,,,
6700,1,21.6,3350,16.044046,290,,,,,,
6880,2,21.59,3343,15.953587,300,,,,,,
7100,2,22.4,3341,16.873198,310,,,,,,
7300,2,22.39,3347,16.839903,320,,,,,,
7540,2,22.25,3377,16.795197,330,,,,,,
7820,2,22.62,3412,17.313238,340,,,,,,
7980,2,22.45,3421,17.739002,350,,,,,,
8140,2,22.62,3433,18.567947,360,,,,,,
8420,2,22.77,3458,19.433863,370,,,,,,
8640,2,22.48,3481,18.808083,380,,,,,,
8800,2,21.58,3492,17.27288,390,,,,,,
9020,2,21.49,3510,17.397615,400,,,,,,
9280,2,21.14,3525,16.995777,410,,,,,,
9420,2,21.14,3530,16.627377,420,,,,,,
9640,2,21.54,3542,17.58795,430,,,,,,
9920,2,21.36,3561,17.17296,440,,,,,,
10060,25,21.33,388,17.162352,450,0.997847855091095,0.002154434690031882,-0.010686555877327919,-3.2360775470733643,4.9835357666015625,2
10280,26,21.24,391,16.546228,460,0.9744563102722168,0.002154434690031882,-0.12987452745437622,-4.237361907958984,0.9950464367866516,13
10520,26,20.81,396,15.873058,470,0.9495342373847961,0.002154434690031882,-0.26210853457450867,-4.994022369384766,0.5330594182014465,25
10740,26,20.51,400,15.737811,480,0.9272284507751465,0.002154434690031882,-0.38041165471076965,-5.026525974273682,0.2410556674003601,36
11040,27,20.85,405,16.068113,490,0.8976531028747559,0.002154434690031882,-0.5473923087120056,-4.9651079177856445,0.3034623861312866,51
11280,27,21.82,409,17.072062,500,0.8746703267097473,0.002154434690031882,-0.6759949922561646,-4.971373558044434,0.35570403933525085,63
11500,27,21.85,413,16.949896,510,0.8541221618652344,0.002154434690031882,-0.7889310121536255,-4.897976398468018,0.33959633111953735,74
11720,28,21.95,417,17.059568,520,0.8340857028961182,0.002154434690031882,-0.9131232500076294,-5.066941261291504,0.24135535955429077,85
11860,28,21.72,420,16.880919,530,0.8215751647949219,0.002154434690031882,-0.9894518852233887,-5.165023326873779,0.2901855409145355,92
12280,28,22.44,427,17.854507,540,0.7852067947387695,0.002154434690031882,-1.2185192108154297,-5.17424201965332,0.18605384230613708,113
12480,28,22.95,431,18.380455,550,0.7684364318847656,0.002154434690031882,-1.3243486881256104,-5.042397499084473,0.2720634341239929,123
12700,29,24.1,434,20.326921,560,0.7504217028617859,0.002154434690031882,-1.4513381719589233,-5.043464183807373,0.2879846692085266,134
12960,29,24.5,439,20.803703,570,0.7296879291534424,0.002154434690031882,-1.5886304378509521,-5.099778175354004,0.3435644507408142,147
13240,29,24.52,443,21.123735,580,0.7080110311508179,0.002154434690031882,-1.7411829233169556,-5.115323066711426,0.29572156071662903,161
13660,30,24.91,448,21.684446,590,0.6767002940177917,0.002154434690031882,-1.9565465450286865,-5.236725807189941,0.34050172567367554,182
13940,30,25.98,453,23.533735,600,0.6566123366355896,0.002154434690031882,-2.1022605895996094,-5.334242343902588,0.16490203142166138,196
14220,31,27.07,457,24.846481,610,0.63714200258255,0.002154434690031882,-2.2652206420898438,-5.237496376037598,0.3995094895362854,210
14480,31,28.28,462,27.966589,620,0.6195880174636841,0.002154434690031882,-2.3875718116760254,-5.250971794128418,0.34012457728385925,223
15000,31,28.28,469,27.492136,630,0.5859836339950562,0.002154434690031882,-2.669240951538086,-5.257433891296387,0.25119680166244507,249
15460,32,30.25,474,31.477411,640,0.5578140616416931,0.002154434690031882,-2.862516403198242,-5.443822860717773,0.43443572521209717,272
15860,32,32.14,481,35.861225,650,0.534503698348999,0.002154434690031882,-3.1288344860076904,-5.48622465133667,0.4153280258178711,292
16320,33,33.7,487,39.165512,660,0.5089433789253235,0.002154434690031882,-3.390817165374756,-5.612788200378418,0.22096779942512512,315
16560,33,35.04,491,41.973656,670,0.49609312415122986,0.002154434690031882,-3.400580406188965,-5.452056407928467,0.3265245258808136,327
17140,34,36.28,499,44.94455,680,0.4664973318576813,0.002154434690031882,-3.8260276317596436,-5.820348739624023,0.2756504416465759,356
17560,34,38.77,504,50.32167,690,0.44618743658065796,0.002154434690031882,-3.9664225578308105,-5.741289138793945,0.3743109107017517,377
18140,35,39.09,511,51.32117,700,0.4197298586368561,0.002154434690031882,-4.328326225280762,-6.157907485961914,0.3655753433704376,406
18580,35,41.45,516,55.001167,710,0.40074700117111206,0.002154434690031882,-4.400219917297363,-6.229866027832031,0.5655670166015625,428
19140,36,43.48,523,59.26233,720,0.37802186608314514,0.002154434690031882,-4.661631107330322,-6.53214693069458,0.1745101809501648,456
19560,37,46.54,527,65.11486,730,0.36195841431617737,0.002154434690031882,-4.971823215484619,-6.757347583770752,0.5064377784729004,477
20180,40,46.23,494,66.44538,740,0.33962246775627136,0.002154434690031882,-5.148042678833008,-6.8188557624816895,0.9176579713821411,508
20980,41,48.58,504,69.48894,750,0.31301775574684143,0.002154434690031882,-5.025302410125732,-6.74078369140625,1.0208275318145752,548
21380,42,50.55,508,72.82936,760,0.3007201850414276,0.002154434690031882,-4.9697394371032715,-7.318817138671875,0.4691154360771179,568
21840,42,51.36,513,75.22868,770,0.2872808575630188,0.002154434690031882,-5.490518569946289,-7.2728424072265625,0.4815230965614319,591
22220,43,52.68,515,78.47791,780,0.27667516469955444,0.002154434690031882,-5.716545581817627,-7.341709136962891,0.2225896418094635,610
22780,43,51.95,520,78.740364,790,0.261919230222702,0.002154434690031882,-5.936529636383057,-7.776718616485596,0.43731802701950073,638
23320,44,52.4,526,81.58923,800,0.2486368715763092,0.002154434690031882,-5.5989179611206055,-7.974069595336914,0.23083865642547607,665
23480,44,51.29,527,82.7399,810,0.24496056139469147,0.002154434690031882,-6.553650856018066,-7.729770183563232,1.2849637269973755,673
24320,45,50.59,534,81.876526,820,0.22602622210979462,0.002154434690031882,-6.195256233215332,-7.947549819946289,0.5456749200820923,715
24860,46,49.08,539,81.33015,830,0.21492135524749756,0.002154434690031882,-5.974581241607666,-8.330446243286133,0.506146252155304,742
25200,46,51.36,542,87.23044,840,0.20829316973686218,0.002154434690031882,-6.439213752746582,-8.736618041992188,0.33137279748916626,759
26460,47,52.39,551,94.32576,850,0.1859949678182602,0.002154434690031882,-6.6202592849731445,-9.338543891906738,0.5444746017456055,822
26920,48,53.58,553,100.87305,860,0.17865465581417084,0.002154434690031882,-6.073476314544678,-9.612894058227539,0.7901915311813354,845
27840,49,57.61,559,111.88078,870,0.1650761067867279,0.002154434690031882,-6.110404014587402,-10.107068061828613,1.1898962259292603,891
28620,50,61.13,563,121.67094,880,0.15478089451789856,0.002154434690031882,-6.0062665939331055,-10.3877534866333,0.4610327482223511,930
29540,51,64.84,570,131.70401,890,0.14341047406196594,0.002154434690031882,-5.562464714050293,-10.367680549621582,1.2408473491668701,976
30260,59,68.56,511,142.01027,900,0.13554461300373077,0.002154434690031882,-6.377181529998779,-10.759016990661621,2.0503220558166504,1012
31140,60,72.58,518,152.13692,910,0.1266477108001709,0.002154434690031882,-6.380587100982666,-11.138168334960938,1.4025061130523682,1056
31840,60,76.16,523,162.27228,920,0.12032163143157959,0.002154434690031882,-6.211302757263184,-11.377857208251953,0.5413295030593872,1091
32820,61,80.31,530,172.7607,930,0.11158984899520874,0.002154434690031882,-6.193861961364746,-12.07370376586914,1.6593997478485107,1140
33640,62,82.77,536,178.23843,940,0.10529280453920364,0.002154434690031882,-7.027847766876221,-12.731572151184082,1.5433690547943115,1181
34540,63,84.06,541,181.84927,950,0.09889759123325348,0.002154434690031882,-6.119122505187988,-13.548652648925781,2.6007652282714844,1226
35360,64,84.07,545,182.12286,960,0.09349381923675537,0.002154434690031882,-4.68748664855957,-13.883068084716797,2.615447998046875,1267
36300,65,84.11,552,182.1764,970,0.08823273330926895,0.002154434690031882,-6.82344388961792,-13.926553726196289,0.7055475115776062,1314
37020,66,84.34,556,182.13014,980,0.08425474911928177,0.002154434690031882,-6.937189102172852,-13.91546630859375,1.6881239414215088,1350
37980,67,84.33,562,181.32736,990,0.07929635792970657,0.002154434690031882,-6.356626987457275,-15.033880233764648,2.103740692138672,1398
38660,68,84.63,564,180.94539,1000,0.07628356665372849,0.002154434690031882,-5.18437385559082,-15.378745079040527,0.9648846387863159,1432
39640,69,84.66,568,180.70647,1010,0.07154456526041031,0.002154434690031882,-4.475240707397461,-16.309951782226562,2.4327292442321777,1481
40380,76,85.11,524,180.61543,1020,0.06822027266025543,0.002154434690031882,-5.837338447570801,-15.961021423339844,1.5041027069091797,1518
41380,78,85.23,530,179.83522,1030,0.06432250142097473,0.002154434690031882,-6.0119709968566895,-16.98295783996582,2.037302017211914,1568
42200,78,85.4,534,180.52899,1040,0.06129080429673195,0.002154434690031882,-5.948917388916016,-17.141761779785156,2.4162325859069824,1609
43100,79,85.4,539,179.6095,1050,0.05785716697573662,0.002154434690031882,-4.566964149475098,-18.64008331298828,2.4609198570251465,1654
43860,80,85.53,543,179.20624,1060,0.05553705245256424,0.002154434690031882,-3.0705184936523438,-17.543453216552734,1.3852245807647705,1692
44900,81,85.44,549,179.01772,1070,0.052477434277534485,0.002154434690031882,-4.727781295776367,-18.56108856201172,1.5602378845214844,1744
45620,82,86.03,551,180.0834,1080,0.05041923001408577,0.002154434690031882,-3.1710071563720703,-18.43492889404297,1.4780962467193604,1780
46620,83,86.13,555,180.04024,1090,0.04820440709590912,0.002154434690031882,-6.536934852600098,-19.522546768188477,1.3091845512390137,1830
47340,84,86.17,559,180.0279,1100,0.045865822583436966,0.002154434690031882,-1.845244288444519,-18.582122802734375,2.4584708213806152,1866
