rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss
11.5949717,1367,19.8,198,10,0,,,,,,
11.29105505,1503,17.8,356,20,0,,,,,,
12.570959133333334,33,19.066666666666666,572,30,17,,,,,,
15.501957249999998,47,20.8,832,40,17,,,,,,
15.32669274,44,20.34,1017,50,22,,,,,,
17.8290944,56,21.233333333333334,1274,60,22,,,,,,
17.95478137142857,65,21.414285714285715,1499,70,22,,,,,,
20.3158501,65,22.8125,1825,80,28,,,,,,
19.903749011111113,62,22.866666666666667,2058,90,33,,,,,,
19.8766677,68,22.84,2284,100,33,,,,,,
19.77141993,73,22.5,2448,110,33,,,,,,
20.04538041,69,23.0,2656,120,38,,,,,,
20.159466850000005,75,23.28,2900,130,38,,,,,,
20.129894920000005,71,23.12,3144,140,43,,,,,,
20.168633140000004,76,23.49,3366,150,43,,,,,,
19.59677239,71,23.2,3594,160,49,,,,,,
18.93619295,75,22.88,3787,170,50,,,,,,
16.741018280000002,79,21.58,3983,180,50,,,,,,
16.65674971,74,21.26,4184,190,56,,,,,,
16.10597494,77,20.81,4365,200,56,,,,,,
16.34377551,73,21.12,4560,210,62,,,,,,
17.23700436,76,21.4,4796,220,62,,,,,,
17.316671550000002,73,21.19,5019,230,68,,,,,,
17.82259141,77,21.51,5295,240,68,,,,,,
18.69471078,74,22.04,5570,250,74,,,,,,
18.306686810000002,78,22.61,5855,260,74,,,,,,
18.36501285,74,22.64,6051,270,80,,,,,,
18.70416095,77,22.95,6278,280,80,,,,,,
18.853752519999997,80,22.96,6480,290,80,,,,,,
18.776967159999998,76,23.49,6714,300,87,,,,,,
18.7106714,79,23.51,6911,310,87,,,,,,
18.724661140000002,76,23.5,7146,320,93,,,,,,
19.197373980000002,79,23.92,7411,330,93,,,,,,
17.59522265,76,22.94,7589,340,99,,,,,,
18.4428923,78,22.75,7845,350,99,,,,,,
18.398710169999998,76,22.29,8084,360,105,,,,,,
19.03439563,78,22.16,8267,370,105,,,,,,
20.54351588,76,22.9,8568,380,111,,,,,,
21.61737912,79,23.53,8833,390,111,,,,,,
22.19902341,76,23.52,9066,400,117,,,,,,
23.648674739999997,79,24.05,9316,410,117,,,,,,
22.693009439999997,80,23.48,9494,420,117,,,,,,
23.761268700000006,79,23.86,9797,430,123,,,,,,
23.89158817,76,24.19,10008,440,130,7,0.002335721469090121,-4.820616722106934,0.9860769510269165,1.973167061805725,-0.0702638030052185
25.990749989999998,75,26.18,10463,450,138,462,0.002335721469090121,-5.827930450439453,0.34448733925819397,0.1758672297000885,-5.1404194831848145
31.48030316,73,28.56,10940,460,148,939,0.002335721469090121,-8.628656387329102,0.13791532814502716,0.4123274087905884,-6.020998001098633
48.00237422,66,35.19,11786,470,177,1785,0.002335721469090121,-15.333346366882324,0.06123379245400429,1.8266468048095703,-1.5550446510314941
63.482307529999986,60,40.52,12620,480,207,2619,0.002335721469090121,-25.476757049560547,0.060811907052993774,2.868260383605957,2.178223133087158
86.77086780999998,56,48.52,13685,490,241,3684,0.002335721469090121,-35.63843536376953,0.08240014314651489,2.9884510040283203,-0.7116336822509766
118.31909861000003,52,58.53,14919,500,285,4918,0.002335721469090121,-50.065956115722656,0.08591150492429733,3.8444430828094482,0.022178083658218384
145.51479819000002,48,68.38,16154,510,336,6153,0.002335721469090121,-64.84378051757812,0.0963035523891449,9.735069274902344,0.3267329931259155
165.99067917,45,75.67,17061,520,373,7060,0.002335721469090121,-78.19413757324219,0.09664162248373032,4.729287147521973,0.2543419301509857
194.74501858,44,85.62,18359,530,416,8358,0.002335721469090121,-89.73168182373047,0.10094470530748367,5.412111282348633,-0.8116432428359985
232.99424329,41,98.99,19907,540,481,9906,0.002335721469090121,-104.42792510986328,0.09117729216814041,20.1141357421875,-0.4076167047023773
269.35895915,39,108.5,21313,550,538,11312,0.002335721469090121,-111.99148559570312,0.09091290086507797,9.242867469787598,-0.37661129236221313
299.81214437,37,116.68,22608,560,599,12607,0.002335721469090121,-122.81953430175781,0.10684838891029358,11.021859169006348,-0.7372457981109619
325.51092568,36,122.96,24082,570,664,14081,0.002335721469090121,-132.78695678710938,0.09252462536096573,9.006095886230469,-0.3712257742881775
351.82228969999994,35,130.47,25667,580,730,15666,0.002335721469090121,-141.54989624023438,0.08840364217758179,22.364351272583008,-0.3637378215789795
384.1549903299999,33,139.96,27681,590,816,17680,0.002335721469090121,-156.75799560546875,0.0887368693947792,24.582984924316406,-0.20286183059215546
405.4667019,33,145.91,29510,600,889,19509,0.002335721469090121,-160.09945678710938,0.08618432283401489,36.619956970214844,1.264655351638794
423.7482588,32,149.55,31109,610,951,21108,0.002335721469090121,-169.41079711914062,0.08784481883049011,12.95451545715332,-0.07762666046619415
449.9753901999999,32,155.99,32660,620,1008,22659,0.002335721469090121,-178.19613647460938,0.0989922359585762,18.6380615234375,-1.5229694843292236
460.82039368,31,157.25,34084,630,1067,24083,0.002335721469090121,-178.1159210205078,0.10043400526046753,12.482648849487305,0.16505511105060577
471.60756943,31,158.26,35733,640,1138,25732,0.002335721469090121,-172.95985412597656,0.09653142839670181,24.613059997558594,1.3519560098648071
480.8147765899999,30,161.5,37463,650,1209,27462,0.002335721469090121,-183.67507934570312,0.08643073588609695,25.122154235839844,0.7817752361297607
493.84021325000003,30,165.46,39154,660,1296,29153,0.002335721469090121,-191.98374938964844,0.0988936573266983,14.091803550720215,-0.9125798344612122
521.1726562599999,29,173.17,41399,670,1398,31398,0.002335721469090121,-190.56573486328125,0.09011506289243698,17.999847412109375,-0.1398412436246872
539.5960421000001,28,179.91,43658,680,1537,33657,0.002335721469090121,-194.75564575195312,0.09172573685646057,25.058025360107422,0.6439460515975952
535.1149075400001,28,178.16,45497,690,1608,35496,0.002335721469090121,-193.3260040283203,0.08706466108560562,19.58123016357422,-0.43066293001174927
547.32218795,27,180.98,47608,700,1722,37607,0.002335721469090121,-191.72772216796875,0.08186161518096924,10.794622421264648,0.7703569531440735
557.58455569,26,185.39,49648,710,1838,39647,0.002335721469090121,-195.5762939453125,0.11122247576713562,53.25007247924805,-0.39662325382232666
