rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates
35.45,16860,700,30,548,42.609364,0.0018329807108324356,0.37901487946510315,0.5358766913414001,-3.1109206676483154,-6.0517144203186035,342
37.87,17360,710,31,554,46.244957,0.0018329807108324356,0.37969404458999634,0.5121477842330933,-3.295947313308716,-6.387207984924316,367
39.54,17860,720,31,560,49.843422,0.0018329807108324356,0.5739216208457947,0.48955991864204407,-3.46150803565979,-6.55121374130249,392
41.56,18340,730,32,566,52.40423,0.0018329807108324356,0.626053512096405,0.4689877927303314,-3.6697373390197754,-6.189909934997559,416
44.06,19080,740,33,575,57.90852,0.0018329807108324356,0.3273630440235138,0.43905919790267944,-3.9515886306762695,-6.88433837890625,453
45.8,19460,750,33,579,61.87542,0.0018329807108324356,0.30250996351242065,0.4244854748249054,-3.9458277225494385,-6.714827537536621,472
49.23,20060,760,37,540,65.310005,0.0018329807108324356,0.18853074312210083,0.40254542231559753,-4.284100532531738,-6.717350482940674,502
50.55,20680,770,37,549,66.69688,0.0018329807108324356,0.8062722682952881,0.38116544485092163,-4.518357753753662,-7.19558572769165,533
52.05,21120,780,38,554,69.60132,0.0018329807108324356,0.8247989416122437,0.36677855253219604,-4.560194969177246,-6.831213474273682,555
51.38,21640,790,38,561,69.07135,0.0018329807108324356,0.937049388885498,0.350579172372818,-4.671904563903809,-7.551383972167969,581
52.51,22040,800,39,564,70.56385,0.0018329807108324356,0.640343189239502,0.3387237787246704,-5.091731548309326,-7.821865081787109,601
52.5,22560,810,39,569,72.94372,0.0018329807108324356,0.3553784489631653,0.32384300231933594,-5.2068657875061035,-7.263105392456055,627
51.68,23240,820,40,575,72.67647,0.0018329807108324356,0.8309077620506287,0.3056172728538513,-5.053432464599609,-7.883365631103516,661
53.87,23440,830,40,576,77.89896,0.0018329807108324356,0.6714266538619995,0.30056676268577576,-5.650125980377197,-7.567853927612305,671
54.19,24680,840,42,584,80.136665,0.0018329807108324356,0.5490880012512207,0.27106860280036926,-5.511754989624023,-8.515044212341309,733
56.18,25140,850,42,588,87.841576,0.0018329807108324356,0.35333144664764404,0.26112601161003113,-5.8520636558532715,-8.891921997070312,756
57.68,26560,860,44,593,97.7582,0.0018329807108324356,1.8125321865081787,0.23297832906246185,-5.416661262512207,-9.504106521606445,827
61.64,26860,870,45,593,110.65737,0.0018329807108324356,0.9294171333312988,0.2276087999343872,-5.483205318450928,-9.151115417480469,842
64.68,27760,880,46,597,120.95092,0.0018329807108324356,0.9644360542297363,0.2123880535364151,-6.252385139465332,-9.922224044799805,887
67.93,28600,890,47,602,131.86885,0.0018329807108324356,1.8780360221862793,0.19950072467327118,-6.184874057769775,-10.406668663024902,929
71.52,29420,900,48,603,144.7991,0.0018329807108324356,0.9788963794708252,0.1879405975341797,-6.1556549072265625,-10.843064308166504,970
75.52,30260,910,58,521,155.75587,0.0018329807108324356,1.7798991203308105,0.17707952857017517,-7.054069519042969,-11.524940490722656,1012
79.29,31060,920,58,527,166.77582,0.0018329807108324356,1.7999446392059326,0.16739606857299805,-5.760040283203125,-11.671028137207031,1052
81.28,31980,930,59,534,174.90694,0.0018329807108324356,2.3428988456726074,0.15716229379177094,-5.661688327789307,-11.505025863647461,1098
83.51,32780,940,60,540,182.30621,0.0018329807108324356,0.9602832198143005,0.14892356097698212,-6.154453277587891,-12.692344665527344,1138
84.53,33600,950,61,546,184.82289,0.0018329807108324356,0.36973607540130615,0.14112001657485962,-5.385015964508057,-13.472536087036133,1179
84.31,34460,960,62,551,184.75287,0.0018329807108324356,0.7430747747421265,0.1334923356771469,-6.198949813842773,-14.053665161132812,1222
83.93,35260,970,63,556,183.99756,0.0018329807108324356,0.53477942943573,0.12693065404891968,-5.8622589111328125,-13.411386489868164,1262
83.83,36080,980,64,561,183.42976,0.0018329807108324356,2.416802406311035,0.12056189030408859,-5.262852191925049,-14.334644317626953,1303
83.66,36940,990,65,565,182.30196,0.0018329807108324356,1.451294183731079,0.11442778259515762,-5.201022148132324,-14.319683074951172,1346
83.48,37760,1000,66,567,180.96513,0.0018329807108324356,2.069746732711792,0.10898151248693466,-3.76745343208313,-14.598362922668457,1387
83.63,38620,1010,67,571,180.20766,0.0018329807108324356,1.853886604309082,0.10360497236251831,-6.749044895172119,-15.826055526733398,1430
83.63,39440,1020,68,575,179.0997,0.0018329807108324356,2.161546468734741,0.09878711402416229,-6.292032241821289,-16.220699310302734,1471
83.48,40280,1030,76,524,178.14932,0.0018329807108324356,1.3782292604446411,0.09415467828512192,-5.421667098999023,-16.809494018554688,1513
