rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates
80.57,28880,850,30,946,151.11937,0.0018329807108324356,0.831397294998169,0.1927367001771927,-5.534294128417969,-10.86253547668457,943
82.51,29820,860,31,944,160.46565,0.0018329807108324356,2.362388849258423,0.17980775237083435,-6.2116193771362305,-10.851618766784668,990
81.61,30640,870,32,945,163.73018,0.0018329807108324356,1.1301963329315186,0.16962115466594696,-7.25993537902832,-10.773805618286133,1031
84.77,31580,880,33,943,173.54225,0.0018329807108324356,0.6496057510375977,0.158493310213089,-5.547299861907959,-12.159181594848633,1078
86.88,32360,890,34,943,180.85046,0.0018329807108324356,0.43899521231651306,0.1503499150276184,-7.253823280334473,-12.045304298400879,1117
88.78,33320,900,35,943,188.2052,0.0018329807108324356,1.0216426849365234,0.14078375697135925,-6.489157676696777,-13.332725524902344,1165
89.67,34040,910,36,941,190.98091,0.0018329807108324356,2.7658300399780273,0.13400717079639435,-6.5676045417785645,-13.189854621887207,1201
88.57,34960,920,37,941,189.5032,0.0018329807108324356,1.077422022819519,0.12615782022476196,-4.551242828369141,-12.893760681152344,1247
86.55,35740,930,38,939,186.89291,0.0018329807108324356,1.5539697408676147,0.11983920633792877,-5.957143783569336,-13.490049362182617,1286
86.29,36660,940,38,940,185.97726,0.0018329807108324356,1.033346176147461,0.11309187859296799,-6.722046852111816,-14.379436492919922,1332
85.8,37500,950,39,938,184.80562,0.0018329807108324356,1.313050627708435,0.10727570950984955,-7.363359451293945,-14.473771095275879,1374
85.63,38420,960,40,938,183.65291,0.0018329807108324356,0.45837897062301636,0.10134226083755493,-5.942599773406982,-15.499604225158691,1420
85.3,39200,970,41,937,182.64139,0.0018329807108324356,2.8008952140808105,0.09668273478746414,-7.280926704406738,-15.97724723815918,1459
85.11,40120,980,42,937,181.43965,0.0018329807108324356,2.301652669906616,0.09124539792537689,-3.8216512203216553,-15.480552673339844,1505
85.06,40980,990,43,936,181.36118,0.0018329807108324356,3.1308422088623047,0.08674120903015137,-6.527329444885254,-16.48212242126465,1548
85.39,41920,1000,44,936,181.34366,0.0018329807108324356,1.1708416938781738,0.08235497027635574,-7.367684841156006,-17.16967010498047,1595
85.88,42640,1010,45,935,182.4498,0.0018329807108324356,1.9372386932373047,0.07894733548164368,-6.753443241119385,-17.55904769897461,1631
85.97,43600,1020,46,935,182.12973,0.0018329807108324356,2.0028738975524902,0.07481180131435394,-6.164538860321045,-17.999671936035156,1679
86.03,44360,1030,47,934,181.80914,0.0018329807108324356,2.5814385414123535,0.07186927646398544,-5.90607213973999,-18.132104873657227,1717
86.06,45300,1040,48,935,181.50014,0.0018329807108324356,2.1231353282928467,0.06796815991401672,-5.718882083892822,-18.901782989501953,1764
86.02,45960,1050,49,935,181.27812,0.0018329807108324356,2.0005245208740234,0.0654749870300293,-2.932135581970215,-19.395166397094727,1797
86.37,47080,1060,50,935,181.68765,0.0018329807108324356,2.4275927543640137,0.06193424388766289,-3.995689868927002,-19.30985450744629,1853
86.99,47860,1070,51,935,183.05429,0.0018329807108324356,3.345186948776245,0.05966085568070412,-3.7829341888427734,-20.048805236816406,1892
87.79,48940,1080,52,933,184.68716,0.0018329807108324356,1.3277080059051514,0.05643961951136589,-6.7876482009887695,-20.612411499023438,1946
88.12,49560,1090,53,933,184.98886,0.0018329807108324356,2.449315071105957,0.05444695055484772,-5.417840957641602,-20.17643928527832,1977
