time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
15140,21.37,680,16.7577,560,27,-4.075374126434326,3.190436363220215,256,-0.027904843911528587,2.1544346900318823e-05,0.9944981932640076
15380,21.85,690,17.590046,564,27,-4.110466480255127,3.316483974456787,268,-0.029206302016973495,2.1544346900318823e-05,0.9942402839660645
15580,22.26,700,17.44044,567,27,-4.152350425720215,3.4732961654663086,278,-0.030134297907352448,2.1544346900318823e-05,0.9940252900123596
15820,22.31,710,18.371712,570,27,-4.1794843673706055,3.2431068420410156,290,-0.031477924436330795,2.1544346900318823e-05,0.9937676191329956
16020,22.3,720,18.278328,573,27,-4.338352203369141,3.1376240253448486,300,-0.03248600661754608,2.1544346900318823e-05,0.9935531616210938
16240,22.12,730,18.210411,576,28,-4.52158260345459,3.5777053833007812,311,-0.03371017426252365,2.1544346900318823e-05,0.9933173060417175
16440,21.66,740,18.15287,579,28,-4.453678607940674,2.9721901416778564,321,-0.034852538257837296,2.1544346900318823e-05,0.9931028485298157
16560,21.35,750,18.036331,581,28,-4.6173481941223145,3.377253293991089,327,-0.03536854684352875,2.1544346900318823e-05,0.9929741621017456
16740,21.5,760,18.768837,583,28,-4.634097099304199,2.760810375213623,336,-0.036811601370573044,2.1544346900318823e-05,0.9927813410758972
16960,21.48,770,19.017286,586,28,-4.781867980957031,3.318629503250122,347,-0.03763483464717865,2.1544346900318823e-05,0.9925456047058105
17220,21.52,780,19.42499,589,29,-4.826343536376953,2.9972920417785645,360,-0.03921618312597275,2.1544346900318823e-05,0.9922667741775513
17380,20.73,790,18.330465,591,29,-4.838891983032227,2.7719202041625977,368,-0.04029226675629616,2.1544346900318823e-05,0.992095410823822
17620,19.59,800,17.029911,594,29,-4.973081588745117,3.0815255641937256,380,-0.04134219139814377,2.1544346900318823e-05,0.9918382167816162
17800,19.42,810,17.072887,595,29,-5.183404445648193,3.5148215293884277,389,-0.042537540197372437,2.1544346900318823e-05,0.9916454553604126
18020,19.86,820,17.752098,598,30,-5.179551124572754,3.2470760345458984,400,-0.04341592267155647,2.1544346900318823e-05,0.9914100766181946
18240,19.94,830,17.89886,599,30,-5.096930980682373,3.2676026821136475,411,-0.0446685329079628,2.1544346900318823e-05,0.9911748766899109
18420,19.77,840,17.455502,601,30,-5.353659629821777,2.8852643966674805,420,-0.04589754343032837,2.1544346900318823e-05,0.9909822940826416
18560,19.89,850,17.22123,603,30,-5.272510051727295,3.2450170516967773,427,-0.046322695910930634,2.1544346900318823e-05,0.9908325672149658
18760,20.28,860,17.736187,604,31,-5.489047050476074,3.6298904418945312,437,-0.0473947674036026,2.1544346900318823e-05,0.990618884563446
18920,20.08,870,17.354313,606,31,-5.548686981201172,3.3382632732391357,445,-0.0486869141459465,2.1544346900318823e-05,0.9904482364654541
19160,19.57,880,16.85982,608,31,-5.6350016593933105,3.2745885848999023,457,-0.04990755766630173,2.1544346900318823e-05,0.9901920557022095
19320,19.68,890,16.89745,610,31,-5.566039085388184,3.0372469425201416,465,-0.05023551732301712,2.1544346900318823e-05,0.9900210499763489
19500,19.99,900,18.024061,610,31,-5.673470497131348,2.7735748291015625,474,-0.05147312581539154,2.1544346900318823e-05,0.9898288249969482
19740,20.15,910,17.582952,613,32,-5.8328633308410645,3.524960517883301,486,-0.05282121151685715,2.1544346900318823e-05,0.9895727038383484
19840,19.21,920,15.525291,614,32,-5.89398193359375,4.721037864685059,491,-0.05305848270654678,2.1544346900318823e-05,0.9894660115242004
20040,18.8,930,15.264751,572,34,-6.100539207458496,3.763606548309326,501,-0.0545932836830616,2.1544346900318823e-05,0.9892529249191284
20200,18.77,940,14.874698,574,35,-5.978071212768555,4.145639419555664,509,-0.05536704510450363,2.1544346900318823e-05,0.9890822172164917
20400,18.41,950,14.860342,577,35,-6.24138069152832,3.720534324645996,519,-0.05623158439993858,2.1544346900318823e-05,0.9888689517974854
20560,18.05,960,13.675268,579,35,-6.186277389526367,3.9581422805786133,527,-0.057336099445819855,2.1544346900318823e-05,0.9886982440948486
20740,18.34,970,14.186733,581,35,-6.244483470916748,4.019286632537842,536,-0.05847843363881111,2.1544346900318823e-05,0.9885063767433167
20940,18.39,980,14.392622,583,35,-6.372600555419922,4.092876434326172,546,-0.059759363532066345,2.1544346900318823e-05,0.9882931113243103
21140,18.45,990,14.164337,585,36,-6.372457504272461,3.6115474700927734,556,-0.060201361775398254,2.1544346900318823e-05,0.988079845905304
21340,18.01,1000,13.130982,587,36,-6.561985015869141,4.452020168304443,566,-0.06109168380498886,2.1544346900318823e-05,0.9878669381141663
21540,18.41,1010,13.259563,589,36,-6.493661403656006,3.935783863067627,576,-0.06232820078730583,2.1544346900318823e-05,0.9876541495323181
21780,18.13,1020,13.201885,591,36,-6.837841987609863,4.291316032409668,588,-0.06390634179115295,2.1544346900318823e-05,0.9873991012573242
21920,18.14,1030,13.137613,593,36,-6.683788299560547,4.427419662475586,595,-0.06489264965057373,2.1544346900318823e-05,0.9872502684593201
22100,18.08,1040,12.762499,595,37,-6.6578874588012695,3.654157876968384,604,-0.06558096408843994,2.1544346900318823e-05,0.9870589375495911
22320,19.08,1050,14.007534,597,37,-6.874961853027344,4.629581451416016,615,-0.06654207408428192,2.1544346900318823e-05,0.9868248105049133
22560,19.39,1060,14.824948,599,37,-6.797896385192871,3.607225179672241,627,-0.06786657869815826,2.1544346900318823e-05,0.9865697622299194
22740,19.31,1070,14.872241,600,37,-6.917172908782959,4.026340484619141,636,-0.06860701739788055,2.1544346900318823e-05,0.9863784313201904
22920,19.76,1080,15.622202,601,38,-6.827162742614746,3.8032844066619873,645,-0.07017792761325836,2.1544346900318823e-05,0.9861873388290405
23140,19.52,1090,15.483494,603,38,-7.116481304168701,4.904936790466309,656,-0.07113547623157501,2.1544346900318823e-05,0.9859537482261658
23280,19.73,1100,15.5831375,604,38,-7.199995994567871,3.8053534030914307,663,-0.07230480015277863,2.1544346900318823e-05,0.9858051538467407
23460,19.18,1110,15.598101,605,38,-7.3330583572387695,2.736649513244629,672,-0.07282421737909317,2.1544346900318823e-05,0.9856141805648804
23740,19.06,1120,15.476256,607,39,-7.533717155456543,4.523351669311523,686,-0.07487757503986359,2.1544346900318823e-05,0.9853171110153198
23840,20.24,1130,17.94831,607,39,-7.3827409744262695,5.168400287628174,691,-0.07444661855697632,2.1544346900318823e-05,0.9852110147476196
24080,20.42,1140,18.528282,610,39,-7.435176849365234,3.8865137100219727,703,-0.07637328654527664,2.1544346900318823e-05,0.9849563241004944
24220,19.47,1150,17.6727,611,39,-7.618964672088623,5.253210067749023,710,-0.07688814401626587,2.1544346900318823e-05,0.9848077893257141
24380,18.76,1160,16.59482,612,39,-7.961432456970215,4.393197059631348,718,-0.07785560935735703,2.1544346900318823e-05,0.9846380949020386
24580,18.22,1170,15.502686,614,39,-7.685574054718018,4.820494651794434,728,-0.07877098023891449,2.1544346900318823e-05,0.9844258427619934
24740,18.33,1180,15.355968,616,40,-7.706945896148682,3.6069209575653076,736,-0.07978080213069916,2.1544346900318823e-05,0.9842563271522522
24900,18.29,1190,15.422677,617,40,-7.678840637207031,3.868523359298706,744,-0.08105489611625671,2.1544346900318823e-05,0.9840868711471558
25060,18.05,1200,15.489701,618,40,-7.883698463439941,5.515937805175781,752,-0.08154764771461487,2.1544346900318823e-05,0.9839175939559937
25220,17.99,1210,15.386562,619,40,-7.985145092010498,3.684892177581787,760,-0.08258886635303497,2.1544346900318823e-05,0.9837485551834106
25440,18.04,1220,15.310028,622,40,-8.131139755249023,6.321079254150391,771,-0.08390581607818604,2.1544346900318823e-05,0.9835158586502075
25600,17.43,1230,13.324479,623,41,-8.00583267211914,6.204740524291992,779,-0.08412600308656693,2.1544346900318823e-05,0.9833467602729797
25760,17.19,1240,12.970746,624,41,-8.202201843261719,4.4221038818359375,787,-0.08489741384983063,2.1544346900318823e-05,0.983177661895752
25940,17.11,1250,12.90505,626,41,-8.327911376953125,4.4132232666015625,796,-0.08618054538965225,2.1544346900318823e-05,0.9829875230789185
26160,17.05,1260,12.872897,628,41,-8.408357620239258,3.847508668899536,807,-0.08777767419815063,2.1544346900318823e-05,0.982755184173584
26320,17.75,1270,13.587829,629,41,-8.425088882446289,5.633975028991699,815,-0.0879017636179924,2.1544346900318823e-05,0.9825859665870667
26420,17.59,1280,13.784041,629,41,-8.315971374511719,4.640621662139893,820,-0.088691845536232,2.1544346900318823e-05,0.9824802279472351
26580,16.76,1290,12.812199,631,42,-8.509450912475586,4.915316581726074,828,-0.09013745933771133,2.1544346900318823e-05,0.9823111891746521
26760,16.93,1300,12.991851,632,42,-8.63125991821289,5.283336162567139,837,-0.0899854451417923,2.1544346900318823e-05,0.982120931148529
26920,16.76,1310,12.796239,633,42,-8.533870697021484,4.725427627563477,845,-0.09167511761188507,2.1544346900318823e-05,0.9819519519805908
27060,16.84,1320,13.05603,634,42,-8.581146240234375,5.544388771057129,852,-0.09226182848215103,2.1544346900318823e-05,0.9818041324615479
27300,16.44,1330,13.004577,635,42,-8.819515228271484,7.208154678344727,864,-0.09297776967287064,2.1544346900318823e-05,0.981550931930542
27420,16.55,1340,13.416801,635,43,-8.762598037719727,6.280492782592773,870,-0.09435461461544037,2.1544346900318823e-05,0.9814243912696838
27600,16.48,1350,13.320204,637,43,-8.793161392211914,7.649910926818848,879,-0.09486807882785797,2.1544346900318823e-05,0.9812346696853638
27760,16.82,1360,13.662331,638,43,-8.913431167602539,7.869828701019287,887,-0.09553205966949463,2.1544346900318823e-05,0.9810660481452942
27940,16.14,1370,12.860461,639,43,-8.959704399108887,6.062053680419922,896,-0.09708890318870544,2.1544346900318823e-05,0.9808762073516846
28080,16.02,1380,12.846175,640,43,-9.05120849609375,5.2939534187316895,903,-0.09803131967782974,2.1544346900318823e-05,0.9807286262512207
28260,16.02,1390,12.957771,642,44,-9.039627075195312,5.440074920654297,912,-0.0984630212187767,2.1544346900318823e-05,0.9805390238761902
28400,16.05,1400,12.944259,642,44,-8.956360816955566,7.335736274719238,919,-0.09882357716560364,2.1544346900318823e-05,0.9803916215896606
28540,16.01,1410,13.107884,643,44,-9.406964302062988,5.167929172515869,926,-0.10036322474479675,2.1544346900318823e-05,0.9802442789077759
28740,16.3,1420,13.912029,644,44,-9.492355346679688,6.566267967224121,936,-0.10073280334472656,2.1544346900318823e-05,0.9800335764884949
28940,16.21,1430,13.923039,645,44,-9.382268905639648,4.802599906921387,946,-0.10237378627061844,2.1544346900318823e-05,0.9798228740692139
29060,16.63,1440,14.711081,645,44,-9.278820991516113,5.6502275466918945,952,-0.10320694744586945,2.1544346900318823e-05,0.9796966910362244
29240,16.62,1450,14.61915,646,45,-9.742437362670898,5.519294261932373,961,-0.10382486134767532,2.1544346900318823e-05,0.979507327079773
29340,16.37,1460,14.451191,647,45,-9.569597244262695,7.073391914367676,966,-0.10439956933259964,2.1544346900318823e-05,0.9794021844863892
29560,16.32,1470,14.652809,648,45,-9.550634384155273,6.0930681228637695,977,-0.1050589382648468,2.1544346900318823e-05,0.9791712164878845
29720,16.24,1480,14.551997,649,45,-9.831775665283203,6.856726169586182,985,-0.1062009334564209,2.1544346900318823e-05,0.9790033102035522
29860,16.45,1490,14.951202,650,45,-9.804231643676758,7.076218605041504,992,-0.10719624161720276,2.1544346900318823e-05,0.9788563251495361
30040,16.57,1500,15.016191,633,47,-9.933453559875488,5.326044082641602,1001,-0.10784026980400085,2.1544346900318823e-05,0.9786674976348877
30220,16.83,1510,15.119671,634,47,-10.020030975341797,8.73201847076416,1010,-0.1090078204870224,2.1544346900318823e-05,0.9784786105155945
30320,16.42,1520,14.750347,635,47,-10.008058547973633,7.437805652618408,1015,-0.10914167761802673,2.1544346900318823e-05,0.978373646736145
30480,15.88,1530,13.001025,636,47,-10.296391487121582,7.873955249786377,1023,-0.11131400614976883,2.1544346900318823e-05,0.9782058000564575
30660,15.83,1540,12.958794,637,48,-9.786880493164062,4.975979804992676,1032,-0.11112698912620544,2.1544346900318823e-05,0.97801673412323
30800,15.7,1550,12.6852865,638,48,-10.299680709838867,5.452476501464844,1039,-0.11274797469377518,2.1544346900318823e-05,0.9778697490692139
30920,15.39,1560,12.116097,639,48,-10.210262298583984,6.471395492553711,1045,-0.11256582289934158,2.1544346900318823e-05,0.9777438044548035
31060,15.49,1570,12.256486,639,48,-10.297786712646484,9.892267227172852,1052,-0.11377806961536407,2.1544346900318823e-05,0.9775970578193665
31240,15.35,1580,12.226211,641,48,-10.18326187133789,6.978837490081787,1061,-0.11605961620807648,2.1544346900318823e-05,0.9774084091186523
31400,15.69,1590,12.258754,642,48,-10.196880340576172,5.871289253234863,1069,-0.11534969508647919,2.1544346900318823e-05,0.9772405028343201
31580,15.35,1600,11.875135,643,49,-10.520487785339355,6.473794937133789,1078,-0.11589048057794571,2.1544346900318823e-05,0.9770516753196716
31700,15.38,1610,12.004996,643,49,-10.310245513916016,3.5961732864379883,1084,-0.11636421829462051,2.1544346900318823e-05,0.9769259095191956
31900,15.33,1620,11.280785,644,49,-10.578601837158203,5.655109405517578,1094,-0.11777964234352112,2.1544346900318823e-05,0.9767166972160339
32020,15.62,1630,11.965845,644,49,-10.569663047790527,6.388022422790527,1100,-0.11783941835165024,2.1544346900318823e-05,0.9765911102294922
32240,15.55,1640,11.877935,646,49,-10.54977035522461,5.948643207550049,1111,-0.11884404718875885,2.1544346900318823e-05,0.9763607978820801
32400,15.62,1650,12.0417,647,50,-10.734474182128906,8.26486873626709,1119,-0.12060942500829697,2.1544346900318823e-05,0.976193368434906
32540,16.23,1660,12.4900675,648,50,-10.905710220336914,6.5560994148254395,1126,-0.12174065411090851,2.1544346900318823e-05,0.9760468006134033
32740,16.27,1670,12.575953,649,50,-10.794217109680176,8.24327564239502,1136,-0.12214668840169907,2.1544346900318823e-05,0.9758372902870178
32920,16.8,1680,12.660309,650,50,-11.083939552307129,8.306198120117188,1145,-0.12467719614505768,2.1544346900318823e-05,0.9756491184234619
33080,16.82,1690,12.728734,651,50,-11.015886306762695,8.389575958251953,1153,-0.12329035252332687,2.1544346900318823e-05,0.9754816293716431
33260,16.95,1700,13.016816,652,51,-11.188003540039062,8.171407699584961,1162,-0.12567684054374695,2.1544346900318823e-05,0.9752933382987976
33420,16.96,1710,13.148445,652,51,-11.454056739807129,6.623419284820557,1170,-0.1259579211473465,2.1544346900318823e-05,0.9751259684562683
33560,17.13,1720,13.340972,653,51,-11.19410514831543,8.616495132446289,1177,-0.1268337517976761,2.1544346900318823e-05,0.9749795794487
33720,16.88,1730,13.050672,654,51,-11.34585189819336,9.86846923828125,1185,-0.12829071283340454,2.1544346900318823e-05,0.9748122692108154
33880,16.87,1740,12.896821,654,51,-11.287980079650879,7.517867565155029,1193,-0.1281040906906128,2.1544346900318823e-05,0.974644660949707
34060,16.67,1750,12.871906,655,51,-11.533855438232422,8.112548828125,1202,-0.12868377566337585,2.1544346900318823e-05,0.9744561910629272
34200,16.3,1760,12.945662,656,52,-11.552665710449219,10.421759605407715,1209,-0.1296016275882721,2.1544346900318823e-05,0.9743099808692932
34340,16.63,1770,13.112005,656,52,-11.469442367553711,7.429867267608643,1216,-0.1311119645833969,2.1544346900318823e-05,0.9741638898849487
34500,16.01,1780,12.780687,657,52,-11.944108963012695,8.062005043029785,1224,-0.13175499439239502,2.1544346900318823e-05,0.9739966988563538
34660,15.64,1790,12.40459,658,52,-11.733804702758789,8.86899185180664,1232,-0.13192076981067657,2.1544346900318823e-05,0.9738297462463379
34860,15.97,1800,12.974906,659,52,-12.019309043884277,9.022829055786133,1242,-0.13327200710773468,2.1544346900318823e-05,0.9736212491989136
34940,15.72,1810,12.63931,660,52,-11.785572052001953,10.215166091918945,1246,-0.13383124768733978,2.1544346900318823e-05,0.9735377430915833
35160,15.63,1820,12.646257,661,53,-12.025136947631836,7.694832801818848,1257,-0.13486430048942566,2.1544346900318823e-05,0.973308265209198
35300,15.87,1830,12.837289,662,53,-11.87458610534668,8.05478572845459,1264,-0.13500294089317322,2.1544346900318823e-05,0.9731621146202087
35500,15.86,1840,12.855671,663,53,-12.108894348144531,8.865134239196777,1274,-0.13734501600265503,2.1544346900318823e-05,0.9729534387588501
35620,16.21,1850,13.235544,663,53,-11.899166107177734,6.758380889892578,1280,-0.13754510879516602,2.1544346900318823e-05,0.972828209400177
35780,16.01,1860,12.890977,664,53,-11.949788093566895,8.754688262939453,1288,-0.13900554180145264,2.1544346900318823e-05,0.9726610779762268
36020,16.1,1870,13.201382,666,54,-12.272720336914062,7.283053398132324,1300,-0.14062407612800598,2.1544346900318823e-05,0.9724105000495911
36120,15.96,1880,13.000287,666,54,-12.150833129882812,8.11181926727295,1305,-0.14059406518936157,2.1544346900318823e-05,0.9723062515258789
36300,16.38,1890,13.421849,667,54,-12.171085357666016,7.577229022979736,1314,-0.14089521765708923,2.1544346900318823e-05,0.9721184968948364
36460,16.02,1900,12.6681385,668,54,-12.360074996948242,9.29094123840332,1322,-0.1420886218547821,2.1544346900318823e-05,0.9719519019126892
36600,16.12,1910,12.754042,669,54,-12.423264503479004,7.519006729125977,1329,-0.1420280933380127,2.1544346900318823e-05,0.9718062281608582
36780,16.06,1920,12.660051,669,54,-12.442828178405762,9.232605934143066,1338,-0.1434139907360077,2.1544346900318823e-05,0.9716187715530396
37000,16.11,1930,12.745746,670,55,-12.493733406066895,9.194072723388672,1349,-0.1451975554227829,2.1544346900318823e-05,0.9713893532752991
37080,16.44,1940,13.352404,670,55,-12.573942184448242,8.03973388671875,1353,-0.14516764879226685,2.1544346900318823e-05,0.9713058471679688
37320,16.2,1950,13.247083,671,55,-12.6220703125,7.548095703125,1365,-0.1469360589981079,2.1544346900318823e-05,0.9710556268692017
37400,16.6,1960,13.745587,671,55,-12.409133911132812,8.639007568359375,1369,-0.14848056435585022,2.1544346900318823e-05,0.9709723591804504
37600,16.27,1970,13.327121,672,55,-12.556217193603516,12.897198677062988,1379,-0.14850762486457825,2.1544346900318823e-05,0.9707639217376709
37800,16.31,1980,13.195193,674,56,-12.956323623657227,8.391436576843262,1389,-0.15089988708496094,2.1544346900318823e-05,0.9705557227134705
37960,16.48,1990,13.50677,674,56,-12.975151062011719,6.405385971069336,1397,-0.14905203878879547,2.1544346900318823e-05,0.9703890085220337
38080,16.64,2000,13.835298,675,56,-12.781787872314453,10.275869369506836,1403,-0.1496502161026001,2.1544346900318823e-05,0.970264196395874
38280,16.62,2010,13.828913,675,56,-13.082560539245605,9.073690414428711,1413,-0.15026119351387024,2.1544346900318823e-05,0.9700562953948975
38540,16.84,2020,13.914964,675,57,-12.867765426635742,8.591978073120117,1426,-0.15302108228206635,2.1544346900318823e-05,0.9697859883308411
38720,17.09,2030,14.3450985,676,57,-13.098379135131836,12.713937759399414,1435,-0.15378597378730774,2.1544346900318823e-05,0.969598650932312
38960,17.51,2040,15.145081,677,57,-13.332258224487305,10.764117240905762,1447,-0.15433645248413086,2.1544346900318823e-05,0.9693493247032166
39140,18.43,2050,16.999046,678,57,-12.966955184936523,9.525714874267578,1456,-0.15711620450019836,2.1544346900318823e-05,0.9691624641418457
39300,18.4,2060,16.812994,678,57,-13.557194709777832,11.19590950012207,1464,-0.15578877925872803,2.1544346900318823e-05,0.9689961075782776
39540,18.8,2070,17.402905,679,58,-13.101165771484375,9.018020629882812,1476,-0.15844184160232544,2.1544346900318823e-05,0.9687466621398926
39700,18.94,2080,17.783285,680,58,-13.395574569702148,6.867455005645752,1484,-0.15935437381267548,2.1544346900318823e-05,0.9685803651809692
39900,19.09,2090,18.356047,682,58,-13.553237915039062,7.849537372589111,1494,-0.16087059676647186,2.1544346900318823e-05,0.968372642993927
40080,19.38,2100,19.14728,663,60,-13.76898193359375,12.138158798217773,1503,-0.16257187724113464,2.1544346900318823e-05,0.9681857824325562
40280,19.82,2110,19.929594,665,60,-14.055569648742676,8.95053482055664,1513,-0.16081328690052032,2.1544346900318823e-05,0.9679783582687378
40500,20.31,2120,20.554201,666,60,-13.613585472106934,6.95310115814209,1524,-0.1638917475938797,2.1544346900318823e-05,0.9677504897117615
40740,20.26,2130,20.685894,667,61,-13.932201385498047,10.212881088256836,1536,-0.16562041640281677,2.1544346900318823e-05,0.9675021171569824
40960,19.77,2140,19.75652,668,61,-13.90160083770752,10.190898895263672,1547,-0.1661546379327774,2.1544346900318823e-05,0.9672741889953613
41220,19.27,2150,18.182827,669,61,-14.116701126098633,8.685458183288574,1560,-0.16779524087905884,2.1544346900318823e-05,0.9670051336288452
41440,20.13,2160,19.958939,669,61,-14.071048736572266,9.011302947998047,1571,-0.16689074039459229,2.1544346900318823e-05,0.9667774438858032
41720,20.94,2170,21.339338,671,62,-14.351858139038086,9.952747344970703,1585,-0.16987591981887817,2.1544346900318823e-05,0.9664880633354187
41960,21.84,2180,22.521338,673,62,-14.26739501953125,7.384139060974121,1597,-0.1715088039636612,2.1544346900318823e-05,0.9662405252456665
42200,22.72,2190,24.735744,674,62,-14.704715728759766,11.03024959564209,1609,-0.170399010181427,2.1544346900318823e-05,0.9659926891326904
42580,23.24,2200,25.24723,676,62,-14.614869117736816,13.452743530273438,1628,-0.17305225133895874,2.1544346900318823e-05,0.9656011462211609
42960,24.33,2210,26.867805,678,63,-14.755248069763184,10.149636268615723,1647,-0.1746712028980255,2.1544346900318823e-05,0.9652100205421448
43220,25.67,2220,29.80968,679,63,-14.89145278930664,10.752662658691406,1660,-0.17594555020332336,2.1544346900318823e-05,0.9649423956871033
43480,26.8,2230,32.432434,680,63,-15.041614532470703,8.862534523010254,1673,-0.17706164717674255,2.1544346900318823e-05,0.9646751880645752
43720,27.16,2240,33.590965,682,64,-15.305898666381836,11.935792922973633,1685,-0.17836907505989075,2.1544346900318823e-05,0.9644289016723633
43980,27.75,2250,34.750835,683,64,-15.418466567993164,6.606286525726318,1698,-0.1807861179113388,2.1544346900318823e-05,0.9641620516777039
44380,28.1,2260,36.71356,685,64,-15.921281814575195,15.142372131347656,1718,-0.18188990652561188,2.1544346900318823e-05,0.9637525081634521
