time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
19140,20.42,890,17.743193,1488,12,-5.688629150390625,3.0695714950561523,456,-0.04966195672750473,2.1544346900318823e-05,0.9902138710021973
19360,20.81,900,18.612762,1481,13,-5.733973979949951,3.004157066345215,467,-0.050517234951257706,2.1544346900318823e-05,0.9899788498878479
19560,21.2,910,18.91416,1472,13,-5.749988555908203,2.6190953254699707,477,-0.05191086232662201,2.1544346900318823e-05,0.9897652864456177
19760,20.88,920,18.48807,1462,13,-6.107447624206543,4.398550987243652,487,-0.052825927734375,2.1544346900318823e-05,0.9895520210266113
19880,19.58,930,15.737689,1458,13,-5.9458184242248535,3.9108383655548096,493,-0.053550995886325836,2.1544346900318823e-05,0.9894240498542786
20060,19.35,940,15.250116,1451,13,-6.149843215942383,3.567444324493408,502,-0.05481911450624466,2.1544346900318823e-05,0.9892322421073914
20280,19.41,950,15.4984,1445,14,-6.012537479400635,3.1290206909179688,513,-0.05573105812072754,2.1544346900318823e-05,0.9889975786209106
20460,19.23,960,15.069204,1440,14,-6.104771614074707,3.843289852142334,522,-0.05690375715494156,2.1544346900318823e-05,0.9888055920600891
20700,19.04,970,15.263593,1431,14,-6.335921287536621,4.271462917327881,534,-0.058072686195373535,2.1544346900318823e-05,0.9885495901107788
20860,19.41,980,15.916216,1426,14,-6.291210651397705,3.722357988357544,542,-0.0591280534863472,2.1544346900318823e-05,0.9883790612220764
21080,19.47,990,15.83283,1412,14,-6.385865688323975,3.2840375900268555,553,-0.06025351211428642,2.1544346900318823e-05,0.9881445169448853
21300,19.33,1000,15.548858,1404,15,-6.54166841506958,4.419136047363281,564,-0.061274170875549316,2.1544346900318823e-05,0.9879102110862732
21480,19.16,1010,15.128741,1395,15,-6.668462753295898,4.693981170654297,573,-0.0624808669090271,2.1544346900318823e-05,0.9877187013626099
21680,19.38,1020,15.450681,1390,15,-6.68070125579834,3.7621796131134033,583,-0.0633559301495552,2.1544346900318823e-05,0.9875059723854065
21860,19.19,1030,15.438974,1386,15,-6.6734466552734375,4.282962322235107,592,-0.06439600139856339,2.1544346900318823e-05,0.987314760684967
22060,19.35,1040,15.427837,1381,15,-6.749704360961914,3.578641653060913,602,-0.0653873011469841,2.1544346900318823e-05,0.9871021509170532
22240,19.65,1050,15.678254,1376,16,-6.720921039581299,4.500179767608643,611,-0.06666485965251923,2.1544346900318823e-05,0.9869106411933899
22460,19.84,1060,16.560137,1370,16,-6.886565208435059,3.2028722763061523,622,-0.06795322895050049,2.1544346900318823e-05,0.9866768717765808
22620,19.75,1070,16.440025,1368,16,-6.845700740814209,4.161454677581787,630,-0.06871049106121063,2.1544346900318823e-05,0.9865069389343262
22840,19.39,1080,15.976658,1362,16,-7.034770965576172,3.0235671997070312,641,-0.06931181252002716,2.1544346900318823e-05,0.9862731695175171
23020,19.34,1090,16.078333,1355,16,-7.070112705230713,3.660466194152832,650,-0.06973465532064438,2.1544346900318823e-05,0.986082136631012
23160,19.16,1100,15.982235,1353,17,-7.167021751403809,3.6286232471466064,657,-0.07130462676286697,2.1544346900318823e-05,0.9859336018562317
23280,19.02,1110,15.844729,1351,17,-7.330138206481934,4.997548580169678,663,-0.07243002951145172,2.1544346900318823e-05,0.985806405544281
23480,18.44,1120,15.533378,1345,17,-7.136574745178223,3.354616641998291,673,-0.07308976352214813,2.1544346900318823e-05,0.9855942130088806
23760,18.62,1130,15.727427,1340,17,-7.4973320960998535,3.488966464996338,687,-0.07452094554901123,2.1544346900318823e-05,0.9852972626686096
23880,18.81,1140,16.207361,1336,17,-7.379795551300049,4.318545341491699,693,-0.07479298859834671,2.1544346900318823e-05,0.9851700067520142
24060,18.49,1150,16.107035,1332,18,-7.353082656860352,4.2422380447387695,702,-0.07595180720090866,2.1544346900318823e-05,0.9849790334701538
24240,18.16,1160,15.369447,1326,18,-7.763008117675781,5.368255615234375,711,-0.0772523581981659,2.1544346900318823e-05,0.9847881197929382
24380,17.81,1170,15.063921,1322,18,-7.837425231933594,3.766747236251831,718,-0.07771839201450348,2.1544346900318823e-05,0.9846397042274475
24580,17.68,1180,14.690791,1316,18,-7.957318305969238,4.813508033752441,728,-0.07870744168758392,2.1544346900318823e-05,0.9844276905059814
24800,17.81,1190,14.621356,1309,18,-7.857440948486328,4.899194717407227,739,-0.0802120566368103,2.1544346900318823e-05,0.9841947555541992
24920,18.03,1200,14.827792,1304,19,-7.928184509277344,5.422626495361328,745,-0.08076658844947815,2.1544346900318823e-05,0.9840675592422485
25100,17.93,1210,14.762134,1299,19,-7.8848161697387695,5.085089683532715,754,-0.08170123398303986,2.1544346900318823e-05,0.9838773012161255
25240,17.76,1220,14.698652,1294,19,-8.05743408203125,3.9778692722320557,761,-0.08307278901338577,2.1544346900318823e-05,0.9837294816970825
25460,17.57,1230,14.127201,1289,19,-7.982682704925537,5.58176326751709,772,-0.08346951752901077,2.1544346900318823e-05,0.9834968447685242
25600,17.33,1240,13.883535,1288,19,-8.116094589233398,4.642629146575928,779,-0.08406756818294525,2.1544346900318823e-05,0.9833488464355469
25760,17.22,1250,13.653706,1283,20,-8.11539077758789,5.606170654296875,787,-0.08507245779037476,2.1544346900318823e-05,0.9831799864768982
25920,16.99,1260,13.518397,1279,20,-8.146102905273438,3.8284144401550293,795,-0.0861383005976677,2.1544346900318823e-05,0.9830108880996704
26180,17.19,1270,13.544529,1275,20,-8.399213790893555,4.392353057861328,808,-0.08773267269134521,2.1544346900318823e-05,0.9827362298965454
26340,17.24,1280,13.849861,1274,20,-8.498066902160645,3.5443644523620605,816,-0.08809098601341248,2.1544346900318823e-05,0.9825670123100281
26460,17.41,1290,14.112513,1271,20,-8.666043281555176,3.9270594120025635,822,-0.08895868062973022,2.1544346900318823e-05,0.9824402332305908
26600,16.57,1300,13.285191,1268,20,-8.699861526489258,6.400301933288574,829,-0.08962031453847885,2.1544346900318823e-05,0.9822923541069031
26780,16.97,1310,13.77403,1254,21,-8.709517478942871,4.5845046043396,838,-0.09026052802801132,2.1544346900318823e-05,0.9821021556854248
26940,16.79,1320,13.608333,1230,21,-8.585386276245117,4.602716445922852,846,-0.09191704541444778,2.1544346900318823e-05,0.9819334149360657
27120,16.87,1330,13.79217,1224,22,-8.868391036987305,6.2707061767578125,855,-0.09281803667545319,2.1544346900318823e-05,0.9817433953285217
27300,16.57,1340,13.578159,1212,22,-8.838899612426758,5.950339317321777,864,-0.09302255511283875,2.1544346900318823e-05,0.9815536141395569
27480,16.54,1350,13.658136,1210,22,-8.9381685256958,4.022770881652832,873,-0.09456516057252884,2.1544346900318823e-05,0.9813640117645264
27600,16.96,1360,14.392952,1203,22,-8.981002807617188,7.385829925537109,879,-0.09468076378107071,2.1544346900318823e-05,0.9812375903129578
27820,16.86,1370,14.19839,1195,23,-9.049215316772461,5.466010570526123,890,-0.09690867364406586,2.1544346900318823e-05,0.981005847454071
27980,16.75,1380,13.79252,1188,23,-9.289219856262207,4.231551170349121,898,-0.09675080329179764,2.1544346900318823e-05,0.9808372259140015
28180,16.46,1390,13.669622,1179,23,-9.170209884643555,5.990612983703613,908,-0.0973997637629509,2.1544346900318823e-05,0.9806265830993652
28300,16.53,1400,13.776014,1177,24,-9.097858428955078,4.932036399841309,914,-0.09824730455875397,2.1544346900318823e-05,0.9805002808570862
28440,16.49,1410,13.710094,1174,24,-9.407176971435547,6.652576446533203,921,-0.09892313182353973,2.1544346900318823e-05,0.980353057384491
28560,16.43,1420,13.712859,1171,24,-9.365751266479492,5.705989837646484,927,-0.10076015442609787,2.1544346900318823e-05,0.9802269339561462
28740,16.08,1430,13.460167,1168,24,-9.386886596679688,6.774394989013672,936,-0.10083162784576416,2.1544346900318823e-05,0.9800374507904053
28960,16.27,1440,13.808137,1165,24,-9.590011596679688,6.905567169189453,947,-0.10112547874450684,2.1544346900318823e-05,0.9798059463500977
29120,16.98,1450,14.949767,1163,25,-9.596794128417969,7.0508036613464355,955,-0.10239513963460922,2.1544346900318823e-05,0.9796378016471863
29260,16.65,1460,14.212383,1157,25,-9.715532302856445,4.188212871551514,962,-0.1036844402551651,2.1544346900318823e-05,0.9794909358024597
29420,16.65,1470,14.412023,1153,25,-9.634509086608887,4.271068572998047,970,-0.10438524186611176,2.1544346900318823e-05,0.9793229699134827
29560,16.01,1480,14.248778,1150,25,-9.712623596191406,4.851579666137695,977,-0.10486041754484177,2.1544346900318823e-05,0.9791760444641113
29780,16.24,1490,14.380459,1146,25,-9.857080459594727,6.91287088394165,988,-0.10580816864967346,2.1544346900318823e-05,0.9789454340934753
29900,16.52,1500,14.41354,1143,26,-9.872054100036621,8.015602111816406,994,-0.10674836486577988,2.1544346900318823e-05,0.9788195490837097
