rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
19.1,0,10,191,2475,15.1646455,,,,,,
21.9,0,20,438,2552,17.870950949999997,,,,,,
23.066666666666666,0,30,692,2410,19.31861746666667,,,,,,
22.725,0,40,909,2577,18.293430675000003,,,,,,
21.76,0,50,1088,2385,17.41046064,,,,,,
21.683333333333334,0,60,1301,2422,18.35811903333333,,,,,,
21.4,0,70,1498,2462,18.38853692857143,,,,,,
21.525,0,80,1722,2551,18.624295687500002,,,,,,
21.011111111111113,0,90,1891,2537,17.910394055555553,,,,,,
21.49,0,100,2149,2515,18.30171917,,,,,,
21.6,0,110,2351,2523,18.662875990000003,,,,,,
21.85,1,120,2623,2389,18.71645323,,,,,,
21.23,1,130,2815,2371,18.38233143,,,,,,
21.93,1,140,3102,2427,19.52364084,,,,,,
22.97,1,150,3385,2422,21.133900450000002,,,,,,
22.66,1,160,3567,2428,20.07573948,,,,,,
23.24,1,170,3822,2447,20.38802969,,,,,,
22.93,1,180,4015,2385,20.115813359999997,,,,,,
24.29,1,190,4320,2402,22.15800928,,,,,,
24.22,1,200,4571,2445,21.765964679999996,,,,,,
24.09,1,210,4760,2439,21.35311463,,,,,,
23.11,2,220,4934,2382,20.650901799999996,,,,,,
23.47,2,230,5162,2403,20.34403605,,,,,,
22.58,2,240,5360,2370,19.10410637,,,,,,
21.64,2,250,5549,2384,17.553829840000002,,,,,,
21.94,2,260,5761,2406,17.960858460000004,,,,,,
21.71,2,270,5993,2385,18.137120579999998,,,,,,
21.63,2,280,6178,2393,17.65250224,,,,,,
20.86,2,290,6406,2375,16.759423850000005,,,,,,
20.26,2,300,6597,2375,16.368342840000004,,,,,,
20.4,2,310,6800,2348,16.27336913,,,,,,
20.34,2,320,6968,2354,16.12835995,,,,,,
20.19,3,330,7181,2336,15.956863810000002,,,,,,
21.24,3,340,7484,2363,17.468045280000002,,,,,,
21.81,3,350,7730,2355,17.9375531,,,,,,
21.29,3,360,7890,2345,17.423519820000003,,,,,,
20.76,3,370,8069,2344,16.32951706,,,,,,
20.96,3,380,8274,2360,16.595596819999997,,,,,,
20.71,3,390,8477,2376,16.009275560000003,,,,,,
21.14,3,400,8711,2392,16.353018340000002,,,,,,
21.91,3,410,8991,2403,17.91767561,,,,,,
22.54,3,420,9222,2407,18.52882111,,,,,,
22.1,3,430,9391,2410,18.611383269999997,,,,,,
20.93,3,440,9577,2411,17.039305229999997,,,,,,
20.95,4,450,9825,2416,18.001791479999998,,,,,,
21.98,5,460,10088,1773,19.00812498,-0.6262191534042358,87,0.8834006786346436,0.2975117564201355,-5.3479180335998535,0.0014384498882876629
22.28,9,470,10297,1090,19.651490990000003,-2.1202471256256104,296,0.6541523933410645,0.21154606342315674,-5.982710361480713,0.0014384498882876629
25.98,18,480,10872,584,25.63290665,-5.402223587036133,871,0.29617467522621155,0.9221733808517456,-8.635770797729492,0.0014384498882876629
32.31,34,490,11708,337,41.826514440000004,-4.9553022384643555,1707,0.11953113228082657,2.2668638229370117,-15.55219841003418,0.0014384498882876629
39.0,52,500,12611,240,59.34758730999999,-2.5034680366516113,2610,0.06759833544492722,1.8353948593139648,-23.064456939697266,0.0014384498882876629
45.47,70,510,13538,190,75.42514183999998,1.3039309978485107,3537,0.0632765144109726,4.070160388946533,-30.340572357177734,0.0014384498882876629
53.24,91,520,14546,159,95.74925413999999,-0.6264850497245789,4545,0.07009381055831909,4.398024559020996,-43.311038970947266,0.0014384498882876629
61.86,110,530,15577,140,118.65249146000001,-0.5729346871376038,5576,0.07015339285135269,4.3003830909729,-50.98972702026367,0.0014384498882876629
70.35,131,540,16612,126,142.27627826000003,0.4616296589374542,6611,0.06823831051588058,3.705217123031616,-60.30427169799805,0.0014384498882876629
78.43,152,550,17668,115,165.02458098,-0.19506299495697021,7667,0.07021339982748032,5.501486301422119,-68.43955993652344,0.0014384498882876629
85.77,171,560,18665,108,186.86981712000005,0.44293439388275146,8664,0.06660199165344238,13.503408432006836,-75.91328430175781,0.0014384498882876629
93.65,188,570,19662,104,209.05656603999995,-0.5037044286727905,9661,0.07356199622154236,12.37464427947998,-82.61654663085938,0.0014384498882876629
97.13,205,580,20585,100,222.96305773,-0.03903450071811676,10584,0.06999590992927551,14.974820137023926,-86.48426818847656,0.0014384498882876629
99.09,223,590,21617,96,230.04728774,0.705843448638916,11616,0.07383248209953308,13.556173324584961,-92.75357055664062,0.0014384498882876629
100.85,245,600,22696,92,236.50979346,-1.7069259881973267,12695,0.07503563165664673,5.935537815093994,-101.28807067871094,0.0014384498882876629
102.47,265,610,23785,89,242.69808249,0.8686171770095825,13784,0.0703907310962677,7.6960768699646,-105.86636352539062,0.0014384498882876629
103.15,288,620,24861,86,246.48459007000002,-0.0747433453798294,14860,0.06374060362577438,6.769817352294922,-107.37968444824219,0.0014384498882876629
103.65,308,630,25942,84,248.63268943999995,-0.9547717571258545,15941,0.05617591366171837,5.685286521911621,-110.19193267822266,0.0014384498882876629
104.32,328,640,27044,82,250.72721982999997,-2.456049680709839,17043,0.06032738834619522,8.468072891235352,-111.61087799072266,0.0014384498882876629
104.72,346,650,28140,81,252.6258812,-0.03204315900802612,18139,0.05505763739347458,12.149198532104492,-114.83580017089844,0.0014384498882876629
106.34,369,660,29299,79,258.23273102,1.4876365661621094,19298,0.056481845676898956,9.343921661376953,-112.5068588256836,0.0014384498882876629
109.2,392,670,30582,77,264.66705154,-0.19212859869003296,20581,0.06442876160144806,9.937030792236328,-119.75496673583984,0.0014384498882876629
112.42,411,680,31827,77,273.28071833,0.2125074863433838,21826,0.06176052615046501,3.7841978073120117,-120.28783416748047,0.0014384498882876629
114.32,432,690,33049,76,278.55641779,0.42983269691467285,23048,0.05810937657952309,9.055103302001953,-123.32130432128906,0.0014384498882876629
115.67,452,700,34263,75,282.65641429000004,0.5756110548973083,24262,0.057256150990724564,16.466251373291016,-123.02153015136719,0.0014384498882876629
116.93,472,710,35478,75,287.69076642,0.807112991809845,25477,0.050765980035066605,5.82304573059082,-124.77297973632812,0.0014384498882876629
118.98,494,720,36759,74,290.15039145000003,-0.6828960180282593,26758,0.05938025936484337,9.07878303527832,-127.15948486328125,0.0014384498882876629
125.84,526,730,38526,73,292.77358444,-0.7559251189231873,28525,0.05606745183467865,5.478919982910156,-132.42294311523438,0.0014384498882876629
140.25,573,740,41069,71,325.77307179,0.7202694416046143,31068,0.069586843252182,13.244048118591309,-133.32769775390625,0.0014384498882876629
163.43,635,750,44483,69,387.30246556,-1.0228502750396729,34482,0.0717034637928009,6.819938659667969,-148.7994842529297,0.0014384498882876629
168.19,666,760,46118,69,405.3701206399999,0.028178729116916656,36117,0.07319783419370651,8.852461814880371,-144.60641479492188,0.0014384498882876629
178.78,706,770,48460,68,446.68604232000007,0.0721711665391922,38459,0.08873972296714783,15.152591705322266,-149.90676879882812,0.0014384498882876629
