time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss
940,35.05,41.913647,41,556,22940,0.0001623776739188721,646,0.9008537530899048,-0.5169587731361389,2.563318967819214,-10.416339874267578
950,36.75,45.027443,41,558,23260,0.0001623776739188721,662,0.8985470533370972,-0.5265704393386841,1.878519058227539,-10.028923988342285
960,39.37,48.709057,42,564,23800,0.0001623776739188721,689,0.8946747779846191,-0.5433686971664429,1.4573382139205933,-10.810300827026367
970,40.42,48.519672,42,568,24280,0.0001623776739188721,713,0.8912465572357178,-0.561773419380188,2.2751636505126953,-11.053135871887207
980,41.85,51.52583,43,571,24640,0.0001623776739188721,731,0.888698935508728,-0.5727154612541199,1.9681018590927124,-11.295787811279297
990,42.92,53.957577,43,575,25240,0.0001623776739188721,761,0.8844668865203857,-0.5981976985931396,2.3888065814971924,-11.53994369506836
1000,44.32,54.84978,44,578,25620,0.0001623776739188721,780,0.8817991614341736,-0.6168374419212341,2.500946044921875,-11.628347396850586
1010,45.49,56.18293,45,580,26200,0.0001623776739188721,809,0.8777273893356323,-0.6446244716644287,1.7356971502304077,-12.056098937988281
1020,47.11,58.53398,45,583,26580,0.0001623776739188721,828,0.8750748634338379,-0.6502864956855774,3.1466331481933594,-12.523866653442383
1030,47.37,58.821323,45,585,26860,0.0001623776739188721,842,0.8731365203857422,-0.6541851162910461,1.530961275100708,-12.474058151245117
1040,46.83,58.535786,46,587,27420,0.0001623776739188721,870,0.869266152381897,-0.6863806247711182,3.0013513565063477,-12.546863555908203
1050,47.01,60.077724,47,591,27960,0.0001623776739188721,897,0.8655514121055603,-0.700413703918457,2.7910497188568115,-13.017894744873047
1060,45.65,59.01932,47,596,28460,0.0001623776739188721,922,0.8621217608451843,-0.7110191583633423,2.178224802017212,-13.170766830444336
1070,46.78,62.48235,48,599,28860,0.0001623776739188721,942,0.8593899607658386,-0.729566216468811,1.0500136613845825,-13.568061828613281
1080,47.13,62.84178,48,603,29440,0.0001623776739188721,971,0.8554681539535522,-0.7452436089515686,2.505046844482422,-13.851019859313965
1090,48.08,65.12925,52,574,30160,0.0001623776739188721,1007,0.8506359457969666,-0.7701901197433472,3.0713047981262207,-14.078319549560547
1100,48.72,68.71756,53,577,30640,0.0001623776739188721,1031,0.8474165201187134,-0.7954220175743103,5.183093070983887,-14.48527717590332
1110,50.5,72.71159,53,582,31260,0.0001623776739188721,1062,0.8432949781417847,-0.7997169494628906,3.136171817779541,-15.277241706848145
1120,51.57,75.58191,54,584,31900,0.0001623776739188721,1094,0.839057981967926,-0.8278793096542358,2.335780620574951,-15.52250862121582
1130,52.71,79.16591,55,587,32580,0.0001623776739188721,1128,0.8346010446548462,-0.8568650484085083,4.505802154541016,-15.569101333618164
1140,54.0,80.60049,56,591,33220,0.0001623776739188721,1160,0.830424427986145,-0.8898834586143494,2.877737045288086,-15.451789855957031
1150,56.83,85.63553,56,593,33580,0.0001623776739188721,1178,0.8280850648880005,-0.8871197700500488,2.463679313659668,-16.29010581970215
1160,57.86,86.163506,57,598,34340,0.0001623776739188721,1216,0.823160707950592,-0.9051592350006104,1.9315353631973267,-17.047954559326172
1170,58.02,87.21293,57,599,34640,0.0001623776739188721,1231,0.821225643157959,-0.9288502931594849,3.730351448059082,-17.11042022705078
1180,58.43,90.14714,58,603,35320,0.0001623776739188721,1265,0.8168714642524719,-0.9279053211212158,4.916413307189941,-17.04291343688965
1190,58.39,91.21544,59,606,35940,0.0001623776739188721,1296,0.8129191994667053,-0.9520294666290283,2.120051860809326,-17.94244384765625
1200,58.83,93.52693,59,607,36380,0.0001623776739188721,1318,0.8101417422294617,-0.9872339963912964,4.032199859619141,-18.06752586364746
1210,57.44,92.39212,60,611,37140,0.0001623776739188721,1356,0.8053607940673828,-1.0132334232330322,2.2494843006134033,-18.579185485839844
1220,57.27,94.284645,61,614,37700,0.0001623776739188721,1384,0.8018606305122375,-1.0572617053985596,5.013728141784668,-18.518665313720703
1230,58.85,98.82893,61,618,38300,0.0001623776739188721,1414,0.7981328964233398,-1.0518038272857666,6.763230323791504,-19.04387664794922
1240,58.58,99.910164,62,621,38940,0.0001623776739188721,1446,0.7941768765449524,-1.0497866868972778,3.6854326725006104,-19.151254653930664
1250,58.7,103.34786,63,625,39520,0.0001623776739188721,1475,0.7906238436698914,-1.0914599895477295,3.5708701610565186,-19.42242431640625
1260,59.94,110.29942,71,566,40540,0.0001623776739188721,1526,0.7843719720840454,-1.100664734840393,5.607397079467773,-20.20514678955078
1270,62.29,118.304276,72,570,41120,0.0001623776739188721,1555,0.7808659672737122,-1.135440468788147,5.631384372711182,-21.849409103393555
1280,64.29,124.41275,73,575,42060,0.0001623776739188721,1602,0.7751998901367188,-1.161518931388855,8.36307144165039,-21.98149871826172
1290,67.99,133.78725,73,578,42640,0.0001623776739188721,1631,0.7717446088790894,-1.1944196224212646,9.100311279296875,-21.595272064208984
1300,70.41,140.80931,75,585,43920,0.0001623776739188721,1695,0.7641803622245789,-1.2069170475006104,6.176751136779785,-22.864953994750977
1310,73.46,148.7234,75,587,44300,0.0001623776739188721,1714,0.7619741559028625,-1.2207380533218384,6.741721153259277,-23.122539520263672
1320,74.67,152.46413,76,591,45100,0.0001623776739188721,1754,0.7573436498641968,-1.219137191772461,5.149697780609131,-23.637100219726562
1330,75.1,155.13657,77,595,45960,0.0001623776739188721,1797,0.7523781061172485,-1.2781741619110107,7.518270015716553,-24.346954345703125
1340,78.02,164.22546,78,599,46920,0.0001623776739188721,1845,0.7468788623809814,-1.284700632095337,12.405441284179688,-25.50786590576172
1350,78.99,167.67697,79,602,47640,0.0001623776739188721,1881,0.7428101301193237,-1.3270807266235352,5.274848461151123,-25.30083656311035
1360,80.12,170.14679,79,605,48320,0.0001623776739188721,1915,0.7389762997627258,-1.296281099319458,5.713709831237793,-25.83469581604004
1370,80.54,170.96785,80,610,49340,0.0001623776739188721,1966,0.7333009839057922,-1.3589340448379517,8.50299072265625,-27.194204330444336
