time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates
3112,340,14.5,0,10.467977833333334,10,,,,,,
3283,540,16.25,0,11.81637745,20,,,,,,
3350,820,17.967741935483872,0,12.835376870967742,30,,,,,,
3375,1120,18.452380952380953,0,13.779442928571427,40,,,,,,
3395,1320,19.5,0,14.999530360000001,50,,,,,,
3418,1560,20.916666666666668,0,16.652413183333334,60,,,,,,
3418,1820,21.014285714285716,0,16.57358308571429,70,,,,,,
3383,1980,20.775,0,16.34806385,80,,,,,,
3335,2180,21.477777777777778,0,17.676728588888885,90,,,,,,
3300,2380,21.78,0,18.4033216,100,,,,,,
3298,2740,22.32,0,18.81369454,110,,,,,,
3259,2940,23.29,0,19.730066490000002,120,,,,,,
3275,3200,23.46,0,20.15503992,130,,,,,,
3293,3440,23.5,1,19.807506949999997,140,,,,,,
3289,3700,24.52,1,21.414011759999998,150,,,,,,
3273,4000,23.51,1,20.06589286,160,,,,,,
3287,4200,24.11,1,20.481909209999998,170,,,,,,
3306,4460,24.47,1,21.164457430000002,180,,,,,,
3320,4680,24.53,1,21.01832397999999,190,,,,,,
3329,4820,24.45,1,20.776910190000002,200,,,,,,
3349,5020,24.08,1,20.62780449,210,,,,,,
3372,5280,22.9,1,19.70108999,220,,,,,,
3379,5400,22.75,1,19.265245979999996,230,,,,,,
3414,5660,22.87,1,19.393887469999996,240,,,,,,
3437,5880,21.7,1,17.71414367,250,,,,,,
3462,6120,22.48,1,19.10132296,260,,,,,,
3495,6400,21.92,1,18.461216950000004,270,,,,,,
3508,6600,22.12,1,18.468174480000002,280,,,,,,
3511,6700,20.9,1,16.363970549999998,290,,,,,,
3547,7000,21.42,1,17.10932657,300,,,,,,
3561,7280,21.89,2,17.201495050000002,310,,,,,,
3583,7520,22.27,2,17.15063354,320,,,,,,
3594,7720,22.12,2,17.332776539999998,330,,,,,,
3602,7900,22.46,2,18.78564801,340,,,,,,
3611,8060,21.94,2,18.244693800000004,350,,,,,,
3623,8280,21.95,2,18.05105485,360,,,,,,
3632,8500,21.55,2,17.91314064,370,,,,,,
3656,8780,21.08,2,17.3620018,380,,,,,,
3665,9000,21.87,2,18.88126634,390,,,,,,
3667,9140,21.42,2,17.948775419999997,400,,,,,,
3693,9400,21.56,2,18.430102240000004,410,,,,,,
3711,9620,21.87,2,19.08883231,420,,,,,,
3724,9800,21.86,2,19.158691970000003,430,,,,,,
473,10040,21.64,21,17.857915969999997,440,7.673110485076904,0.00021544346900318823,1.0,0.0,-1.957355260848999,1
476,10180,22.18,21,18.228875799999997,450,6.098556041717529,0.00021544346900318823,0.9984919428825378,-0.007583877071738243,-2.4664931297302246,8
483,10460,21.28,21,17.314461180000002,460,3.3800063133239746,0.00021544346900318823,0.9954773187637329,-0.022917062044143677,-3.361335277557373,22
485,10580,21.44,21,16.9350096,470,2.5235800743103027,0.00021544346900318823,0.9941877722740173,-0.029218005016446114,-3.8043265342712402,28
491,10800,21.23,21,16.565065450000002,480,1.887394666671753,0.00021544346900318823,0.991827130317688,-0.041279565542936325,-4.349301338195801,39
497,11060,20.61,22,15.535015779999998,490,1.7923057079315186,0.00021544346900318823,0.9890461564064026,-0.055417321622371674,-4.61720085144043,52
502,11300,20.82,22,16.486227919999997,500,1.383527159690857,0.00021544346900318823,0.9864874482154846,-0.06833095848560333,-4.572624683380127,64
507,11500,21.34,22,17.10132718,510,1.3667612075805664,0.00021544346900318823,0.9843594431877136,-0.0796961784362793,-4.816526412963867,74
511,11660,21.2,22,16.90955816,520,1.810747742652893,0.00021544346900318823,0.982660174369812,-0.08837184309959412,-4.98873233795166,82
515,11840,20.5,22,16.23132438,530,0.8713234663009644,0.00021544346900318823,0.9807519316673279,-0.09766706079244614,-5.018193244934082,91
518,12000,20.12,23,15.739088160000003,540,0.9796712398529053,0.00021544346900318823,0.9790605902671814,-0.10660155117511749,-5.114014625549316,99
523,12200,19.65,23,15.683746229999999,550,1.086885929107666,0.00021544346900318823,0.9769503474235535,-0.11765439808368683,-5.232721328735352,109
527,12420,20.02,23,15.89028662,560,0.574958324432373,0.00021544346900318823,0.9746352434158325,-0.13046397268772125,-5.363236427307129,120
532,12700,19.95,23,16.569021659999997,570,0.7269611358642578,0.00021544346900318823,0.9716948866844177,-0.14471659064292908,-5.445340156555176,134
535,12900,20.18,24,16.71156213,580,0.7219528555870056,0.00021544346900318823,0.9696019291877747,-0.1555270105600357,-5.5775604248046875,144
539,13100,21.4,24,18.70877608,590,0.5121445059776306,0.00021544346900318823,0.9675138592720032,-0.16666319966316223,-5.589561939239502,154
543,13400,21.36,24,18.32579378,600,0.74314284324646,0.00021544346900318823,0.9643903374671936,-0.18370191752910614,-5.842580795288086,169
547,13600,20.51,24,17.30961059,610,0.6877080202102661,0.00021544346900318823,0.9623125195503235,-0.19336161017417908,-5.922595977783203,179
552,13940,20.89,25,17.858308,620,0.8209966421127319,0.00021544346900318823,0.9587912559509277,-0.21303777396678925,-6.0838847160339355,196
555,14140,21.75,25,18.6387423,630,0.6013821363449097,0.00021544346900318823,0.9567255973815918,-0.22318428754806519,-6.142252445220947,206
557,14360,22.45,25,20.397467470000002,640,0.6303690671920776,0.00021544346900318823,0.9544607400894165,-0.23460125923156738,-6.266909122467041,217
561,14580,23.42,25,21.081436880000002,650,0.6894222497940063,0.00021544346900318823,0.9522016048431396,-0.2486179918050766,-6.25808048248291,228
566,14920,23.21,26,21.061711749999994,660,0.4948284327983856,0.00021544346900318823,0.9487183690071106,-0.2648366093635559,-6.4411516189575195,245
568,15060,24.25,26,22.55989322,670,0.5397357940673828,0.00021544346900318823,0.9472889304161072,-0.2737192213535309,-6.510272979736328,252
573,15400,24.67,26,22.821902579999996,680,0.5193912982940674,0.00021544346900318823,0.9438264966011047,-0.29205960035324097,-6.601816177368164,269
575,15560,23.84,27,21.667703349999996,690,0.40505170822143555,0.00021544346900318823,0.9422022700309753,-0.2989618182182312,-6.730731010437012,277
