time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/n_updates
3126,360,13.4,0,10.1315231,10,,,,,,
3306,560,16.3,0,13.28131815,20,,,,,,
3639,800,17.64516129032258,0,14.762924774193548,30,,,,,,
3913,1020,18.425,0,14.277583799999999,40,,,,,,
4061,1280,19.50943396226415,0,15.54193488679245,50,,,,,,
4205,1520,19.540983606557376,0,15.1121731147541,60,,,,,,
4209,1640,19.788732394366196,0,15.575897183098592,70,,,,,,
4304,1880,20.308641975308642,0,16.429140777777782,80,,,,,,
4348,2080,20.72222222222222,0,16.737047211111115,90,,,,,,
4405,2320,20.69,0,16.64244007,100,,,,,,
4428,2560,21.23,0,16.87804301,110,,,,,,
4463,2780,21.88,0,17.65970867,120,,,,,,
4457,3040,21.93,0,17.31938195,130,,,,,,
4470,3220,22.02,0,17.61737139,140,,,,,,
4469,3380,22.04,0,17.303347010000003,150,,,,,,
4398,3580,21.96,0,17.5564115,160,,,,,,
4446,3820,22.13,0,17.75121727,170,,,,,,
4496,4060,21.66,0,16.9562153,180,,,,,,
4554,4340,21.29,0,16.71829318,190,,,,,,
4537,4440,21.64,0,16.9837497,200,,,,,,
4583,4720,21.9,1,17.70601521,210,,,,,,
4584,5020,21.76,1,17.09529642,220,,,,,,
4644,5280,21.42,1,16.91447791,230,,,,,,
4651,5440,21.99,1,18.08142617,240,,,,,,
4668,5700,21.74,1,18.814022759999997,250,,,,,,
4701,5880,22.11,1,19.292433949999996,260,,,,,,
4747,6180,22.29,1,19.27469469,270,,,,,,
4795,6440,22.91,1,19.90556771,280,,,,,,
4848,6740,22.72,1,19.71070566,290,,,,,,
4870,6940,22.7,1,19.54229394,300,,,,,,
4871,7140,24.18,1,21.368741529999998,310,,,,,,
4894,7380,23.26,1,20.58159525,320,,,,,,
4865,7540,24.34,1,21.554195959999998,330,,,,,,
4855,7820,23.6,1,20.924442869999996,340,,,,,,
4832,8000,24.61,1,22.778086779999995,350,,,,,,
