rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef,train/n_updates,train/learning_rate
23.7,2570,10,20.434253599999998,237,0,,,,,,
22.7,2325,20,18.0675119,454,0,,,,,,
22.333333333333332,2546,30,17.941979000000003,670,0,,,,,,
21.2,2671,40,16.420184975,848,0,,,,,,
21.32,2811,50,16.685543340000002,1066,0,,,,,,
21.516666666666666,2901,60,16.786043033333332,1291,0,,,,,,
22.5,2682,70,19.472660442857148,1575,0,,,,,,
22.3,2660,80,18.511290775,1784,0,,,,,,
22.066666666666666,2488,90,17.983436422222223,1986,0,,,,,,
21.97,2512,100,18.052014240000002,2197,0,,,,,,
21.71,2487,110,17.58676052,2408,0,,,,,,
21.72,2411,120,17.839384659999997,2626,1,,,,,,
21.61,2380,130,17.621283440000003,2831,1,,,,,,
21.7,2418,140,17.889450139999997,3018,1,,,,,,
21.57,2421,150,18.02689824,3223,1,,,,,,
21.55,2467,160,17.99749736,3446,1,,,,,,
21.03,2427,170,16.10897537,3678,1,,,,,,
21.3,2408,180,16.80238506,3914,1,,,,,,
21.96,2440,190,17.53011988,4182,1,,,,,,
21.8,2440,200,17.374131540000004,4377,1,,,,,,
22.33,2436,210,17.79331451,4641,1,,,,,,
22.72,2460,220,18.160929369999998,4898,1,,,,,,
22.85,2401,230,18.06353429,5116,2,,,,,,
22.87,2418,240,18.186025719999996,5305,2,,,,,,
23.43,2451,250,18.452878249999998,5566,2,,,,,,
23.39,2435,260,18.598182849999997,5785,2,,,,,,
22.84,2443,270,18.216681230000003,5962,2,,,,,,
22.72,2461,280,18.05783051,6186,2,,,,,,
21.78,2443,290,17.42400732,6360,2,,,,,,
22.12,2442,300,17.92821819,6589,2,,,,,,
21.8,2434,310,17.928938990000002,6821,2,,,,,,
20.86,2434,320,17.05755145,6984,2,,,,,,
20.59,2413,330,17.094824409999998,7175,2,,,,,,
20.58,2421,340,16.959855179999998,7363,3,,,,,,
20.63,2423,350,17.963105050000003,7629,3,,,,,,
20.89,2407,360,17.63149213,7874,3,,,,,,
21.47,2419,370,18.31146587,8109,3,,,,,,
21.26,2399,380,18.31273962,8312,3,,,,,,
21.24,2391,390,18.29698088,8484,3,,,,,,
21.58,2386,400,18.142170750000002,8747,3,,,,,,
22.07,2327,410,18.47243075,9028,3,,,,,,
22.76,2329,420,19.043106090000002,9260,3,,,,,,
22.47,2334,430,18.710991379999996,9422,4,,,,,,
22.58,2337,440,18.848089060000003,9621,4,,,,,,
22.2,2353,450,18.15197603,9849,4,,,,,,
21.94,1838,460,18.70837099,10068,5,-0.06909023970365524,1.4259191751480103,-4.730654239654541,0.9864175915718079,67,0.00020691380811147902
22.12,1114,470,18.84559327,10321,9,-0.331281840801239,1.0228550434112549,-6.936009407043457,0.9361279010772705,320,0.00020691380811147902
