rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
26.20005,760,480,34,27.45,16720,-7.088260173797607,-0.43843987584114075,0.00026366508987303583,335,0.9156960248947144,0.8458253145217896
25.668922,770,485,35,26.95,17080,-7.464633941650391,-0.46412307024002075,0.00026366508987303583,353,0.9113787412643433,1.3286991119384766
26.17503,780,488,35,27.06,17340,-7.437853813171387,-0.4852277636528015,0.00026366508987303583,366,0.9082733392715454,0.8225904703140259
28.360916,790,492,35,28.04,17700,-7.7471923828125,-0.5059820413589478,0.00026366508987303583,384,0.9039889574050903,0.7160710096359253
29.05105,800,497,36,28.48,18060,-7.875312805175781,-0.5236993432044983,0.00026366508987303583,402,0.8997329473495483,1.4320402145385742
28.7049,810,501,36,28.78,18440,-7.826091289520264,-0.5534307956695557,0.00026366508987303583,421,0.895265519618988,1.422346830368042
31.739046,820,504,36,30.6,18660,-8.046871185302734,-0.5632320046424866,0.00026366508987303583,432,0.8926906585693359,0.787872314453125
33.336517,830,509,37,30.94,19060,-8.25988483428955,-0.5880376100540161,0.00026366508987303583,452,0.8880329728126526,0.9057586193084717
33.823776,840,513,37,31.25,19420,-8.528545379638672,-0.6119903326034546,0.00026366508987303583,470,0.8838681578636169,0.8828124403953552
36.502743,850,517,38,32.22,19780,-8.687692642211914,-0.6414581537246704,0.00026366508987303583,488,0.8797229528427124,0.9693863391876221
35.384724,860,466,43,32.07,20100,-8.659071922302246,-0.6605938673019409,0.00026366508987303583,504,0.8760538697242737,0.9391132593154907
40.746082,870,471,43,35.29,20500,-8.94116497039795,-0.6746939420700073,0.00026366508987303583,524,0.871492862701416,0.9029899835586548
40.749676,880,473,43,35.37,20680,-9.201658248901367,-0.6942753791809082,0.00026366508987303583,533,0.8694484829902649,0.4681788384914398
39.866947,890,478,44,35.14,21120,-9.064273834228516,-0.7215522527694702,0.00026366508987303583,555,0.8644648790359497,1.0064921379089355
37.667202,900,481,44,34.17,21480,-9.925004005432129,-0.7473729848861694,0.00026366508987303583,573,0.8604222536087036,1.1234089136123657
39.91695,910,485,44,34.83,21840,-10.16824722290039,-0.7583611011505127,0.00026366508987303583,591,0.8563917875289917,1.6976006031036377
40.944717,920,490,45,34.61,22320,-9.766313552856445,-0.7867511510848999,0.00026366508987303583,615,0.851065993309021,0.8397566080093384
42.355522,930,495,46,35.51,22800,-10.115884780883789,-0.8189258575439453,0.00026366508987303583,639,0.8457728028297424,0.9454885125160217
42.12883,940,499,46,35.89,23180,-10.063173294067383,-0.8498499393463135,0.00026366508987303583,658,0.841615617275238,0.6649494171142578
45.40144,950,503,46,38.63,23680,-10.018047332763672,-0.8736709356307983,0.00026366508987303583,683,0.8361706733703613,2.7104334831237793
48.591793,960,508,47,40.75,24140,-10.544657707214355,-0.895808756351471,0.00026366508987303583,706,0.8312005400657654,2.795781135559082
47.15892,970,512,47,39.74,24620,-10.786684036254883,-0.927498996257782,0.00026366508987303583,730,0.8260717988014221,2.345524787902832
49.490097,980,516,48,41.48,25040,-11.369560241699219,-0.9741576910018921,0.00026366508987303583,751,0.8215996623039246,2.798346996307373
50.91798,990,520,49,42.36,25580,-11.591663360595703,-0.985901951789856,0.00026366508987303583,778,0.8158823251724243,1.225541114807129
55.231426,1000,523,49,43.93,26080,-12.19189453125,-1.0328235626220703,0.00026366508987303583,803,0.8106539249420166,1.7688493728637695
57.830395,1010,530,50,45.44,26940,-12.230902671813965,-1.0541586875915527,0.00026366508987303583,846,0.8017339110374451,2.1867780685424805
61.700924,1020,534,51,47.87,27440,-12.070980072021484,-1.0967357158660889,0.00026366508987303583,871,0.7966102361679077,2.243443489074707
65.183495,1030,537,52,49.14,28000,-12.664493560791016,-1.1226887702941895,0.00026366508987303583,899,0.7909244894981384,1.6281253099441528
68.79573,1040,542,52,50.48,28660,-13.541669845581055,-1.1563323736190796,0.00026366508987303583,932,0.784308671951294,3.5897226333618164
72.638855,1050,545,53,51.68,29080,-13.237241744995117,-1.2016661167144775,0.00026366508987303583,953,0.7801230549812317,2.541682720184326
77.066925,1060,548,53,54.2,29580,-13.62109375,-1.2179688215255737,0.00026366508987303583,978,0.7751901745796204,1.2352831363677979
80.301506,1070,526,57,54.98,30040,-14.14944839477539,-1.2289550304412842,0.00026366508987303583,1001,0.7706649899482727,1.7879564762115479
83.16278,1080,531,57,54.86,30640,-14.232500076293945,-1.2471561431884766,0.00026366508987303583,1031,0.7648425102233887,0.7101757526397705
89.73208,1090,537,58,56.77,31480,-14.710397720336914,-1.317793846130371,0.00026366508987303583,1073,0.7567329406738281,2.6309702396392822
96.18817,1100,539,59,59.45,31960,-15.057426452636719,-1.2952277660369873,0.00026366508987303583,1097,0.7521410584449768,3.8448729515075684
100.11067,1110,544,60,60.43,32820,-15.963417053222656,-1.3944588899612427,0.00026366508987303583,1140,0.7440077662467957,2.9434502124786377
102.64787,1120,548,60,60.61,33400,-16.145355224609375,-1.4167698621749878,0.00026366508987303583,1169,0.7385920286178589,8.186457633972168
106.84145,1130,552,61,62.38,34200,-16.212974548339844,-1.4793193340301514,0.00026366508987303583,1209,0.7311801314353943,4.641972064971924
111.50177,1140,556,62,64.47,34840,-17.160276412963867,-1.4691646099090576,0.00026366508987303583,1241,0.7252833247184753,4.819538116455078
112.98597,1150,561,63,63.53,35520,-16.87749481201172,-1.5500152111053467,0.00026366508987303583,1275,0.7191368341445923,0.9485089778900146
118.193665,1160,566,64,63.76,36320,-17.64592742919922,-1.5696920156478882,0.00026366508987303583,1315,0.7119656205177307,5.739419937133789
123.308914,1170,570,64,65.99,36920,-18.493167877197266,-1.5859489440917969,0.00026366508987303583,1345,0.7066160440444946,5.251038551330566
133.04323,1180,577,66,70.32,38160,-18.62494659423828,-1.663943886756897,0.00026366508987303583,1407,0.6957399845123291,3.380866527557373
144.00581,1190,581,66,75.45,38840,-18.921573638916016,-1.681663990020752,0.00026366508987303583,1441,0.6898762583732605,8.961542129516602
145.42159,1200,587,67,75.41,39860,-19.845531463623047,-1.7048802375793457,0.00026366508987303583,1492,0.6811725497245789,2.661068916320801
153.46844,1210,535,75,78.15,40580,-20.122730255126953,-1.7211717367172241,0.00026366508987303583,1528,0.6751628518104553,4.915761947631836
156.06937,1220,539,76,78.34,41320,-20.283418655395508,-1.7402818202972412,0.00026366508987303583,1565,0.6690050959587097,9.770265579223633
162.5204,1230,544,77,80.22,42360,-21.198936462402344,-1.7631460428237915,0.00026366508987303583,1617,0.6604924201965332,7.5289411544799805
169.3398,1240,548,78,82.08,43060,-21.645524978637695,-1.886698603630066,0.00026366508987303583,1652,0.6548924446105957,5.998287200927734
176.07745,1250,551,79,84.74,44040,-22.08563804626465,-1.8457711935043335,0.00026366508987303583,1701,0.6471047401428223,6.989199638366699
178.34404,1260,554,80,85.28,44760,-22.607515335083008,-1.8799936771392822,0.00026366508987303583,1737,0.6414317488670349,6.827722549438477
183.6713,1270,558,81,86.96,45820,-23.614574432373047,-1.9736511707305908,0.00026366508987303583,1790,0.6331251263618469,3.346642017364502
185.0438,1280,561,82,86.84,46500,-24.149429321289062,-1.930880069732666,0.00026366508987303583,1824,0.6278941035270691,10.245979309082031
183.96025,1290,565,83,85.2,47520,-24.33057403564453,-1.9463179111480713,0.00026366508987303583,1875,0.620147705078125,2.7951393127441406
186.2008,1300,569,84,85.64,48260,-25.05507469177246,-1.9877737760543823,0.00026366508987303583,1912,0.6146175265312195,2.3010382652282715
186.99562,1310,573,85,85.98,49240,-25.10704803466797,-2.1446802616119385,0.00026366508987303583,1961,0.6074260473251343,8.757732391357422
