time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
7,670,17.650385,14820,20.9,1884,-0.056022629141807556,1.8004953861236572,-5.304478645324707,240,4.641588833612782e-05,0.9889335632324219
8,680,16.972078,14960,20.59,1869,-0.058031585067510605,2.053255081176758,-5.335792541503906,247,4.641588833612782e-05,0.988612174987793
8,690,17.425488,15300,21.03,1827,-0.061391107738018036,1.8145992755889893,-5.47796630859375,264,4.641588833612782e-05,0.9878317713737488
8,700,17.495537,15520,21.22,1798,-0.06414971500635147,1.9353523254394531,-5.592533111572266,275,4.641588833612782e-05,0.9873266220092773
8,710,18.479225,15800,21.82,1769,-0.0674135759472847,1.6988739967346191,-5.741185188293457,289,4.641588833612782e-05,0.9866845607757568
9,720,19.876654,16040,22.63,1745,-0.07070480287075043,2.174375057220459,-5.923879623413086,301,4.641588833612782e-05,0.986134946346283
9,730,19.237371,16200,22.24,1725,-0.07211817800998688,1.9411754608154297,-5.827770233154297,309,4.641588833612782e-05,0.9857686758041382
9,740,21.298182,16420,22.74,1704,-0.07473176717758179,2.0556983947753906,-5.979439735412598,320,4.641588833612782e-05,0.9852655529975891
9,750,21.547668,16600,22.49,1689,-0.07701404392719269,1.812462329864502,-6.0321245193481445,329,4.641588833612782e-05,0.984853982925415
9,760,22.258251,16720,22.8,1678,-0.07809023559093475,2.5914764404296875,-6.2862043380737305,335,4.641588833612782e-05,0.9845797419548035
10,770,21.758362,16940,22.28,1664,-0.08119609951972961,2.2292983531951904,-6.285505771636963,346,4.641588833612782e-05,0.9840770959854126
10,780,21.532448,17180,21.97,1647,-0.083390012383461,2.6770591735839844,-6.388082504272461,358,4.641588833612782e-05,0.9835284352302551
10,790,21.152842,17340,21.79,1634,-0.08574862033128738,2.1475610733032227,-6.485307216644287,366,4.641588833612782e-05,0.9831632375717163
10,800,20.803587,17500,21.31,1623,-0.08759848773479462,1.7018996477127075,-6.473440170288086,374,4.641588833612782e-05,0.9827980399131775
11,810,18.922909,17720,20.13,1609,-0.08948632329702377,1.9499516487121582,-6.66403865814209,385,4.641588833612782e-05,0.9822958707809448
11,820,18.539,17940,19.79,1595,-0.09224039316177368,1.899118185043335,-6.666996955871582,396,4.641588833612782e-05,0.9817946553230286
11,830,18.726742,18120,19.74,1584,-0.0952083021402359,2.4821767807006836,-6.8639631271362305,405,4.641588833612782e-05,0.9813849329948425
11,840,18.124737,18260,19.46,1569,-0.0963817834854126,3.076875686645508,-7.047654151916504,412,4.641588833612782e-05,0.9810660481452942
11,850,16.340694,18500,18.94,1546,-0.09887039661407471,2.931098461151123,-7.044349193572998,424,4.641588833612782e-05,0.9805198907852173
12,860,16.224907,18620,19.0,1539,-0.10008381307125092,1.487969160079956,-6.993995666503906,430,4.641588833612782e-05,0.9802469611167908
12,870,16.175413,18820,19.05,1528,-0.1025148332118988,2.3964762687683105,-7.138847827911377,440,4.641588833612782e-05,0.979792594909668
