time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
30,680,16.003502,14960,19.61,483,-0.057981330901384354,2.547382116317749,-5.355374813079834,247,4.641588833612782e-05,0.9886124134063721
31,690,17.093056,15200,20.41,486,-0.06033676117658615,1.7246646881103516,-5.499401092529297,259,4.641588833612782e-05,0.9880615472793579
31,700,17.557995,15400,20.82,489,-0.06320677697658539,2.202878713607788,-5.6038360595703125,269,4.641588833612782e-05,0.9876025319099426
31,710,18.864717,15680,21.55,493,-0.06611040234565735,1.7257013320922852,-5.699260711669922,283,4.641588833612782e-05,0.9869600534439087
32,720,19.443533,15940,22.14,496,-0.06903848797082901,2.0987486839294434,-5.781342029571533,296,4.641588833612782e-05,0.9863642454147339
32,730,17.649712,16120,21.08,498,-0.07112502306699753,2.0165164470672607,-5.858638763427734,305,4.641588833612782e-05,0.9859521985054016
32,740,16.871021,16280,20.49,499,-0.07327066361904144,2.5242061614990234,-5.959203720092773,313,4.641588833612782e-05,0.9855860471725464
32,750,19.88749,16460,21.82,502,-0.07540663331747055,2.424685001373291,-5.964043617248535,322,4.641588833612782e-05,0.985174298286438
32,760,19.801794,16620,21.59,504,-0.07723173499107361,2.0120387077331543,-5.973199844360352,330,4.641588833612782e-05,0.9848084449768066
33,770,20.236418,16800,21.81,505,-0.07896086573600769,2.0450873374938965,-6.013731956481934,339,4.641588833612782e-05,0.9843972325325012
33,780,20.398943,17020,21.8,507,-0.08213108777999878,2.2693614959716797,-6.276378631591797,350,4.641588833612782e-05,0.9838943481445312
33,790,19.182322,17240,21.23,510,-0.08441402018070221,1.6515507698059082,-6.424488544464111,361,4.641588833612782e-05,0.9833914637565613
33,800,18.731958,17420,20.79,512,-0.08685146272182465,2.4291038513183594,-6.497106075286865,370,4.641588833612782e-05,0.9829806089401245
34,810,17.509045,17640,19.7,515,-0.08877900242805481,2.568227529525757,-6.58575439453125,381,4.641588833612782e-05,0.9824783205986023
34,820,16.998587,17800,19.23,516,-0.09142471104860306,1.8561255931854248,-6.623223781585693,389,4.641588833612782e-05,0.9821135401725769
34,830,17.500282,18020,19.53,519,-0.09314163029193878,1.7572318315505981,-6.831480026245117,400,4.641588833612782e-05,0.9816123247146606
34,840,17.500938,18220,19.61,521,-0.09626231342554092,2.5215678215026855,-6.879786014556885,410,4.641588833612782e-05,0.9811568856239319
35,850,15.257094,18420,18.83,522,-0.0985364317893982,2.071131706237793,-6.8916916847229,420,4.641588833612782e-05,0.9807013869285583
35,860,15.581782,18520,19.01,524,-0.09943446516990662,2.220475196838379,-7.082942962646484,425,4.641588833612782e-05,0.9804736375808716
35,870,15.187041,18740,18.94,526,-0.10192335397005081,2.4074454307556152,-7.180853843688965,436,4.641588833612782e-05,0.9799731373786926
35,880,15.470933,18880,18.93,528,-0.10296948254108429,1.8218483924865723,-7.023682594299316,443,4.641588833612782e-05,0.9796552062034607
36,890,15.313628,19120,18.62,530,-0.10643728822469711,2.790440797805786,-7.333971977233887,455,4.641588833612782e-05,0.9791105389595032
