time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/n_updates
2485,380,10,13.363471,15.909090909090908,0,,,,,,
3043,700,20,16.571056,19.0,0,,,,,,
3240,880,30,18.201456,20.733333333333334,0,,,,,,
3155,1160,40,17.779345,21.536585365853657,0,,,,,,
3046,1340,50,16.937517,21.28,0,,,,,,
3006,1560,60,16.529182,21.39344262295082,0,,,,,,
3132,1860,70,16.710648,21.661971830985916,0,,,,,,
3103,1960,80,16.419077,21.3375,0,,,,,,
3162,2200,90,16.382463,21.31111111111111,0,,,,,,
3170,2420,100,17.330826,22.02,0,,,,,,
3193,2700,110,17.615314,22.54,0,,,,,,
3185,2840,120,17.61399,22.62,0,,,,,,
3211,3120,130,16.882647,22.13,0,,,,,,
3245,3280,140,16.960552,22.07,1,,,,,,
3289,3520,150,17.085802,21.9,1,,,,,,
3336,3720,160,17.14033,21.71,1,,,,,,
3405,3980,170,16.870747,21.18,1,,,,,,
3423,4200,180,16.811817,20.98,1,,,,,,
3458,4380,190,17.524014,21.58,1,,,,,,
3461,4560,200,16.438278,20.76,1,,,,,,
3450,4840,210,17.35504,21.29,1,,,,,,
3425,4960,220,17.123623,21.06,1,,,,,,
3405,5180,230,16.794754,20.66,1,,,,,,
3421,5480,240,17.117163,20.98,1,,,,,,
3474,5700,250,17.299868,20.94,1,,,,,,
3493,5840,260,17.93587,21.38,1,,,,,,
3497,5960,270,17.537895,21.12,1,,,,,,
3529,6180,280,17.376764,21.02,1,,,,,,
3560,6400,290,16.442171,20.44,1,,,,,,
3555,6480,300,16.491087,20.22,1,,,,,,
3601,6820,310,15.739986,19.55,1,,,,,,
3604,6940,320,15.792406,20.07,1,,,,,,
3615,7200,330,16.27134,20.46,1,,,,,,
3617,7360,340,15.930133,20.23,2,,,,,,
3639,7660,350,15.976579,20.32,2,,,,,,
3624,7820,360,15.591813,19.9,2,,,,,,
3653,8100,370,15.776312,20.3,2,,,,,,
3658,8280,380,15.815782,20.32,2,,,,,,
3641,8520,390,16.817924,21.19,2,,,,,,
3643,8740,400,17.206282,21.71,2,,,,,,
3635,8920,410,17.360058,21.63,2,,,,,,
3649,9180,420,17.782326,21.44,2,,,,,,
3648,9420,430,18.889162,21.98,2,,,,,,
3647,9580,440,18.894117,22.26,2,,,,,,
3662,9860,450,18.626396,21.8,2,,,,,,
3518,10140,460,19.76207,22.34,2,-2.4353933334350586,-0.0053815683349967,0.00021544346900318823,6.404670715332031,0.9989228844642639,6
3259,10360,470,20.288025,22.9,3,-3.2204134464263916,-0.017355583608150482,0.00021544346900318823,3.7931222915649414,0.9965547919273376,17
2972,10560,480,19.820839,22.38,3,-3.73288631439209,-0.028097426518797874,0.00021544346900318823,2.4070982933044434,0.9944048523902893,27
2771,10760,490,20.1034,22.73,3,-4.507345676422119,-0.03912116959691048,0.00021544346900318823,1.7091044187545776,0.9922598600387573,37
2557,11020,500,19.94806,22.71,4,-4.751703262329102,-0.053352952003479004,0.00021544346900318823,1.2745225429534912,0.9894778728485107,50
2447,11160,510,19.683954,22.97,4,-4.835617542266846,-0.06088598072528839,0.00021544346900318823,1.473498821258545,0.9879835844039917,57
2319,11460,520,18.386385,22.1,4,-4.955924034118652,-0.07712778449058533,0.00021544346900318823,1.409792423248291,0.98478764295578,72
2250,11640,530,17.108313,21.66,5,-4.999350070953369,-0.08731793612241745,0.00021544346900318823,0.9831362962722778,0.9828769564628601,81
2165,11860,540,17.67361,21.64,5,-5.223949432373047,-0.09907017648220062,0.00021544346900318823,0.9520964622497559,0.9805476665496826,92
2108,12040,550,17.962221,21.94,5,-5.195918083190918,-0.10879044979810715,0.00021544346900318823,1.315774917602539,0.9786484241485596,101
2026,12320,560,18.010674,21.98,6,-5.411275386810303,-0.12384629994630814,0.00021544346900318823,0.6001886129379272,0.9756962656974792,115
1991,12460,570,17.691893,21.64,6,-5.304649829864502,-0.13130640983581543,0.00021544346900318823,0.8756150603294373,0.9742231965065002,122
1919,12680,580,17.912003,21.7,6,-5.493495464324951,-0.14331042766571045,0.00021544346900318823,0.7847186326980591,0.9719151854515076,133
1878,12860,590,17.864069,21.25,6,-5.6139631271362305,-0.15334415435791016,0.00021544346900318823,0.5319063663482666,0.9700304269790649,142
1831,13120,600,17.63106,21.18,7,-5.736518383026123,-0.16738662123680115,0.00021544346900318823,0.5775127410888672,0.9673130512237549,155
1782,13360,610,17.861135,21.14,7,-5.861966133117676,-0.18109899759292603,0.00021544346900318823,0.6542539000511169,0.9648124575614929,167
1743,13640,620,18.697084,22.08,7,-5.90873384475708,-0.19646653532981873,0.00021544346900318823,0.6139382123947144,0.9619017243385315,181
1709,13880,630,19.073835,22.31,8,-6.17120361328125,-0.20880961418151855,0.00021544346900318823,0.6781775951385498,0.9594140648841858,193
1684,14060,640,19.300013,22.41,8,-6.086910247802734,-0.21908891201019287,0.00021544346900318823,0.7147116661071777,0.957552969455719,202
1664,14260,650,19.657755,22.51,8,-6.297740936279297,-0.23039883375167847,0.00021544346900318823,0.7144383192062378,0.9554905295372009,212
1631,14520,660,19.270197,22.75,8,-6.301004409790039,-0.2446746528148651,0.00021544346900318823,0.7679571509361267,0.9528174996376038,225
1602,14820,670,19.441963,22.56,9,-6.553947448730469,-0.2586193084716797,0.00021544346900318823,0.6498208045959473,0.9497423768043518,240
1576,15040,680,19.77008,23.17,9,-6.549093246459961,-0.2720685601234436,0.00021544346900318823,0.9120423197746277,0.9474979639053345,251
1555,15320,690,20.853952,23.89,9,-6.723334312438965,-0.28775784373283386,0.00021544346900318823,0.670219361782074,0.9446476697921753,265
1533,15540,700,20.98848,24.37,10,-6.690603733062744,-0.29921838641166687,0.00021544346900318823,0.8952450752258301,0.9424120187759399,276
