time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/n_updates
462,20200,850,33.39849,30.74,43,-9.00711441040039,-0.5425935983657837,0.00021544346900318823,1.4339427947998047,0.8964954018592834,509
466,20640,860,36.331223,32.18,44,-9.122903823852539,-0.5704215168952942,0.00021544346900318823,1.0578601360321045,0.8922919034957886,531
469,21000,870,37.709167,32.89,44,-9.221336364746094,-0.5893350839614868,0.00021544346900318823,1.0242843627929688,0.8888678550720215,549
473,21400,880,39.142174,33.97,45,-9.481086730957031,-0.6039985418319702,0.00021544346900318823,0.7702144384384155,0.8850916028022766,569
476,21760,890,39.89113,34.9,45,-9.351186752319336,-0.6189886331558228,0.00021544346900318823,1.4940340518951416,0.8817048072814941,587
480,22180,900,41.453804,36.22,46,-10.022944450378418,-0.6380847692489624,0.00021544346900318823,1.6465847492218018,0.8777697682380676,608
483,22620,910,44.156147,37.64,46,-9.84736156463623,-0.6595849990844727,0.00021544346900318823,0.7939267158508301,0.8736743927001953,630
487,23080,920,44.394917,38.2,47,-9.990121841430664,-0.6929593086242676,0.00021544346900318823,1.968665599822998,0.8694244623184204,653
491,23440,930,47.606026,38.86,47,-10.40025520324707,-0.7104693055152893,0.00021544346900318823,1.5025264024734497,0.8661071062088013,671
495,23960,940,46.06721,39.15,48,-10.991493225097656,-0.7256228923797607,0.00021544346900318823,1.5991182327270508,0.8613431453704834,697
500,24480,950,46.746708,40.51,48,-11.04781436920166,-0.7605704069137573,0.00021544346900318823,1.4145572185516357,0.8566359281539917,723
502,24840,960,47.86878,41.2,49,-11.122817993164062,-0.7602516412734985,0.00021544346900318823,2.4427683353424072,0.8533991575241089,741
506,25460,970,50.296234,43.27,50,-11.618171691894531,-0.8087726831436157,0.00021544346900318823,4.622699737548828,0.8478430509567261,772
509,25880,980,50.462658,43.42,50,-11.813131332397461,-0.8316865563392639,0.00021544346900318823,1.6325043439865112,0.8440927863121033,793
514,26420,990,53.32395,44.22,51,-11.91579532623291,-0.8630111813545227,0.00021544346900318823,1.3999614715576172,0.8393263220787048,820
518,26960,1000,57.927216,46.65,52,-12.191694259643555,-0.8808640241622925,0.00021544346900318823,2.1018850803375244,0.8345702290534973,847
522,27480,1010,57.845264,46.12,52,-12.638439178466797,-0.9013808965682983,0.00021544346900318823,2.5045483112335205,0.8300204277038574,873
527,28080,1020,65.14768,49.92,53,-13.11046314239502,-0.917401909828186,0.00021544346900318823,1.8543925285339355,0.8248324394226074,903
532,28760,1030,65.75459,50.47,54,-13.247176170349121,-0.9544639587402344,0.00021544346900318823,1.7599281072616577,0.8189907073974609,937
536,29240,1040,70.862495,53.07,54,-14.128381729125977,-0.9599627256393433,0.00021544346900318823,2.2684855461120605,0.8148830533027649,961
540,29740,1050,74.09348,53.62,55,-13.432585716247559,-0.9830862283706665,0.00021544346900318823,3.033095598220825,0.8106631636619568,986
