time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss
930,181.08002,37560,85.03,551,68,-14.799875259399414,-6.565651893615723,0.002335721469090121,0.06876562535762787,1377,2.870278835296631
940,180.35457,38180,85.15,554,68,-15.417669296264648,-5.054399013519287,0.002335721469090121,0.06594625115394592,1408,1.1526238918304443
950,180.16281,39340,85.38,561,70,-15.421415328979492,-4.212096214294434,0.002335721469090121,0.06126609817147255,1466,1.8273990154266357
960,179.1651,39900,85.41,563,70,-16.337207794189453,-3.6228179931640625,0.002335721469090121,0.05917256698012352,1494,2.2618815898895264
970,178.0353,41120,85.07,516,79,-17.115222930908203,-5.779080390930176,0.002335721469090121,0.05465051531791687,1555,0.7127067446708679
980,176.31029,41540,84.83,519,79,-16.9715633392334,-5.5306878089904785,0.002335721469090121,0.053324099630117416,1576,1.725496530532837
990,177.1214,42840,85.16,524,81,-17.558237075805664,-6.405635356903076,0.002335721469090121,0.04951496794819832,1641,1.9136338233947754
1000,176.97945,43200,85.24,525,82,-17.46613311767578,-4.536273002624512,0.002335721469090121,0.048446282744407654,1659,3.217532157897949
1010,176.05756,44520,85.1,529,84,-18.304115295410156,-5.370136260986328,0.002335721469090121,0.045255906879901886,1725,1.1402827501296997
1020,175.27519,44820,85.04,531,84,-18.103870391845703,-6.237917900085449,0.002335721469090121,0.04449772089719772,1740,2.6588070392608643
1030,174.88168,46140,85.0,537,85,-19.659738540649414,-5.408097743988037,0.002335721469090121,0.04136029630899429,1806,2.2221357822418213
1040,174.27098,46520,84.77,538,86,-18.76864242553711,-6.191973686218262,0.002335721469090121,0.04051808640360832,1825,3.8767571449279785
1050,173.17754,47820,84.35,543,87,-21.135835647583008,-4.302903175354004,0.002335721469090121,0.038144055753946304,1890,3.807313919067383
1060,174.09529,48280,84.59,545,88,-19.926040649414062,-2.5696663856506348,0.002335721469090121,0.03752986341714859,1913,2.135742664337158
1070,173.37703,49480,84.47,550,89,-20.452922821044922,-3.4425554275512695,0.002335721469090121,0.03545313701033592,1973,1.6833181381225586
