time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss
680,42.162453,16640,35.45,1335,12,-5.486728668212891,-3.8098020553588867,0.002335721469090121,0.4631868600845337,331,0.4872768819332123
690,44.583847,17160,36.98,1311,13,-5.621036052703857,-4.090661525726318,0.002335721469090121,0.43620991706848145,357,0.3438659906387329
700,49.52479,17820,39.46,1282,13,-5.710245609283447,-4.390459060668945,0.002335721469090121,0.40429753065109253,390,0.525497555732727
710,53.892212,18260,41.72,1261,14,-5.9762067794799805,-4.639864444732666,0.002335721469090121,0.38444459438323975,412,0.4457234740257263
720,58.197033,19020,43.85,1224,15,-5.952730178833008,-4.847602367401123,0.002335721469090121,0.35261136293411255,450,0.4675029516220093
730,63.088577,19700,46.75,1204,16,-6.423394203186035,-5.413661956787109,0.002335721469090121,0.3266936242580414,484,0.6877399682998657
740,65.98556,20160,48.78,1191,16,-6.4616498947143555,-5.558811664581299,0.002335721469090121,0.31028690934181213,507,0.46531862020492554
750,69.329704,20800,51.84,1177,17,-6.63616943359375,-5.825790882110596,0.002335721469090121,0.28893399238586426,539,0.6470643281936646
760,71.38669,21260,52.65,1160,18,-6.684395790100098,-5.9208784103393555,0.002335721469090121,0.2747765779495239,562,0.8085994720458984
770,70.82377,21860,52.0,1142,19,-6.802827835083008,-5.98715353012085,0.002335721469090121,0.2574390769004822,592,0.37038367986679077
780,76.25329,22180,54.91,1133,19,-6.918622016906738,-6.114262580871582,0.002335721469090121,0.24868398904800415,608,0.4388790428638458
790,79.50889,22780,56.15,1125,20,-7.07205867767334,-5.899383544921875,0.002335721469090121,0.2331690490245819,638,0.6004890203475952
800,79.17822,23320,55.35,1119,20,-7.476850509643555,-6.286276817321777,0.002335721469090121,0.2202068716287613,665,0.27652260661125183
810,77.95535,23640,54.15,1112,21,-7.165135860443115,-6.252369403839111,0.002335721469090121,0.21302805840969086,681,0.4724583029747009
820,76.15467,24180,53.42,1105,21,-7.743437767028809,-6.708014011383057,0.002335721469090121,0.20146355032920837,708,0.2837985157966614
830,75.1404,24540,51.77,1102,22,-7.757925033569336,-7.665658950805664,0.002335721469090121,0.194306418299675,726,0.4971623718738556
840,79.11061,25480,52.0,1089,23,-8.558067321777344,-7.259509563446045,0.002335721469090121,0.1764039844274521,773,0.8195005655288696
850,84.763275,26400,51.96,1080,24,-8.491449356079102,-7.234576225280762,0.002335721469090121,0.16120459139347076,819,0.7213992476463318
860,95.20245,26900,55.48,1074,25,-9.325109481811523,-7.879302501678467,0.002335721469090121,0.15357589721679688,844,0.8352171182632446
870,108.233154,28140,59.87,1060,26,-9.169817924499512,-6.9323201179504395,0.002335721469090121,0.13712327182292938,906,0.6903984546661377
880,115.482285,28540,61.81,1050,27,-9.780806541442871,-5.101314067840576,0.002335721469090121,0.13217639923095703,926,0.9405680894851685
890,123.659225,29540,64.67,1035,28,-9.799839973449707,-5.458731651306152,0.002335721469090121,0.12131211161613464,976,0.4510135054588318
900,134.35619,30280,68.81,1027,29,-10.767129898071289,-6.430152893066406,0.002335721469090121,0.11409265547990799,1013,0.6150630712509155
910,145.41435,31140,72.94,1021,30,-10.827113151550293,-6.958943843841553,0.002335721469090121,0.10684589296579361,1056,0.7712977528572083
920,155.04123,32080,76.3,1013,31,-10.665122985839844,-4.846524238586426,0.002335721469090121,0.09973758459091187,1103,1.1551995277404785
930,166.41785,32880,80.42,1009,32,-11.406806945800781,-5.801612854003906,0.002335721469090121,0.09396625310182571,1143,1.8627427816390991
