time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef
730,122.72,32,1123,283.26418320000005,37002,27001,-164.5792236328125,59.962310791015625,-0.13430294394493103,0.0001623776739188721,0.114405058324337
740,122.5,32,1166,288.03505946999996,38260,28259,-161.75592041015625,158.44537353515625,0.15421226620674133,0.0001623776739188721,0.10961335152387619
750,125.0,32,1208,295.82137107,39480,29479,-164.18698120117188,59.09711456298828,-0.2850951552391052,0.0001623776739188721,0.10700643062591553
760,127.74,32,1259,304.10599471,40720,30719,-161.84674072265625,138.947509765625,0.4223349392414093,0.0001623776739188721,0.10077884793281555
770,129.67,32,1301,310.42103741000005,41980,31979,-158.62969970703125,24.993946075439453,-0.11255697906017303,0.0001623776739188721,0.09663084149360657
780,129.33,31,1356,315.0206395900001,43312,33311,-155.7168731689453,41.84183883666992,-0.10853639245033264,0.0001623776739188721,0.09347490221261978
790,127.54,31,1411,317.06782532000005,44646,34645,-156.029296875,29.828567504882812,0.8384106755256653,0.0001623776739188721,0.09479831904172897
800,127.56,31,1452,319.80124444000006,45914,35913,-150.3592987060547,16.375225067138672,-0.29616737365722656,0.0001623776739188721,0.09285739064216614
810,130.46,31,1519,329.05120349000003,47491,37490,-154.42803955078125,101.1737060546875,1.0651239156723022,0.0001623776739188721,0.0995229110121727
820,130.94,30,1577,328.34165110000004,48786,38785,-148.7054901123047,57.816505432128906,0.6642485857009888,0.0001623776739188721,0.10742900520563126
