time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef
10,20.3,1668,0,15.605633000000001,203,,,,,,
20,20.85,2081,0,14.04508175,417,,,,,,
30,20.3,2296,0,14.465711633333335,609,,,,,,
40,20.425,2471,0,15.361151674999999,817,,,,,,
50,21.56,2648,0,16.442269120000002,1078,,,,,,
60,22.25,2718,0,16.875800883333334,1335,,,,,,
70,22.15714285714286,2804,0,16.62181882857143,1551,,,,,,
80,23.2375,2810,0,18.84266745,1859,,,,,,
90,23.044444444444444,2814,0,18.841514677777777,2074,,,,,,
100,23.17,2738,0,19.028731399999998,2317,,,,,,
110,22.82,2723,0,18.73121674,2485,,,,,,
120,22.9,2736,0,19.483508649999997,2707,,,,,,
130,23.04,2751,1,19.63159929,2913,,,,,,
140,22.9,2780,1,19.410548240000004,3107,,,,,,
150,22.39,2759,1,18.9310484,3317,,,,,,
160,22.04,2756,1,18.76865322,3539,,,,,,
170,21.87,2749,1,19.13761229,3738,,,,,,
180,20.28,2765,1,16.795311969999997,3887,,,,,,
190,20.8,2797,1,17.13730373,4154,,,,,,
200,20.17,2753,1,16.725159570000002,4334,,,,,,
210,20.86,2692,1,17.132165770000004,4571,,,,,,
220,20.18,2695,1,16.35599836,4725,,,,,,
230,21.17,2721,1,18.197670319999997,5030,,,,,,
240,21.83,2725,1,19.06590753,5290,,,,,,
250,21.91,2744,2,19.410541079999998,5508,,,,,,
260,23.04,2767,2,20.376118150000003,5843,,,,,,
270,23.34,2724,2,20.107545500000004,6072,,,,,,
280,23.83,2711,2,20.308741780000002,6270,,,,,,
290,22.82,2648,2,19.24514616,6436,,,,,,
300,22.8,2655,2,18.739367559999998,6614,,,,,,
310,22.43,2632,2,18.61092617,6814,,,,,,
320,23.17,2644,2,19.22386806,7042,,,,,,
330,22.55,2649,2,17.54175232,7285,,,,,,
340,22.13,2636,2,17.11377149,7503,,,,,,
350,22.01,2649,2,16.844543509999998,7709,,,,,,
360,20.65,2635,3,15.582548580000001,7908,,,,,,
370,21.45,2629,3,18.04571012,8217,,,,,,
380,21.3,2620,3,18.070527090000002,8400,,,,,,
390,22.22,2584,3,19.41936092,8658,,,,,,
400,22.39,2564,3,19.98654013,8853,,,,,,
