time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
3634,0,340,10,7.970055599999999,12.7,,,,,,
3858,0,560,20,11.095233666666667,16.238095238095237,,,,,,
3942,0,700,30,10.939652399999996,16.066666666666666,,,,,,
4087,0,920,40,12.264443170731708,16.682926829268293,,,,,,
4023,0,1220,50,12.9961075,17.74,,,,,,
3924,0,1480,60,14.488854539682539,19.761904761904763,,,,,,
3903,0,1600,70,14.846621442857145,19.928571428571427,,,,,,
3877,0,1900,80,15.222756350000001,20.3875,,,,,,
3814,0,2060,90,16.135432177777776,20.8,,,,,,
3801,0,2260,100,15.550695309999998,20.44,,,,,,
3790,0,2520,110,16.028203039999998,20.93,,,,,,
3732,0,2760,120,15.78049136,20.82,,,,,,
3669,0,2960,130,16.39349058,21.65,,,,,,
3639,0,3180,140,16.07534562,21.41,,,,,,
3601,0,3320,150,17.632292310000004,21.84,,,,,,
3577,1,3600,160,17.87499381,21.27,,,,,,
3537,1,3740,170,17.377224239999997,21.07,,,,,,
3504,1,3980,180,16.80311288,20.43,,,,,,
3493,1,4140,190,15.73529722,19.96,,,,,,
3491,1,4400,200,16.241278649999998,19.83,,,,,,
3472,1,4620,210,17.97732662,21.2,,,,,,
3444,1,4860,220,18.25218804,21.32,,,,,,
3440,1,5020,230,19.66701483,21.89,,,,,,
3468,1,5300,240,19.66173216,22.01,,,,,,
3478,1,5460,250,18.01442085,21.62,,,,,,
3479,1,5620,260,16.983995059999998,21.31,,,,,,
3496,1,5840,270,16.75890516,20.84,,,,,,
3492,1,6040,280,16.701122239999997,20.82,,,,,,
3492,1,6180,290,16.784563390000002,20.65,,,,,,
3505,1,6360,300,18.60741871,21.41,,,,,,
3510,1,6480,310,16.671092769999998,20.05,,,,,,
3528,1,6740,320,15.941797,19.45,,,,,,
3540,1,6900,330,14.08464475,18.5,,,,,,
3556,2,7120,340,14.311612100000001,18.61,,,,,,
3586,2,7440,350,14.87178901,18.78,,,,,,
3585,2,7580,360,14.781001460000002,18.67,,,,,,
3589,2,7720,370,14.90455208,19.15,,,,,,
3604,2,8080,380,15.462816710000002,19.47,,,,,,
3613,2,8360,390,17.200112299999997,20.23,,,,,,
3621,2,8520,400,17.11765185,20.94,,,,,,
3645,2,8860,410,17.20332668,21.26,,,,,,
3647,2,9000,420,18.687461419999998,22.52,,,,,,
3654,2,9180,430,18.969054999999997,22.43,,,,,,
3671,2,9400,440,20.11914617,22.9,,,,,,
3682,2,9620,450,19.77967252,22.71,,,,,,
3684,2,9840,460,20.125760359999997,23.04,,,,,,
1074,9,10000,470,20.247145730000003,22.94,,,,,,
1011,10,10240,480,20.37790304,23.28,-3.987729549407959,-0.030311383306980133,2.3178014755249023,0.0005994842503189409,0.9940182566642761,11
1007,10,10420,490,18.254921180000004,22.58,-4.703442096710205,-0.05734889209270477,1.7397258281707764,0.0005994842503189409,0.9886615872383118,20
1005,10,10560,500,16.128848819999998,21.08,-4.333386421203613,-0.07855895906686783,1.1602835655212402,0.0005994842503189409,0.9845141172409058,27
1007,10,10860,510,16.41967519,21.05,-4.844637870788574,-0.12460145354270935,0.6750421524047852,0.0005994842503189409,0.9756852984428406,42
1005,11,11100,520,15.827519489999997,20.36,-4.906417369842529,-0.16065768897533417,0.6089656352996826,0.0005994842503189409,0.9686840176582336,54
1004,11,11300,530,16.94139056,21.18,-5.030123233795166,-0.19070716202259064,0.4535883665084839,0.0005994842503189409,0.9628883004188538,64
1002,11,11560,540,16.029165609999996,20.68,-5.159211158752441,-0.2301723062992096,0.34777724742889404,0.0005994842503189409,0.9554070830345154,77
999,11,11840,550,16.51440409,20.94,-5.2184600830078125,-0.2730434238910675,0.45033276081085205,0.0005994842503189409,0.9474130272865295,91
1000,12,12120,560,17.557047620000002,21.37,-5.350168228149414,-0.31484466791152954,0.42355623841285706,0.0005994842503189409,0.9394910335540771,105
1002,12,12360,570,19.24501076,21.89,-5.514506816864014,-0.3496450185775757,0.29776138067245483,0.0005994842503189409,0.9327524304389954,117
1004,12,12640,580,19.560591849999998,21.86,-5.487515449523926,-0.3918967843055725,0.40899336338043213,0.0005994842503189409,0.9249507784843445,131
1003,12,12840,590,20.64089005,22.25,-5.532716751098633,-0.4231581687927246,0.28290456533432007,0.0005994842503189409,0.9194213151931763,141
1002,13,13060,600,23.229156840000005,23.59,-5.641384124755859,-0.4573257565498352,0.5034115314483643,0.0005994842503189409,0.9133768081665039,152
1002,13,13300,610,23.503809210000007,23.88,-5.663550853729248,-0.49164170026779175,0.4027361571788788,0.0005994842503189409,0.9068269729614258,164
1003,13,13560,620,23.815430269999997,24.19,-5.758213043212891,-0.5338586568832397,0.39057135581970215,0.0005994842503189409,0.89979088306427,177
1001,13,13780,630,22.87748853,23.55,-5.908271312713623,-0.5629515647888184,0.3921182155609131,0.0005994842503189409,0.8938833475112915,188
1000,14,14020,640,25.166625640000003,25.2,-5.941314697265625,-0.6043002009391785,0.3674069344997406,0.0005994842503189409,0.8874846696853638,200
1001,14,14300,650,24.790834620000002,24.85,-5.998852729797363,-0.6369011402130127,0.38861680030822754,0.0005994842503189409,0.880072832107544,214
1003,14,14560,660,24.902306349999993,24.81,-5.985124111175537,-0.6819038391113281,0.4156095087528229,0.0005994842503189409,0.8732559680938721,227
1003,14,14920,670,26.404525470000003,25.81,-5.964259147644043,-0.7314387559890747,0.3997485041618347,0.0005994842503189409,0.8639056086540222,245
1003,15,15220,680,26.670670680000004,26.54,-6.155243873596191,-0.7764852046966553,0.5665631294250488,0.0005994842503189409,0.8561933636665344,260
1003,15,15400,690,26.088565030000005,26.08,-6.442516803741455,-0.8113824129104614,0.39948028326034546,0.0005994842503189409,0.8516021966934204,269
1003,15,15720,700,26.436876460000004,26.79,-6.402869701385498,-0.8547946214675903,0.38818246126174927,0.0005994842503189409,0.8434905409812927,285
1002,16,16140,710,26.89236995,27.73,-6.540762901306152,-0.9133392572402954,0.38377439975738525,0.0005994842503189409,0.8329713344573975,306
1002,16,16500,720,27.68164006,27.68,-6.63889217376709,-0.9682284593582153,0.34498482942581177,0.0005994842503189409,0.8240717649459839,324
1003,16,16780,730,29.129710220000003,28.98,-6.945003986358643,-1.0086748600006104,0.43713945150375366,0.0005994842503189409,0.8172144293785095,338
1005,17,17360,740,29.646340249999998,29.8,-6.963752746582031,-1.097353219985962,0.5030037760734558,0.0005994842503189409,0.8031821250915527,367
1002,17,17800,750,34.20689089,32.56,-7.469215393066406,-1.1646968126296997,0.646436333656311,0.0005994842503189409,0.7927078604698181,389
1000,18,18120,760,36.40257836000001,34.3,-7.588305950164795,-1.2020944356918335,0.42009538412094116,0.0005994842503189409,0.7851892113685608,405
996,18,18480,770,37.252255979999994,35.33,-7.495336532592773,-1.2528207302093506,0.7029120922088623,0.0005994842503189409,0.7768478989601135,423
996,18,18880,780,39.14435416,35.98,-7.661076545715332,-1.3135020732879639,0.4312935471534729,0.0005994842503189409,0.7676762938499451,443
996,19,19380,790,42.7486071,37.95,-7.800972938537598,-1.3629547357559204,0.638367235660553,0.0005994842503189409,0.7563799619674683,468
998,19,19920,800,45.84050611999999,39.6,-8.19478988647461,-1.4481356143951416,0.43057161569595337,0.0005994842503189409,0.7444140315055847,495
822,24,20140,810,50.17602647,40.88,-8.316947937011719,-1.4764375686645508,0.636359691619873,0.0005994842503189409,0.7395882606506348,506
827,25,21080,820,51.01621517999999,42.66,-8.811254501342773,-1.618349552154541,1.0379225015640259,0.0005994842503189409,0.7193821668624878,553
830,26,21660,830,56.19373463,45.27,-8.660690307617188,-1.6833316087722778,0.577094316482544,0.0005994842503189409,0.7072200179100037,582
831,26,21980,840,60.83008532000001,47.84,-9.048526763916016,-1.7447636127471924,1.1826393604278564,0.0005994842503189409,0.7005972862243652,598
835,27,22860,850,62.50389194,48.24,-9.28770637512207,-1.8460773229599,1.93711519241333,0.0005994842503189409,0.6827324628829956,642
835,27,23240,860,66.33295247,49.23,-9.889481544494629,-1.8904812335968018,0.5424203276634216,0.0005994842503189409,0.6751559376716614,661
838,28,23800,870,68.74554418000001,50.75,-10.240970611572266,-1.9997891187667847,0.8430772423744202,0.0005994842503189409,0.6641767024993896,689
839,28,24160,880,70.69060633,51.53,-10.192490577697754,-2.0175209045410156,1.1936264038085938,0.0005994842503189409,0.6572176218032837,707
841,29,24880,890,73.0628107,53.49,-10.421529769897461,-2.105989933013916,1.1955946683883667,0.0005994842503189409,0.6436045169830322,743
