rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
8.616878,0,10,12.7,2884,320,,,,,,
12.804343,0,20,17.047619047619047,3037,580,,,,,,
13.285245,0,30,18.133333333333333,3402,860,,,,,,
14.730225,0,40,19.275,3535,1160,,,,,,
16.4372,0,50,21.26,3521,1360,,,,,,
16.861488,0,60,21.983333333333334,3554,1580,,,,,,
16.19752,0,70,21.6,3595,1800,,,,,,
15.948871,0,80,21.2875,3546,2060,,,,,,
16.249763,0,90,21.522222222222222,3474,2240,,,,,,
17.903164,0,100,22.43,3408,2500,,,,,,
19.023113,0,110,23.29,3393,2640,,,,,,
18.548862,0,120,22.76,3366,2840,,,,,,
18.233465,0,130,22.46,3400,3080,,,,,,
18.016659,0,140,22.37,3369,3300,,,,,,
16.723656,1,150,20.88,3363,3500,,,,,,
16.873922,1,160,20.68,3360,3700,,,,,,
18.183184,1,170,21.11,3379,3880,,,,,,
19.06749,1,180,21.71,3426,4140,,,,,,
18.928879,1,190,21.42,3430,4300,,,,,,
17.013914,1,200,20.25,3469,4540,,,,,,
16.896893,1,210,20.25,3475,4800,,,,,,
18.049711,1,220,21.39,3438,5020,,,,,,
18.366165,1,230,21.44,3457,5280,,,,,,
18.343494,1,240,21.61,3391,5480,,,,,,
19.53078,1,250,22.17,3354,5640,,,,,,
19.018072,1,260,21.87,3349,5880,,,,,,
19.193512,1,270,22.14,3335,6100,,,,,,
18.701384,1,280,21.75,3309,6340,,,,,,
18.539433,1,290,21.96,3321,6560,,,,,,
19.753479,2,300,22.75,3357,6900,,,,,,
20.098574,2,310,22.94,3351,7140,,,,,,
20.793692,2,320,23.16,3327,7260,,,,,,
21.35783,2,330,23.84,3327,7540,,,,,,
21.086966,2,340,23.45,3347,7740,,,,,,
20.430824,2,350,23.19,3356,7980,,,,,,
20.678123,2,360,23.38,3378,8220,,,,,,
19.939447,2,370,23.33,3386,8420,,,,,,
20.781794,2,380,23.72,3386,8580,,,,,,
20.172915,2,390,23.09,3348,8840,,,,,,
19.517763,2,400,22.5,3327,9040,,,,,,
19.47881,2,410,22.41,3314,9200,,,,,,
17.786749,2,420,21.18,3304,9440,,,,,,
17.883205,2,430,20.91,3317,9640,,,,,,
18.436586,2,440,21.32,3313,9920,,,,,,
18.579056,3,450,21.4,2585,10140,-4.95523738861084,6,1.7269988059997559,0.9852220416069031,-0.07445484399795532,0.002976351441631319
18.50187,4,460,21.91,2396,10380,-5.086946487426758,18,0.7232182621955872,0.9505636096000671,-0.25514161586761475,0.002976351441631319
18.803041,4,470,22.14,2248,10620,-4.994982719421387,30,0.38600414991378784,0.9170867800712585,-0.434273362159729,0.002976351441631319
17.668945,5,480,21.5,2088,10940,-4.941201210021973,46,0.32103604078292847,0.8742579221725464,-0.6745583415031433,0.002976351441631319
18.74144,5,490,22.44,2033,11140,-4.84364652633667,56,0.3589206635951996,0.8485220074653625,-0.8293123245239258,0.002976351441631319
19.22474,5,500,23.01,1956,11380,-4.867433547973633,68,0.2115476429462433,0.8186478614807129,-1.0074598789215088,0.002976351441631319
18.374561,6,510,22.9,1892,11640,-4.979106426239014,81,0.3499637246131897,0.787493884563446,-1.2085707187652588,0.002976351441631319
19.06472,6,520,23.39,1841,11840,-4.971980094909668,91,0.22593551874160767,0.7643442153930664,-1.3526564836502075,0.002976351441631319
19.595358,6,530,23.81,1804,12020,-4.982723236083984,100,0.28818851709365845,0.7441192865371704,-1.480421781539917,0.002976351441631319
19.06026,7,540,23.4,1753,12340,-4.971230506896973,116,0.3094772696495056,0.709463894367218,-1.7302014827728271,0.002976351441631319
20.611137,7,550,24.32,1701,12640,-4.921403884887695,131,0.2788084149360657,0.6784526705741882,-1.956787347793579,0.002976351441631319
20.822498,7,560,23.95,1677,12760,-4.853052139282227,137,0.416078120470047,0.6664461493492126,-2.040605306625366,0.002976351441631319
20.477655,8,570,23.85,1603,13260,-5.000460624694824,162,0.1243208646774292,0.6186875104904175,-2.413358688354492,0.002976351441631319
22.584562,8,580,25.03,1568,13460,-4.872091293334961,172,0.2218172252178192,0.600549042224884,-2.55452299118042,0.002976351441631319
24.401194,9,590,26.27,1533,13820,-4.951283931732178,190,0.2143631875514984,0.5692357420921326,-2.865579843521118,0.002976351441631319
26.20711,9,600,27.35,1496,14280,-4.825967788696289,213,0.1732097566127777,0.5316826105117798,-3.149643659591675,0.002976351441631319
29.44654,10,610,28.87,1454,14780,-5.036464691162109,238,0.22048909962177277,0.49370473623275757,-3.4853007793426514,0.002976351441631319
32.4738,10,620,30.75,1421,15260,-5.071811676025391,262,0.30226996541023254,0.4599301815032959,-3.8507370948791504,0.002976351441631319
36.91829,11,630,33.38,1380,15920,-5.025611877441406,295,0.30823105573654175,0.4173274040222168,-4.344649791717529,0.002976351441631319
42.01484,12,640,37.54,1343,16440,-5.219654083251953,321,0.2710828483104706,0.3866136372089386,-4.686878204345703,0.002976351441631319
46.274647,12,650,40.17,1319,17000,-5.415308952331543,349,0.25250953435897827,0.35626527667045593,-4.991945266723633,0.002976351441631319
52.108578,13,660,43.35,1296,17620,-5.393816947937012,380,0.6978750824928284,0.3256834149360657,-5.362290382385254,0.002976351441631319
59.093624,14,670,47.47,1267,18420,-5.481579780578613,420,0.39814645051956177,0.29032641649246216,-5.993978500366211,0.002976351441631319
65.148796,15,680,52.22,1257,18860,-5.409708499908447,442,0.5851147770881653,0.2728342115879059,-6.2062883377075195,0.002976351441631319
67.856705,15,690,52.85,1242,19440,-5.823683261871338,471,0.21908506751060486,0.25152119994163513,-6.554211616516113,0.002976351441631319
72.25081,16,700,54.8,1230,19980,-5.927292823791504,498,0.1563720703125,0.2333185076713562,-6.507518768310547,0.002976351441631319
75.136604,16,710,56.14,1218,20480,-6.051279067993164,523,0.350800484418869,0.21786443889141083,-6.7374725341796875,0.002976351441631319
79.27379,17,720,58.52,1200,21140,-6.503927230834961,556,0.3546927869319916,0.19929192960262299,-6.94631290435791,0.002976351441631319
83.19998,18,730,60.02,1172,22080,-6.190922737121582,603,0.21202069520950317,0.17615696787834167,-7.634151458740234,0.002976351441631319
88.85825,19,740,60.39,1164,22400,-6.663468837738037,619,0.19294089078903198,0.16909711062908173,-7.7060699462890625,0.002976351441631319
99.71764,21,750,64.56,1123,23620,-6.8557963371276855,680,0.7199372053146362,0.14512255787849426,-7.833983421325684,0.002976351441631319
110.88989,21,760,67.87,1108,24360,-7.982280254364014,717,0.1994735449552536,0.13280822336673737,-7.591867446899414,0.002976351441631319
121.2121,23,770,70.06,1086,25340,-7.989591598510742,766,0.3456747531890869,0.1186547502875328,-7.558714866638184,0.002976351441631319
127.932884,24,780,69.94,1075,25960,-8.660520553588867,797,0.5370544195175171,0.1106652319431305,-8.109980583190918,0.002976351441631319
140.7731,25,790,74.58,1064,27120,-9.015644073486328,855,0.22973911464214325,0.09785369783639908,-7.487481594085693,0.002976351441631319
